epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,159.66267442703247,5.514587879180908,165.50694608688354,0.0,58.438144,1058.512896,44.0,50.0,0.22983970484374844,10.31,28.5,0.07865291833877563,,0.5,64,4,0.001,,4.659169375,4.237221484375,4.663158125,4.25031328125
2,0,161.18896079063416,5.085049867630005,166.51474475860596,11.9,7564.716544,2435.350528,48.0,66.0,29.75235178070646,17.77,42.11,0.14554284512996674,,0.5,64,4,0.001,,4.094390625,3.68720546875,4.097315,3.6934515625
3,0,160.526859998703,5.104328155517578,165.92923283576965,12.1,244.84096,2437.369856,49.0,65.0,0.9629699050685117,22.13,46.65,0.1994061917066574,,0.5,64,4,0.001,,3.707876875,3.85251171875,3.7024703125,3.913098046875
4,0,159.21909403800964,5.135008335113525,164.64662647247314,12.0,216.452096,2439.29088,46.0,65.0,0.8513152960068462,31.56,58.8,0.2984941303730011,,0.5,64,4,0.001,,3.3971846875,2.947341015625,3.3962978125,2.9484001953125
5,0,160.72520303726196,5.0718419551849365,166.00842189788818,12.2,244.84096,2441.076736,53.0,65.0,0.9629699050685117,35.88,63.52,0.3421643376350403,,0.5,64,4,0.001,,3.167741875,2.721383984375,3.16348125,2.726315625
6,0,161.34176325798035,5.11369514465332,166.67862391471863,12.2,273.499136,2438.852608,52.0,65.0,1.0756837296759496,38.51,66.1,0.37181299924850464,,0.5,64,4,0.001,,2.99282375,2.5947423828125,3.0010415625,2.59729296875
7,0,160.95964694023132,5.131865739822388,166.34287405014038,12.2,244.84096,2439.991296,50.0,64.0,0.9629699050685117,40.0,67.87,0.38815370202064514,,0.5,64,4,0.001,,2.8452765625,2.519023828125,2.8337403125,2.5231015625
8,0,161.03626203536987,5.112721920013428,166.45402908325195,11.8,244.84096,2441.1136,51.0,64.0,0.9629699050685117,42.57,70.24,0.4167942404747009,,0.5,64,4,0.001,,2.7289765625,2.394086328125,2.74096375,2.3949724609375
9,0,160.59665608406067,5.09483003616333,165.93166184425354,12.1,244.84096,2439.995392,51.0,64.0,0.9629699050685117,44.92,72.37,0.4385506212711334,,0.5,64,4,0.001,,2.6220296875,2.276703125,2.61409734375,2.2884943359375
10,0,160.30724453926086,5.1204445362091064,165.67516493797302,12.2,244.84096,2442.387456,50.0,64.0,0.9629699050685117,46.18,73.48,0.4547669589519501,,0.5,64,4,0.001,,2.5305,2.2097548828125,2.54293359375,2.2113041015625
11,0,161.68714451789856,5.089486598968506,167.01890683174133,11.7,244.84096,2442.6496,49.0,64.0,0.9629699050685117,48.69,75.09,0.48352888226509094,,0.5,64,4,0.001,,2.446735625,2.1181837890625,2.45242046875,2.1229396484375
12,0,161.73238492012024,5.110926866531372,167.0614309310913,12.0,244.84096,2442.387456,45.0,65.0,0.9629699050685117,49.38,75.19,0.48745018243789673,,0.5,64,4,0.001,,2.368965625,2.091392578125,2.37221,2.1093376953125
13,0,160.29143238067627,5.089998245239258,165.74842071533203,12.1,7360.331264,2442.40384,49.0,64.0,28.94849578504707,49.68,75.75,0.49017056822776794,,0.5,64,4,0.001,,2.2982465625,2.075044140625,2.2948075,2.0914916015625
14,0,161.14423656463623,5.1089701652526855,166.49687218666077,12.2,244.84096,2443.579392,50.0,64.0,0.9629699050685117,50.73,76.66,0.5029459595680237,,0.5,64,4,0.001,,2.2390215625,2.0332732421875,2.2498521875,2.0293794921875
15,0,159.9335355758667,5.15253472328186,165.2913784980774,12.1,244.84096,2478.206976,54.0,64.0,0.9629699050685117,52.4,78.17,0.5205570459365845,,0.5,64,4,0.001,,2.1720646875,1.938643359375,2.16783078125,1.941391796875
16,0,160.55176281929016,5.0925116539001465,165.90130519866943,12.4,6057.142272,2443.739136,53.0,65.0,23.82299807456362,53.63,78.34,0.533912718296051,,0.5,64,4,0.001,,2.11135203125,1.915715234375,2.1024746875,1.919171484375
17,0,161.31372332572937,5.105522394180298,166.622873544693,12.0,244.84096,2439.077888,51.0,64.0,0.9629699050685117,52.88,78.33,0.5279102325439453,,0.5,64,4,0.001,,2.0607103125,1.9699912109375,2.06511203125,1.9846654296875
18,0,160.00499272346497,5.080620765686035,165.36621069908142,12.1,244.84096,2441.568256,45.0,65.0,0.9629699050685117,54.59,79.2,0.5423300862312317,,0.5,64,4,0.001,,2.00829765625,1.8871515625,2.01736015625,1.9014373046875
19,0,161.04040837287903,4.931520462036133,167.47244811058044,12.5,5180.51584,2442.6496,52.0,65.0,20.375189047824026,54.44,79.11,0.5429474115371704,,0.5,64,4,0.001,,1.95083140625,1.8808853515625,1.94797671875,1.8985802734375
20,0,161.52547979354858,5.122833013534546,166.90894532203674,12.2,244.84096,2442.6496,52.0,64.0,0.9629699050685117,54.83,79.74,0.5435881018638611,,0.5,64,4,0.001,,1.901996875,1.884526171875,1.9000365625,1.8839966796875
