ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2026-01-24 06:01:53,clusterA,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2026-01-24 06:01:53,clusterB,0,4,0,4,0.0,0.0,0.0,1.0,0.0,0.0
2026-01-24 06:01:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:01:58,clusterB,0,4,0,4,0.0,0.04,0.0,0.96,0.04,0.0
2026-01-24 06:02:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:03,clusterB,0,4,0,4,0.0,0.07,0.0,0.9299999999999999,0.07,0.0
2026-01-24 06:02:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:08,clusterB,0,4,0,4,0.0,0.11,0.0,0.89,0.11,0.0
2026-01-24 06:02:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:13,clusterB,0,4,0,4,0.0,0.15,0.0,0.85,0.15,0.0
2026-01-24 06:02:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:18,clusterB,0,4,0,4,0.0,0.18,0.0,0.8200000000000001,0.18,0.0
2026-01-24 06:02:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:23,clusterB,0,4,0,4,0.0,0.22,0.0,0.78,0.22,0.0
2026-01-24 06:02:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:28,clusterB,0,4,0,4,0.0,0.26,0.0,0.74,0.26,0.0
2026-01-24 06:02:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:33,clusterB,0,4,0,4,0.0,0.3,0.0,0.7,0.3,0.0
2026-01-24 06:02:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:38,clusterB,0,4,0,4,0.0,0.33,0.0,0.6699999999999999,0.33,0.0
2026-01-24 06:02:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:43,clusterB,0,4,0,4,0.0,0.37,0.0,0.63,0.37,0.0
2026-01-24 06:02:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:48,clusterB,0,4,0,4,0.0,0.41,0.0,0.5900000000000001,0.41,0.0
2026-01-24 06:02:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:53,clusterB,0,4,0,4,0.0,0.44,0.0,0.56,0.44,0.0
2026-01-24 06:02:58,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:02:58,clusterB,0,4,0,4,0.0,0.48,0.0,0.52,0.48,0.0
2026-01-24 06:03:03,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:03,clusterB,0,4,0,4,0.0,0.52,0.0,0.48,0.52,0.0
2026-01-24 06:03:08,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:08,clusterB,0,4,0,4,0.0,0.55,0.0,0.44999999999999996,0.55,0.0
2026-01-24 06:03:13,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:13,clusterB,0,4,0,4,0.0,0.59,0.0,0.41000000000000003,0.59,0.0
2026-01-24 06:03:18,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:18,clusterB,0,4,0,4,0.0,0.63,0.0,0.37,0.63,0.0
2026-01-24 06:03:23,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:23,clusterB,0,4,0,4,0.0,0.66,0.0,0.33999999999999997,0.66,0.0
2026-01-24 06:03:28,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:28,clusterB,0,4,0,4,0.0,0.7,0.0,0.30000000000000004,0.7,0.0
2026-01-24 06:03:33,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:33,clusterB,0,4,0,4,0.0,0.74,0.0,0.26,0.74,0.0
2026-01-24 06:03:38,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:38,clusterB,0,4,0,4,0.0,0.78,0.0,0.21999999999999997,0.78,0.0
2026-01-24 06:03:43,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:43,clusterB,0,4,0,4,0.0,0.81,0.0,0.18999999999999995,0.81,0.0
2026-01-24 06:03:48,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:48,clusterB,0,4,0,4,0.0,0.85,0.0,0.15000000000000002,0.85,0.0
2026-01-24 06:03:53,clusterA,0,4,0,4,0.0,0.02,0.0,0.98,0.02,0.0
2026-01-24 06:03:53,clusterB,0,4,0,4,0.0,0.89,0.0,0.10999999999999999,0.89,0.0
