epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,7.223678350448608,0.6774132251739502,7.9510416984558105,9.7,670.746112,1964.838912,0.0,26.0,4.035714373730801,0.0,0.0,0.0,,0.25,16,4,0.001,,3.415267359190634,2.9348486538591056,3.40399169921875,2.954387796336207
2,1,6.416513681411743,0.6426708698272705,7.085644245147705,9.4,670.696448,2133.89312,0.0,26.0,4.035415557658563,0.0,0.0,0.0,,0.25,16,4,0.001,,2.940488262045231,2.9265641837284484,2.9292929341473917,2.932909998400458
3,1,6.216763973236084,0.6063687801361084,6.850371837615967,8.6,670.678528,2136.666112,0.0,27.0,4.035307737426312,0.0,0.0,0.0,,0.25,16,4,0.001,,2.9352148725571534,2.9187022242052802,2.9309625099963093,2.9363734804350754
4,1,6.784782886505127,0.5360548496246338,7.35545015335083,9.5,670.669312,2137.583616,0.0,28.0,4.035252287021154,0.0,0.0,0.0,,0.25,16,4,0.001,,2.933182767944936,2.9159893167429956,2.9380065437376968,2.9307456180967133
5,1,6.347283601760864,0.5717909336090088,6.972638845443726,8.5,670.744576,2137.694208,0.0,28.0,4.035705131996608,0.0,0.0,0.0,,0.25,16,4,0.001,,2.932418418141593,2.916783826104526,2.9358068751537894,2.9335421858162714
6,1,6.254385232925415,0.6028916835784912,6.951083421707153,10.0,671.801344,2138.632192,0.0,29.0,4.042063445121349,0.0,0.0,0.0,,0.25,16,4,0.001,,2.92907486787119,2.9227463294719827,2.9192841297059546,2.9364147843985724
7,1,6.273924112319946,0.636669397354126,7.036721706390381,8.1,671.359488,2138.701824,0.0,29.0,4.039404906251849,0.0,0.0,0.0,,0.25,16,4,0.001,,2.927664277593412,2.910040756751751,2.9264817125215306,2.9269209236934266
8,1,6.379592657089233,0.49574947357177734,6.982368469238281,8.0,541.062144,2139.160576,0.0,30.0,3.2554378363991243,0.0,0.0,0.0,,0.25,16,4,0.001,,2.922391608284169,2.9068514067551185,2.921175979253814,2.9214022406216325
9,1,6.40475058555603,0.6128401756286621,7.205710172653198,9.9,670.743552,2142.158848,0.0,34.0,4.03569897084048,0.0,0.0,0.0,,0.25,16,4,0.001,,2.9182277743209193,2.904193483549973,2.915743850347564,2.9176362136314653
10,1,6.415600061416626,0.6990506649017334,7.134167909622192,7.9,670.503424,2142.175232,0.0,30.0,4.034254179728317,0.0,0.0,0.0,,0.25,16,4,0.001,,2.9175870552175516,2.909171795022899,2.9192598598209893,2.923375622979526
11,1,6.614626884460449,0.7172331809997559,7.353137016296387,8.4,670.700032,2142.191616,0.0,31.0,4.035437121705013,0.0,0.0,0.0,,0.25,16,4,0.001,,2.9140644204768926,2.900532163422683,2.9164243683101625,2.917094789702317
12,1,6.63115930557251,0.5677580833435059,7.401890516281128,10.1,670.667264,2142.687232,0.0,31.0,4.0352399647088975,0.0,0.0,0.0,,0.25,16,4,0.001,,2.9122750161320057,2.897063945901805,2.905054047351747,2.9114595610519935
13,1,6.471735954284668,0.639798641204834,7.152794361114502,7.5,670.7584,2142.711808,0.0,31.0,4.035788307604346,0.0,0.0,0.0,,0.25,16,4,0.001,,2.9097983211191,2.89135873728785,2.9075778750922736,2.9060292737237337
14,1,6.41858172416687,0.5523815155029297,7.009472608566284,8.2,671.801344,2142.687232,0.0,32.0,4.042063445121349,0.0,0.0,0.0,,0.25,16,4,0.001,,2.9064989418172322,2.8949627054148706,2.9117998738927167,2.9101717718716325
15,1,6.889241695404053,0.5752236843109131,7.480382680892944,9.6,670.697984,2142.711808,0.0,33.0,4.035424799392756,0.37225525954673877,0.0,0.0,,0.25,16,4,0.001,,2.9054364379762783,2.8922818940261315,2.902378112312377,2.9070345122238685
16,1,6.263404130935669,0.6245546340942383,6.923390626907349,8.2,1321.343488,2142.703616,0.0,34.0,7.950198758896708,0.7005033821895212,0.0,0.0,,0.25,16,4,0.001,,2.89967620759587,2.8848911153859107,2.9048409048966537,2.899706084152748
17,1,6.495298624038696,0.5819058418273926,7.193093538284302,8.7,670.745088,2143.182848,0.0,32.0,4.035708212574673,0.9598633338665175,0.0,0.0,,0.25,16,4,0.001,,2.8972357615843167,2.88311820194639,2.8817907618725394,2.895610414702317
18,1,6.5985705852508545,0.5360269546508789,7.166784286499023,9.7,670.596608,2143.10912,0.0,33.0,4.0348148449360215,2.3603768184267238,0.0,0.0,,0.25,16,4,0.001,,2.8907908811916174,2.874028172986261,2.8811162513072097,2.893414990655307
19,1,6.375209093093872,0.6082446575164795,7.016097545623779,8.5,670.72256,2143.10912,0.0,36.0,4.035572667139843,2.7279294770339413,0.0,0.0,,0.25,16,4,0.001,,2.885998571165192,2.873588035846579,2.8954338013656495,2.893427355536099
20,1,6.495519638061523,0.547760009765625,7.223978519439697,9.8,670.637568,2143.584256,0.0,33.0,4.035061291181167,3.4543793776939613,0.0,0.0,,0.25,16,4,0.001,,2.87538649597468,2.862474638840248,2.862246295598548,2.8791335533405173
