epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,174.07958054542542,3.2628695964813232,177.57443857192993,11.6,172.168192,1962.070016,0.0,45.0,1.0358936633741447,9.86,27.61,0.07677941769361496,,0.25,32,4,0.001,,4.65739875,4.842378515625,4.6546,4.918487109375
2,2,179.78800129890442,3.325427532196045,183.22605347633362,11.8,3839.508992,2134.290432,0.0,42.0,23.101381207980914,17.47,41.26,0.15084579586982727,,0.25,32,4,0.001,,4.0914134375,4.01375859375,4.099235625,4.03053671875
3,2,183.26503133773804,3.298757314682007,186.7275891304016,11.3,3778.053632,2135.16288,0.0,39.0,22.73161942292147,26.29,52.6,0.23810116946697235,,0.25,32,4,0.001,,3.69656375,3.233851953125,3.69795375,3.22851875
4,2,183.3081681728363,3.0948331356048584,186.68902397155762,10.5,203.232768,2136.33024,0.0,41.0,1.2228015762701838,30.8,58.19,0.28967639803886414,,0.25,32,4,0.001,,3.41058875,2.9766953125,3.41163,2.9856611328125
5,2,184.94011425971985,3.261024236679077,188.33664202690125,11.3,4277.833728,2136.383488,0.0,39.0,25.738673330573132,34.01,60.99,0.3244742453098297,,0.25,32,4,0.001,,3.2063975,2.849001953125,3.210855,2.8567015625
6,2,184.4355218410492,3.203617572784424,187.8183195590973,11.0,3902.80704,2137.45664,0.0,39.0,23.482229993493817,38.92,66.84,0.3687927722930908,,0.25,32,4,0.001,,3.0380728125,2.5853642578125,3.028943125,2.6175521484375
7,2,187.67406582832336,3.6242432594299316,191.44048023223877,11.4,203.232768,2136.76032,0.0,43.0,1.2228015762701838,41.17,68.87,0.3941868245601654,,0.25,32,4,0.001,,2.9022321875,2.482216796875,2.90884,2.51514140625
8,2,180.44272017478943,3.139896869659424,184.02396082878113,12.0,203.232768,2138.402816,0.0,41.0,1.2228015762701838,43.13,70.64,0.42047610878944397,,0.25,32,4,0.001,,2.78861125,2.3487732421875,2.782526875,2.404903515625
9,2,181.02923321723938,3.1343302726745605,184.6560354232788,10.8,231.890944,2137.157632,0.0,41.0,1.3952307722639536,44.37,71.75,0.43277785181999207,,0.25,32,4,0.001,,2.69538875,2.309894140625,2.722110625,2.3454365234375
10,2,184.79568243026733,3.252525806427002,188.48923349380493,10.9,4188.633088,2138.075136,0.0,40.0,25.20197502020859,46.4,73.41,0.4550988972187042,,0.25,32,4,0.001,,2.59703828125,2.224383984375,2.58072625,2.2730126953125
11,2,184.70907354354858,3.108898878097534,188.13955664634705,11.6,203.232768,2137.194496,0.0,41.0,1.2228015762701838,48.64,75.01,0.4794652760028839,,0.25,32,4,0.001,,2.51358546875,2.135570703125,2.5188171875,2.2166474609375
12,2,183.6784086227417,3.324840545654297,187.40993857383728,11.2,4192.24576,2138.124288,0.0,39.0,25.22371157903038,48.78,74.93,0.48298072814941406,,0.25,32,4,0.001,,2.43605625,2.1107173828125,2.44477765625,2.1565013671875
13,2,185.34821724891663,3.294372081756592,188.81358361244202,11.6,3754.687488,2137.43616,0.0,42.0,22.591031081800438,50.57,76.56,0.5005390644073486,,0.25,32,4,0.001,,2.37015546875,2.04503046875,2.37685953125,2.110152734375
14,2,184.13030695915222,3.1460747718811035,187.4634861946106,11.5,203.232768,2137.939968,0.0,39.0,1.2228015762701838,51.45,77.2,0.5105939507484436,,0.25,32,4,0.001,,2.3130475,1.9849986328125,2.29392203125,2.0192916015625
15,2,180.22875380516052,3.3432815074920654,183.71445488929749,11.6,561.696768,2137.268224,0.0,40.0,3.379591293547051,51.67,76.95,0.5120391249656677,,0.25,32,4,0.001,,2.2523496875,2.01196484375,2.25483109375,2.0412501953125
16,2,180.1478190422058,3.2684853076934814,183.74801301956177,11.6,2455.850496,2138.27584,0.0,40.0,14.77624837345478,52.51,77.76,0.5191781520843506,,0.25,32,4,0.001,,2.19126,1.9574896484375,2.19428625,1.984926953125
17,2,180.7960557937622,3.1370089054107666,184.2012722492218,12.4,1174.334464,2138.292224,0.0,39.0,7.065681621024822,52.75,77.57,0.526997447013855,,0.25,32,4,0.001,,2.1412753125,1.974231640625,2.15890609375,2.0316408203125
18,2,179.7045397758484,3.1635801792144775,183.11506295204163,11.4,174.58176,2138.382336,0.0,39.0,1.0504155083693143,53.85,78.66,0.5379568934440613,,0.25,32,4,0.001,,2.0932109375,1.92339296875,2.08591796875,1.97569609375
19,2,185.8221080303192,3.4719855785369873,189.43850469589233,11.6,3313.058304,2138.406912,0.0,39.0,19.93385690838114,54.27,79.0,0.5397483706474304,,0.25,32,4,0.001,,2.04267765625,1.916023828125,2.05740234375,1.951351953125
20,2,184.5018332004547,3.154120922088623,187.79720067977905,10.9,203.232768,2137.956352,0.0,40.0,1.2228015762701838,54.18,79.38,0.5417990684509277,,0.25,32,4,0.001,,1.9939896875,1.9241740234375,1.9748103125,1.9385361328125
