epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,206.28642058372498,10.867060422897339,217.30630683898926,33.7,502.703104,2321.526784,72.0,67.0,1.9771526804033366,98.25,99.99,0.982479989528656,,1.0,64,4,0.001,,0.4218705403645833,0.05585824584960938,0.4218705403645833,0.05585824584960938
2,0,206.20943069458008,10.985403537750244,217.27743434906006,31.9,9017.395712,2440.081408,72.0,69.0,35.46580070895754,98.64,100.0,0.9863834381103516,,1.0,64,4,0.001,,0.07504370930989583,0.04597910461425781,0.07504370930989583,0.04597910461425781
3,0,206.4652419090271,11.004711389541626,217.57935237884521,33.7,457.424896,2475.323392,74.0,69.0,1.7990715633409287,99.2,100.0,0.9919080138206482,,1.0,64,4,0.001,,0.04936790771484375,0.026222286987304687,0.04936790771484375,0.026222286987304687
4,0,206.71143746376038,11.030484914779663,217.82798314094543,34.1,513.132544,2477.494272,77.0,68.0,2.0181721113299176,98.88,100.0,0.9886436462402344,,1.0,64,4,0.001,,0.04771576334635417,0.03775619506835937,0.04771576334635417,0.03775619506835937
5,0,203.12650680541992,11.083544254302979,214.30149960517883,33.8,513.132544,2477.105152,77.0,68.0,2.0181721113299176,98.67,99.98,0.986558735370636,,1.0,64,4,0.001,,0.04292113037109375,0.040866390991210935,0.04292113037109375,0.040866390991210935
6,0,203.34817743301392,11.020753383636475,214.46251511573792,34.0,513.132544,2473.521152,77.0,68.0,2.0181721113299176,99.21,100.0,0.9920132756233215,,1.0,64,4,0.001,,0.035847998046875,0.027022808837890624,0.035847998046875,0.027022808837890624
7,0,203.82777309417725,11.089782953262329,215.00210046768188,31.0,5601.47968,2475.216896,74.0,68.0,22.03085772777887,98.8,100.0,0.987956702709198,,1.0,64,4,0.001,,0.03194937744140625,0.03588648376464844,0.03194937744140625,0.03588648376464844
8,0,201.26242446899414,10.953078031539917,212.29783868789673,32.5,9886.784512,2475.577344,71.0,68.0,38.88514382133394,99.02,100.0,0.9901078939437866,,1.0,64,4,0.001,,0.0328762939453125,0.03308889770507813,0.0328762939453125,0.03308889770507813
9,0,204.1719057559967,10.994873762130737,215.26946187019348,32.5,513.132544,2474.532864,73.0,68.0,2.0181721113299176,99.21,100.0,0.9920917749404907,,1.0,64,4,0.001,,0.02962290242513021,0.02412930908203125,0.02962290242513021,0.02412930908203125
10,0,203.04825115203857,11.040218114852905,214.18739676475525,35.6,432.946688,2477.54752,76.0,68.0,1.702797730588405,99.37,100.0,0.993657648563385,,1.0,64,4,0.001,,0.0286495849609375,0.017281558227539063,0.0286495849609375,0.017281558227539063
11,0,202.6875205039978,10.991590738296509,213.76482510566711,35.8,513.132544,2477.596672,73.0,67.0,2.0181721113299176,99.17,100.0,0.9916495084762573,,1.0,64,4,0.001,,0.025228955078125,0.026839111328125,0.025228955078125,0.026839111328125
12,0,202.09089469909668,11.087091207504272,213.26605582237244,35.6,513.132544,2500.583424,74.0,67.0,2.0181721113299176,99.46,100.0,0.9945809841156006,,1.0,64,4,0.001,,0.022198207600911457,0.016451853942871093,0.022198207600911457,0.016451853942871093
13,0,202.40642762184143,11.081362009048462,213.57309079170227,35.8,668.319744,2514.673664,72.0,68.0,2.6285299666979416,99.56,100.0,0.9956050515174866,,1.0,64,4,0.001,,0.019286724853515624,0.015067486572265625,0.019286724853515624,0.015067486572265625
14,0,202.3993649482727,11.039607048034668,213.527259349823,35.5,513.132544,2475.188224,72.0,67.0,2.0181721113299176,99.2,100.0,0.9919467568397522,,1.0,64,4,0.001,,0.018998883056640624,0.024350718688964844,0.018998883056640624,0.024350718688964844
15,0,198.82712364196777,10.372629165649414,209.28502988815308,29.5,495.961088,2475.905024,72.0,70.0,1.9506360448392122,99.42,100.0,0.9941657781600952,,1.0,64,4,0.001,,0.02227125244140625,0.02035290069580078,0.02227125244140625,0.02035290069580078
16,0,198.66842913627625,10.337736368179321,209.0860948562622,29.6,1561.056768,2476.126208,74.0,69.0,6.139702636713715,99.58,100.0,0.9957932233810425,,1.0,64,4,0.001,,0.016903539021809896,0.014431072998046876,0.016903539021809896,0.014431072998046876
17,0,199.08396100997925,10.357345819473267,209.52381920814514,29.7,513.132544,2478.178304,71.0,69.0,2.0181721113299176,99.57,100.0,0.9956837892532349,,1.0,64,4,0.001,,0.014377434285481772,0.01233177947998047,0.014377434285481772,0.01233177947998047
18,0,200.07714438438416,10.719940662384033,210.88150835037231,32.8,513.132544,2478.198784,73.0,68.0,2.0181721113299176,99.35,100.0,0.9934601187705994,,1.0,64,4,0.001,,0.013693578084309896,0.01965963592529297,0.013693578084309896,0.01965963592529297
19,0,199.98607778549194,10.822842597961426,210.9063754081726,33.0,513.132544,2475.036672,73.0,68.0,2.0181721113299176,99.46,100.0,0.9945501089096069,,1.0,64,4,0.001,,0.013588826497395833,0.015177409362792969,0.013588826497395833,0.015177409362792969
20,0,200.5128161907196,10.92037034034729,211.5187406539917,33.1,8021.509632,2476.478464,71.0,68.0,31.548938416322137,99.4,100.0,0.9940000772476196,,1.0,64,4,0.001,,0.012077647908528645,0.020764398193359374,0.012077647908528645,0.020764398193359374
