epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,24.856744527816772,3.4811182022094727,28.58241367340088,34.1,401.930752,2786.852864,71.0,44.0,1.5808107356610406,12.4,35.93,0.10641013830900192,,0.25,128,4,0.001,,3.9713340625,3.72815546875,3.973575625,3.72728359375
2,1,24.103792667388916,1.9899299144744873,26.81501317024231,34.5,404.34432,2913.009664,71.0,50.0,1.590303401217639,17.52,43.18,0.15102705359458923,,0.25,128,4,0.001,,3.635455,3.52037578125,3.6509159375,3.497286328125
3,1,23.911449909210205,1.9361350536346436,26.667925357818604,34.6,404.34432,2915.67616,75.0,55.0,1.590303401217639,22.68,50.71,0.21465148031711578,,0.25,128,4,0.001,,3.37993375,3.199540234375,3.387556875,3.185475390625
4,1,23.76695728302002,1.9294006824493408,26.452359437942505,32.8,379.599872,2915.67616,72.0,56.0,1.4929824352259489,27.37,57.85,0.255313515663147,,0.25,128,4,0.001,,3.112411875,2.9084443359375,3.1297725,2.870616796875
5,1,24.256584644317627,2.0230672359466553,27.225308656692505,33.9,404.34432,2916.569088,72.0,56.0,1.590303401217639,30.94,61.9,0.2990323603153229,,0.25,128,4,0.001,,2.8808025,2.769027734375,2.86783625,2.7636205078125
6,1,24.377622604370117,1.9262948036193848,27.249158143997192,33.9,404.34432,2916.384768,71.0,56.0,1.590303401217639,37.02,69.06,0.3605845868587494,,0.25,128,4,0.001,,2.6905734375,2.422946875,2.6887453125,2.378609765625
7,1,23.95808172225952,2.110649585723877,26.989558458328247,33.3,2824.41984,2916.814848,71.0,59.0,11.108563310642225,41.01,73.41,0.39433687925338745,,0.25,128,4,0.001,,2.50925125,2.231003125,2.5111871875,2.2114328125
8,1,23.906797409057617,1.8916199207305908,26.578951358795166,33.6,404.34432,2917.1712,73.0,57.0,1.590303401217639,41.96,74.17,0.41617846488952637,,0.25,128,4,0.001,,2.38278125,2.1478953125,2.38372125,2.139242578125
9,1,24.330596685409546,2.1111295223236084,27.301626205444336,34.3,404.34432,2917.43744,75.0,57.0,1.590303401217639,46.27,77.28,0.4582298994064331,,0.25,128,4,0.001,,2.253604375,1.997065625,2.25585484375,1.9823154296875
10,1,24.39989447593689,2.0056307315826416,27.27262854576111,34.1,404.34432,2917.564416,74.0,59.0,1.590303401217639,49.8,80.31,0.49543288350105286,,0.25,128,4,0.001,,2.14186015625,1.83509765625,2.13993828125,1.8193185546875
11,1,23.955204248428345,1.944995403289795,26.766489267349243,33.7,404.34432,2917.597184,74.0,57.0,1.590303401217639,50.13,79.45,0.49613112211227417,,0.25,128,4,0.001,,2.05160609375,1.851223046875,2.05280359375,1.833746484375
12,1,23.757657289505005,1.958622932434082,26.591495037078857,34.5,404.34432,2917.613568,73.0,59.0,1.590303401217639,54.51,83.68,0.5380060076713562,,0.25,128,4,0.001,,1.9771659375,1.6275138671875,1.9943321875,1.642421875
13,1,23.264801740646362,1.9543437957763672,25.90294122695923,33.6,404.34432,2917.638144,73.0,58.0,1.590303401217639,55.61,84.3,0.5524803996086121,,0.25,128,4,0.001,,1.89695109375,1.61272548828125,1.88230296875,1.5861716796875
14,1,24.603384971618652,3.871525526046753,28.67593479156494,33.7,404.34432,2917.638144,71.0,58.0,1.590303401217639,55.46,84.08,0.5451714396476746,,0.25,128,4,0.001,,1.8290371875,1.5967662109375,1.8162059375,1.59959765625
15,1,24.4882390499115,2.0053884983062744,27.343815565109253,34.4,356.92544,2947.862528,74.0,59.0,1.4038029301687787,56.03,84.66,0.5602178573608398,,0.25,128,4,0.001,,1.78325125,1.57303310546875,1.787735,1.5794248046875
16,1,23.467418909072876,1.9334123134613037,26.039082765579224,33.4,404.34432,2917.654528,74.0,58.0,1.590303401217639,57.68,84.07,0.5739133358001709,,0.25,128,4,0.001,,1.7039384375,1.5699763671875,1.69153421875,1.5974416015625
17,1,23.72334933280945,1.8592734336853027,26.267178297042847,34.3,404.34432,2917.650432,77.0,58.0,1.590303401217639,57.41,85.83,0.575536847114563,,0.25,128,4,0.001,,1.656965,1.52703046875,1.6554596875,1.516929296875
18,1,23.41621232032776,2.0072662830352783,26.1860830783844,33.8,404.34432,2917.675008,73.0,58.0,1.590303401217639,59.3,85.86,0.5915291905403137,,0.25,128,4,0.001,,1.62015,1.49281201171875,1.6274915625,1.51561123046875
19,1,24.557637453079224,1.9526383876800537,27.03101086616516,34.4,404.34432,2917.679104,71.0,58.0,1.590303401217639,60.77,86.89,0.6073507070541382,,0.25,128,4,0.001,,1.5692640625,1.4225287109375,1.57171484375,1.4215265625
20,1,22.517948389053345,1.9045398235321045,25.12301015853882,34.9,356.92544,2917.6832,72.0,60.0,1.4038029301687787,60.84,87.33,0.6107450127601624,,0.25,128,4,0.001,,1.52613890625,1.4095458984375,1.51368859375,1.4166267578125
