epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,110.11065244674683,3.136230945587158,114.48541235923767,33.6,8207.5776,2114.424832,73.0,62.0,32.28075164512687,11.48,31.14,0.09310797601938248,,0.25,64,4,0.001,,4.64454,4.1360765625,4.64650125,4.170798046875
2,0,110.9093976020813,2.69852876663208,114.88501286506653,33.6,242.432512,2421.075968,74.0,61.0,0.9534973766895898,17.6,41.77,0.15172016620635986,,0.25,64,4,0.001,,4.0572490625,3.702896875,4.0538521875,3.726454296875
3,0,110.0923662185669,2.675987720489502,114.01474666595459,33.0,242.432512,2419.67104,75.0,61.0,0.9534973766895898,24.42,50.9,0.22353042662143707,,0.25,64,4,0.001,,3.6859153125,3.31527890625,3.6884565625,3.324259375
4,0,110.37441825866699,2.6586849689483643,114.39822936058044,33.1,6367.523328,2421.706752,74.0,62.0,25.04373996363065,27.76,55.04,0.25475436449050903,,0.25,64,4,0.001,,3.41266625,3.09925390625,3.408613125,3.0783001953125
5,0,111.34929990768433,2.7474606037139893,115.24717998504639,32.7,242.432512,2421.936128,72.0,60.0,0.9534973766895898,31.9,60.03,0.30959460139274597,,0.25,64,4,0.001,,3.19787375,2.900176171875,3.202989375,2.8858064453125
6,0,111.16457891464233,2.6650490760803223,115.30737805366516,33.5,8220.913664,2426.007552,73.0,63.0,32.33320295182027,35.97,63.74,0.3445954918861389,,0.25,64,4,0.001,,3.036911875,2.73369375,3.034226875,2.7067482421875
7,0,110.7906379699707,2.7198593616485596,114.99199223518372,33.7,6545.008128,2424.34048,74.0,61.0,25.74179522777887,38.95,67.32,0.38241279125213623,,0.25,64,4,0.001,,2.8921184375,2.54703359375,2.8932246875,2.5163712890625
8,0,109.47316384315491,2.722388744354248,113.46565508842468,33.5,242.432512,2425.67168,73.0,61.0,0.9534973766895898,40.55,68.61,0.39008763432502747,,0.25,64,4,0.001,,2.7705984375,2.4589814453125,2.7755865625,2.432015625
9,0,111.02641177177429,2.764514446258545,114.89361548423767,33.7,242.432512,2425.07776,73.0,60.0,0.9534973766895898,44.12,72.06,0.4331984519958496,,0.25,64,4,0.001,,2.672380625,2.3117583984375,2.660100625,2.30222421875
10,0,108.98585987091064,2.744112968444824,112.90466022491455,33.3,8540.375552,2426.273792,74.0,63.0,33.58966013921395,45.53,72.66,0.44868043065071106,,0.25,64,4,0.001,,2.57435796875,2.2330287109375,2.582661875,2.2042705078125
11,0,108.72309875488281,2.7460694313049316,112.67039823532104,33.3,242.432512,2425.163776,73.0,61.0,0.9534973766895898,44.5,71.41,0.4447001814842224,,0.25,64,4,0.001,,2.49307546875,2.34605625,2.507901875,2.3178265625
12,0,111.53044939041138,2.6833677291870117,115.77489638328552,33.3,242.432512,2423.373824,73.0,61.0,0.9534973766895898,49.17,74.96,0.48636385798454285,,0.25,64,4,0.001,,2.41474625,2.129435546875,2.41454140625,2.1208474609375
13,0,111.83575439453125,2.7186484336853027,115.74649357795715,33.0,7043.671552,2424.815616,73.0,62.0,27.703059674995618,48.76,75.12,0.47977614402770996,,0.25,64,4,0.001,,2.34661203125,2.15235625,2.348336875,2.1272544921875
14,0,110.55443739891052,2.6689229011535645,114.64310479164124,32.9,214.043648,2423.66464,74.0,62.0,0.8418427676279242,50.02,75.8,0.4971540570259094,,0.25,64,4,0.001,,2.27452625,2.0665537109375,2.2904534375,2.0301943359375
15,0,109.81274914741516,2.672913074493408,113.55588793754578,32.7,242.432512,2425.880576,73.0,62.0,0.9534973766895898,51.32,76.51,0.5093927979469299,,0.25,64,4,0.001,,2.2146615625,2.02800859375,2.217311875,2.003658203125
16,0,110.82799696922302,2.754765033721924,114.84095978736877,33.0,6455.640064,2423.115776,75.0,63.0,25.390306832592717,51.29,77.18,0.5106834173202515,,0.25,64,4,0.001,,2.15511921875,2.0023083984375,2.13550203125,1.9669927734375
17,0,109.9566638469696,2.759873867034912,113.86475253105164,33.8,214.043648,2425.278464,75.0,62.0,0.8418427676279242,51.01,76.55,0.5086088180541992,,0.25,64,4,0.001,,2.1025478125,2.034335546875,2.1132975,2.020986328125
18,0,109.7955915927887,2.7684130668640137,113.82255148887634,33.4,8553.596416,2425.413632,74.0,62.0,33.64165835940964,52.67,78.39,0.5232137441635132,,0.25,64,4,0.001,,2.0433871875,1.9462703125,2.0434465625,1.8983150390625
19,0,111.67911863327026,2.6753313541412354,115.73623538017273,33.2,5391.476224,2425.348096,74.0,61.0,21.204905207055294,53.42,78.55,0.533340573310852,,0.25,64,4,0.001,,2.0025321875,1.9381525390625,2.0176134375,1.9042701171875
20,0,111.62410712242126,2.7032968997955322,115.63166546821594,33.9,242.432512,2425.56928,75.0,61.0,0.9534973766895898,54.23,79.28,0.5445066690444946,,0.25,64,4,0.001,,1.9461425,1.894781640625,1.94575875,1.88341484375
