epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,9.676517248153687,1.4762895107269287,11.171802043914795,34.0,1344.271872,1782.317056,73.0,37.0,5.2870784241579125,0.0,0.0,0.0,,1.0,16,4,0.001,,3.0618964901364305,2.9256479363692436,3.0618964901364305,2.9256479363692436
2,0,8.26833200454712,1.335775375366211,9.608173847198486,33.3,1299.085312,1934.82752,74.0,41.0,5.109357762575909,0.0,0.0,0.0,,1.0,16,4,0.001,,2.932228530988815,2.9152874862938596,2.932228530988815,2.9152874862938596
3,0,8.082561254501343,1.4582054615020752,9.55354356765747,33.9,1311.7312,1930.350592,77.0,44.0,5.159094577718552,0.0,0.0,0.0,,1.0,16,4,0.001,,2.923287750814282,2.916817648368969,2.923287750814282,2.916817648368969
4,0,7.959517002105713,1.2971951961517334,9.279186725616455,34.0,758.51776,1931.264,75.0,47.0,2.983282598385417,1.4021823280735979,0.0,0.0,,1.0,16,4,0.001,,2.9155223024981565,2.898132056520696,2.9155223024981565,2.898132056520696
5,0,7.54580020904541,1.1346912384033203,8.684873580932617,31.6,671.0016,1931.812864,73.0,49.0,2.6390778203647764,0.0,0.0,0.0,,1.0,16,4,0.001,,2.907493028668879,2.8890865392852247,2.907493028668879,2.8890865392852247
6,0,7.138966083526611,1.2337336540222168,8.378190755844116,31.2,670.974464,1933.266944,72.0,51.0,2.638971093323092,0.0,0.0,0.0,,1.0,16,4,0.001,,2.898793508404007,2.8606339839466832,2.898793508404007,2.8606339839466832
7,0,7.276839256286621,1.1353731155395508,8.420589447021484,31.3,1344.27392,1932.926976,72.0,52.0,5.287086479028983,0.0,0.0,0.0,,1.0,16,4,0.001,,2.7943046817385695,2.7899946246230813,2.7943046817385695,2.7899946246230813
8,0,7.197360038757324,1.3509654998779297,8.553448677062988,31.2,667.666432,1941.38112,74.0,48.0,2.625960462826448,0.0,0.0,0.0,,1.0,16,4,0.001,,2.713319851585546,2.653565523917215,2.713319851585546,2.653565523917215
9,0,7.403954267501831,1.3472530841827393,8.760666370391846,31.0,1256.621056,1933.824,70.0,54.0,4.942344038364385,0.0,0.0,0.0,,1.0,16,4,0.001,,2.659832409583948,2.6266324227316336,2.659832409583948,2.6266324227316336
10,0,7.212241888046265,1.2782471179962158,8.502440929412842,31.2,1533.914112,1934.045184,71.0,54.0,6.0329494166984565,0.0,0.0,0.0,,1.0,16,4,0.001,,2.6453539342889627,2.626551310221354,2.6453539342889627,2.626551310221354
11,0,7.52696681022644,1.2457304000854492,8.777326107025146,31.4,715.349504,1942.687744,73.0,53.0,2.8135000122434044,0.0,0.0,0.0,,1.0,16,4,0.001,,2.6372509621589235,2.6232232880174067,2.6372509621589235,2.6232232880174067
12,0,7.137507438659668,1.3161497116088867,8.459669351577759,31.4,1305.654784,1934.311424,70.0,54.0,5.135195775252344,0.0,0.0,0.0,,1.0,16,4,0.001,,2.631330131898353,2.606694539388021,2.631330131898353,2.606694539388021
13,0,7.300153732299805,1.2722456455230713,8.576861381530762,31.3,1260.050432,1942.827008,73.0,54.0,4.955831919971956,0.0,0.0,0.0,,1.0,16,4,0.001,,2.618416605211406,2.5906364039370886,2.618416605211406,2.5906364039370886
14,0,7.339574813842773,1.297086477279663,8.64254117012024,31.1,1320.73728,1943.093248,74.0,55.0,5.194515873251127,0.0,0.0,0.0,,1.0,16,4,0.001,,2.6132514826081614,2.5856756913034538,2.6132514826081614,2.5856756913034538
15,0,7.145139455795288,1.3348689079284668,8.485576629638672,31.4,1266.562048,1944.256512,73.0,56.0,4.981442382540648,0.0,0.0,0.0,,1.0,16,4,0.001,,2.609485667480949,2.59552216111568,2.609485667480949,2.59552216111568
16,0,6.954858064651489,1.2890677452087402,8.248870134353638,31.3,670.441472,1935.355904,72.0,55.0,2.6368748131269912,0.0,0.0,0.0,,1.0,16,4,0.001,,2.6069520783400932,2.584103500633909,2.6069520783400932,2.584103500633909
17,0,7.059641122817993,1.2745192050933838,8.33933401107788,31.2,761.25952,1943.71584,74.0,55.0,2.994066057031065,0.0,0.0,0.0,,1.0,16,4,0.001,,2.558442272385079,2.524826852898849,2.558442272385079,2.524826852898849
18,0,7.212612867355347,1.2887341976165771,8.510371685028076,31.3,670.531584,1935.630336,72.0,55.0,2.637229227454094,0.0,0.0,0.0,,1.0,16,4,0.001,,2.498188990290069,2.4858149478310034,2.498188990290069,2.4858149478310034
19,0,7.412995100021362,1.3024742603302002,8.721002101898193,31.3,1320.630784,1935.93344,70.0,55.0,5.19409701995546,0.0,0.0,0.0,,1.0,16,4,0.001,,2.451397290975295,2.4167376066509045,2.451397290975295,2.4167376066509045
20,0,7.17936635017395,1.2875993251800537,8.475003719329834,31.3,667.666432,1935.835136,70.0,51.0,2.625960462826448,0.5037073503460832,0.0,0.0,,1.0,16,4,0.001,,2.371424312085177,2.3425571374725878,2.371424312085177,2.3425571374725878
