epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,232.08900260925293,12.807270526885986,245.23469734191895,31.8,8513.418752,2326.155264,73.0,63.0,33.483637898748334,97.27,99.94,0.9728726148605347,,1.0,64,4,0.001,,0.47522763671875,0.08883805541992187,0.47522763671875,0.08883805541992187
2,0,231.87708449363708,12.355385541915894,244.41511058807373,31.7,513.19808,2458.861568,76.0,65.0,2.0184298672041736,98.51,99.97,0.9850400686264038,,1.0,64,4,0.001,,0.0865703369140625,0.049939422607421874,0.0865703369140625,0.049939422607421874
3,0,231.59424924850464,12.314338445663452,244.16160035133362,31.8,513.197568,2441.814016,75.0,65.0,2.0184278534864064,98.88,99.96,0.9887470602989197,,1.0,64,4,0.001,,0.054539339192708335,0.039843881225585936,0.054539339192708335,0.039843881225585936
4,0,232.83806848526,13.002639770507812,246.03250360488892,31.7,513.19808,2445.205504,72.0,65.0,2.0184298672041736,98.49,99.94,0.9844934940338135,,1.0,64,4,0.001,,0.0516635986328125,0.05254998168945312,0.0516635986328125,0.05254998168945312
5,0,229.850106716156,11.969170093536377,241.9924235343933,28.9,5682.179584,2445.381632,73.0,65.0,22.34825388115908,98.6,99.99,0.9859815239906311,,1.0,64,4,0.001,,0.0419971435546875,0.047971002197265626,0.0419971435546875,0.047971002197265626
6,0,224.5794460773468,12.54773473739624,237.3230104446411,29.1,2649.00096,2442.842112,72.0,63.0,10.418633397686383,99.13,100.0,0.9913270473480225,,1.0,64,4,0.001,,0.04405106201171875,0.028046524047851563,0.04405106201171875,0.028046524047851563
7,0,224.78938555717468,12.255675554275513,237.2495675086975,29.0,10232.978944,2442.825728,73.0,66.0,40.246741240811005,99.18,100.0,0.9917730093002319,,1.0,64,4,0.001,,0.034996525065104166,0.029192254638671877,0.034996525065104166,0.029192254638671877
8,0,224.87997603416443,12.16694688796997,237.2844614982605,29.0,7356.845568,2446.245888,74.0,65.0,28.93478639448506,98.99,100.0,0.9898637533187866,,1.0,64,4,0.001,,0.03345152791341146,0.03273280029296875,0.03345152791341146,0.03273280029296875
9,0,225.17796921730042,12.734237909317017,238.12087988853455,29.1,10113.709056,2477.756416,72.0,65.0,39.77764770055985,99.26,99.99,0.9925850629806519,,1.0,64,4,0.001,,0.03176870524088542,0.028682708740234375,0.03176870524088542,0.028682708740234375
10,0,223.45883989334106,12.05066204071045,235.70172691345215,27.2,513.19808,2479.415296,71.0,66.0,2.0184298672041736,99.1,100.0,0.991065502166748,,1.0,64,4,0.001,,0.02728114013671875,0.030268719482421876,0.02728114013671875,0.030268719482421876
11,0,218.48910355567932,12.207104682922363,230.8829426765442,27.8,4031.825408,2480.951296,72.0,65.0,15.857340742311143,99.25,99.99,0.9923648238182068,,1.0,64,4,0.001,,0.027457867431640626,0.023480767822265627,0.027457867431640626,0.023480767822265627
12,0,219.59118962287903,11.854352951049805,231.77832984924316,29.3,457.490432,2476.99456,73.0,64.0,1.7993293192151851,99.33,99.99,0.9932280778884888,,1.0,64,4,0.001,,0.024265445963541667,0.022852491760253908,0.024265445963541667,0.022852491760253908
13,0,218.5670988559723,12.070584535598755,230.85185933113098,29.2,10291.846656,2477.543424,70.0,66.0,40.47827045486179,99.42,100.0,0.994164228439331,,1.0,64,4,0.001,,0.021088468424479166,0.018814706420898438,0.021088468424479166,0.018814706420898438
14,0,219.22524857521057,12.198896884918213,231.59450221061707,29.4,513.19808,2479.243264,70.0,65.0,2.0184298672041736,99.45,100.0,0.994484543800354,,1.0,64,4,0.001,,0.019583424886067707,0.018632395935058593,0.019583424886067707,0.018632395935058593
15,0,217.86801505088806,12.297311782836914,230.38692998886108,29.3,4262.48192,2477.477888,70.0,64.0,16.764522610345292,99.41,100.0,0.9940491914749146,,1.0,64,4,0.001,,0.019103922526041667,0.016717137145996094,0.019103922526041667,0.016717137145996094
16,0,217.74107098579407,12.663562536239624,230.59493398666382,29.2,513.19808,2478.91968,70.0,66.0,2.0184298672041736,99.26,100.0,0.9925854802131653,,1.0,64,4,0.001,,0.0155556640625,0.023947703552246093,0.0155556640625,0.023947703552246093
17,0,217.4090220928192,12.260544061660767,229.86341404914856,29.2,3888.310784,2478.350336,74.0,65.0,15.292891624609501,99.35,100.0,0.9934982657432556,,1.0,64,4,0.001,,0.017911698404947916,0.01966559600830078,0.017911698404947916,0.01966559600830078
18,0,217.1411838531494,12.382553577423096,229.71503162384033,29.2,513.19808,2479.22688,73.0,65.0,2.0184298672041736,99.55,100.0,0.995462954044342,,1.0,64,4,0.001,,0.013109044392903646,0.014043783569335937,0.013109044392903646,0.014043783569335937
19,0,218.60676550865173,12.382863998413086,231.16961145401,29.1,8343.194624,2480.799744,70.0,65.0,32.81413916626285,99.49,100.0,0.994900643825531,,1.0,64,4,0.001,,0.014095509847005208,0.01804573669433594,0.014095509847005208,0.01804573669433594
20,0,218.56063175201416,11.944315195083618,230.6826732158661,29.3,8460.257792,2480.96768,74.0,64.0,33.27455358293553,99.35,100.0,0.9934987425804138,,1.0,64,4,0.001,,0.01312014872233073,0.02155357666015625,0.01312014872233073,0.02155357666015625
