epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,168.69168972969055,0.6602613925933838,169.55247235298157,32.4,1373.223424,2016.21504,72.0,47.0,5.400946109046201,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6905612462694324,0.7049631941209146,0.6897721209168522,0.7065562676945958
2,1,166.25050497055054,0.5484013557434082,166.9002604484558,35.3,1373.221888,2029.83424,73.0,47.0,5.400940067892898,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6870498030779967,0.6990721816316657,0.6868459423719376,0.7002552277451262
3,1,169.19719886779785,0.5369832515716553,169.85337352752686,35.5,1377.662976,2031.140864,72.0,46.0,5.418407055809302,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6866810383227665,0.6972353174052107,0.6869212834075724,0.6982513567723265
4,1,170.79957246780396,0.523838996887207,171.4491150379181,36.0,1372.865536,2032.10752,72.0,46.0,5.399538520326629,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864754859017951,0.6980802203537128,0.686388270230141,0.6991768233273008
5,1,167.6826639175415,0.5455806255340576,168.32850813865662,35.2,1372.507136,2032.381952,74.0,46.0,5.398128917889289,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864797779105851,0.6976069179149943,0.6865308324053452,0.6986592144047449
6,1,171.8066349029541,0.49433231353759766,172.4180064201355,35.9,1374.236672,2032.717824,75.0,46.0,5.404931256508337,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6865172459873198,0.7022287911231365,0.6866791365070527,0.70364813848373
7,1,168.7979292869568,0.4938383102416992,169.4031801223755,35.8,1097.848832,2032.812032,75.0,46.0,4.3178861311874295,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6865783781125184,0.6977147093606652,0.6869589829250186,0.6987772950338661
8,1,169.4637167453766,0.5134739875793457,170.10942387580872,31.4,1375.26272,2033.078272,72.0,46.0,5.408966746914663,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864928279373116,0.696968288596617,0.6864730071455085,0.6979573101078699
9,1,164.2702796459198,0.4963409900665283,164.97809410095215,28.7,1372.358656,2033.086464,72.0,49.0,5.397544939736678,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864848819210382,0.6976755124713303,0.6865707358945805,0.6987343884389335
10,1,162.08287358283997,0.5132408142089844,162.76889872550964,29.8,1372.356608,2033.422336,73.0,48.0,5.397536884865606,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6885836742193648,0.698276204800387,0.6889847229955457,0.699390516368621
11,1,162.36585211753845,0.4520297050476074,162.93667459487915,29.6,1373.21472,2033.430528,71.0,49.0,5.400911875844151,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864550698599831,0.6970576715031895,0.6866760045471418,0.6980557922923237
12,1,161.22044038772583,0.4994509220123291,161.89100193977356,32.8,1369.618432,2033.467392,71.0,49.0,5.386767522244332,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864801259112978,0.6974417310242259,0.6872390033407573,0.6984780687804616
13,1,168.6453034877777,0.5560283660888672,169.3474986553192,32.9,1374.255104,2033.475584,72.0,45.0,5.405003750347971,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864812859136735,0.6977168791884676,0.6869131635115071,0.6987797448394495
14,1,165.0129280090332,0.43690061569213867,165.53208136558533,31.9,1334.239744,2033.491968,77.0,46.0,5.247621638219011,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864882459279277,0.6975864095425387,0.6870733574610245,0.6986368161822678
15,1,164.07032227516174,0.5194408893585205,164.7152030467987,33.0,1097.913344,2033.741824,74.0,46.0,4.318139859626151,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864773419055962,0.6983509588679042,0.6852792084261321,0.6994718499139908
16,1,160.99566411972046,0.4529094696044922,161.5363564491272,29.8,1373.190144,2033.750016,74.0,48.0,5.400815217391304,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864793139096349,0.6980264646197678,0.6859643536562732,0.6991180979877437
17,1,162.57459044456482,0.4831869602203369,163.1469349861145,29.5,1373.96736,2033.754112,73.0,48.0,5.403872040962565,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864783859077344,0.6975465827031967,0.6856175180957683,0.6985932096428827
18,1,164.77697658538818,0.5140657424926758,165.3888840675354,29.7,1369.561088,2033.803264,70.0,48.0,5.3865419858543575,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864977579474083,0.6970967983980791,0.6861337694877505,0.698098908870592
19,1,161.14192271232605,0.437441349029541,161.728435754776,30.0,1379.08736,2033.811456,75.0,48.0,5.424009218638843,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864847079206818,0.6971155569094036,0.6861211256495917,0.6981195572319381
20,1,160.94129300117493,0.468609094619751,161.48810124397278,29.7,1375.271936,2033.819648,73.0,48.0,5.409002993834481,50.91743119266055,0.0,0.33738601207733154,,0.5,64,4,0.001,,0.6864771099051211,0.6974203827184274,0.6858299113771343,0.6984546906357512
