epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,24.898423671722412,2.8154826164245605,28.579672813415527,34.2,401.930752,2794.508288,71.0,45.0,1.5808107356610406,12.4,35.93,0.10641013830900192,,0.25,128,4,0.001,,3.9713340625,3.72815546875,3.9800259375,3.738401953125
2,3,24.180843591690063,2.5435476303100586,26.815040111541748,33.3,327.272448,2921.009152,70.0,49.0,1.2871764519388398,17.52,43.18,0.15102705359458923,,0.25,128,4,0.001,,3.635455,3.52037578125,3.6452515625,3.536953515625
3,3,23.98942279815674,2.578465223312378,26.667967319488525,34.1,404.34432,2921.684992,75.0,52.0,1.590303401217639,22.68,50.71,0.21465148031711578,,0.25,128,4,0.001,,3.37993375,3.199540234375,3.36270875,3.2161064453125
4,3,23.79486060142517,2.5534656047821045,26.45235586166382,34.6,404.34432,2965.1968,70.0,51.0,1.590303401217639,27.37,57.85,0.255313515663147,,0.25,128,4,0.001,,3.112411875,2.9084443359375,3.11637875,2.9277796875
5,3,24.28841257095337,2.8435959815979004,27.225179195404053,33.9,404.34432,2921.811968,71.0,53.0,1.590303401217639,30.94,61.9,0.2990323603153229,,0.25,128,4,0.001,,2.8808025,2.769027734375,2.883096875,2.771958984375
6,3,24.463582515716553,2.684476852416992,27.249265670776367,33.9,404.34432,2922.397696,71.0,54.0,1.590303401217639,37.02,69.06,0.3605845868587494,,0.25,128,4,0.001,,2.6905734375,2.422946875,2.6835909375,2.4118234375
7,3,24.026748657226562,2.864426612854004,26.989559173583984,33.0,302.003712,2922.225664,72.0,52.0,1.1877934389530989,41.01,73.41,0.39433687925338745,,0.25,128,4,0.001,,2.50925125,2.231003125,2.53120609375,2.2405291015625
8,3,23.965083599090576,2.52428936958313,26.578976154327393,33.0,404.34432,2922.749952,75.0,52.0,1.590303401217639,41.96,74.17,0.41617846488952637,,0.25,128,4,0.001,,2.38278125,2.1478953125,2.3846371875,2.1402609375
9,3,24.360946655273438,2.861570119857788,27.30166482925415,33.6,404.34432,2922.7008,76.0,52.0,1.590303401217639,46.27,77.28,0.4582298994064331,,0.25,128,4,0.001,,2.253604375,1.997065625,2.26818375,1.9917369140625
10,3,24.435975074768066,2.735944986343384,27.266515254974365,34.1,404.34432,2922.893312,72.0,52.0,1.590303401217639,49.8,80.31,0.49543288350105286,,0.25,128,4,0.001,,2.14186015625,1.83509765625,2.1270765625,1.8122904296875
11,3,24.06776452064514,2.6221113204956055,26.766552925109863,32.8,379.599872,2923.012096,74.0,52.0,1.4929824352259489,50.13,79.45,0.49613112211227417,,0.25,128,4,0.001,,2.05160609375,1.851223046875,2.04266390625,1.8635544921875
12,3,23.82423233985901,2.6733617782592773,26.591481924057007,33.3,356.88704,2923.016192,75.0,53.0,1.4036519013362065,54.51,83.68,0.5380060076713562,,0.25,128,4,0.001,,1.9771659375,1.6275138671875,1.9765178125,1.61878759765625
13,3,23.299662590026855,2.5193350315093994,25.90298080444336,34.3,404.34432,2923.020288,71.0,53.0,1.590303401217639,55.61,84.3,0.5524803996086121,,0.25,128,4,0.001,,1.89695109375,1.61272548828125,1.910493125,1.60230048828125
14,3,24.645113945007324,2.6934654712677,28.675880908966064,33.8,404.34432,2923.012096,71.0,53.0,1.590303401217639,55.46,84.08,0.5451714396476746,,0.25,128,4,0.001,,1.8290371875,1.5967662109375,1.836416875,1.56842587890625
15,3,24.573325157165527,2.6961333751678467,27.343828201293945,32.7,379.599872,2923.024384,74.0,52.0,1.4929824352259489,56.03,84.66,0.5602178573608398,,0.25,128,4,0.001,,1.78325125,1.57303310546875,1.78417828125,1.5296525390625
16,3,23.55304718017578,2.406726121902466,26.039124488830566,34.2,404.34432,2923.032576,74.0,52.0,1.590303401217639,57.68,84.07,0.5739133358001709,,0.25,128,4,0.001,,1.7039384375,1.5699763671875,1.6965015625,1.54875625
17,3,23.748171091079712,2.4258298873901367,26.267186164855957,34.2,404.34432,2923.032576,77.0,52.0,1.590303401217639,57.41,85.83,0.575536847114563,,0.25,128,4,0.001,,1.656965,1.52703046875,1.65142125,1.51178720703125
18,3,23.456093549728394,2.6454663276672363,26.186222076416016,33.8,404.34432,2953.23648,73.0,54.0,1.590303401217639,59.3,85.86,0.5915291905403137,,0.25,128,4,0.001,,1.62015,1.49281201171875,1.61849546875,1.46904794921875
19,3,24.599812746047974,2.3541371822357178,27.03120708465576,34.4,404.34432,2923.044864,72.0,52.0,1.590303401217639,60.77,86.89,0.6073507070541382,,0.25,128,4,0.001,,1.5692640625,1.4225287109375,1.56627609375,1.40450380859375
20,3,22.59326171875,2.4330191612243652,25.12303900718689,33.7,301.971968,2922.98752,71.0,52.0,1.187668588451506,60.84,87.33,0.6107450127601624,,0.25,128,4,0.001,,1.52613890625,1.4095458984375,1.534561875,1.406503125
