epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,311.62638878822327,3.0888729095458984,316.126916885376,28.9,181.712896,1698.451456,73.0,51.0,0.7146845454732913,9.23,26.39,0.06615044176578522,,0.25,16,4,0.001,,4.7935140625,5.435869140625,4.7815425,5.456652734375
2,2,311.80823159217834,2.6785879135131836,315.8768963813782,29.2,184.92928,2016.858112,72.0,50.0,0.72733472048953,16.3,38.65,0.1375633180141449,,0.25,16,4,0.001,,4.257715625,4.234274609375,4.266415625,4.257323828125
3,2,307.95977997779846,2.685734510421753,312.09954833984375,29.1,184.92928,2017.120256,74.0,51.0,0.72733472048953,23.61,49.76,0.21086394786834717,,0.25,16,4,0.001,,3.8843521875,3.4184328125,3.8749471875,3.41261953125
4,2,310.32884883880615,2.8011586666107178,314.5505087375641,29.1,184.92928,2018.844672,72.0,51.0,0.72733472048953,28.74,56.16,0.26976141333580017,,0.25,16,4,0.001,,3.5904109375,3.10253359375,3.582705,3.126288671875
5,2,309.52183723449707,2.7410223484039307,313.3754677772522,29.5,1827.0592,2017.693696,71.0,52.0,7.185901510836057,33.1,59.74,0.31136003136634827,,0.25,16,4,0.001,,3.37837125,2.9407197265625,3.3908959375,2.985138671875
6,2,312.5989329814911,2.7407188415527344,316.5995376110077,29.2,184.92928,2019.160064,73.0,51.0,0.72733472048953,37.04,64.67,0.3539074957370758,,0.25,16,4,0.001,,3.2060746875,2.6657154296875,3.1982725,2.6956712890625
7,2,311.2179374694824,2.678408622741699,315.2192451953888,28.0,170.70592,2017.804288,73.0,49.0,0.6713936409048262,37.63,64.9,0.35792848467826843,,0.25,16,4,0.001,,3.0701475,2.7063208984375,3.0651528125,2.7485314453125
8,2,309.60888266563416,2.7494235038757324,313.3777585029602,29.1,184.92928,2019.442688,73.0,51.0,0.72733472048953,40.72,68.54,0.39336153864860535,,0.25,16,4,0.001,,2.9553825,2.4902896484375,2.9412275,2.551618359375
9,2,309.1705527305603,2.71254301071167,313.0968837738037,29.2,184.92928,2018.295808,74.0,51.0,0.72733472048953,43.05,71.26,0.419411838054657,,0.25,16,4,0.001,,2.85193375,2.3615400390625,2.8660278125,2.4074794921875
10,2,312.2542598247528,2.711080312728882,316.351398229599,29.2,184.92928,2019.479552,71.0,52.0,0.72733472048953,44.5,71.89,0.43609341979026794,,0.25,16,4,0.001,,2.7658340625,2.32882890625,2.7583475,2.3789232421875
11,2,311.6076817512512,2.685946226119995,315.64417147636414,29.1,1740.187136,2018.57024,74.0,52.0,6.844229989767092,46.16,72.16,0.4482307434082031,,0.25,16,4,0.001,,2.69230875,2.293066015625,2.6944846875,2.3527806640625
12,2,310.80373096466064,2.7458724975585938,315.08363008499146,29.4,1952.9216,2019.475456,73.0,51.0,7.680923681063192,48.22,74.3,0.47503671050071716,,0.25,16,4,0.001,,2.6209028125,2.1487220703125,2.6156359375,2.219404296875
13,2,307.51201367378235,2.6937429904937744,311.3967480659485,29.1,184.92928,2018.840576,72.0,51.0,0.72733472048953,48.25,74.03,0.4752277433872223,,0.25,16,4,0.001,,2.55637390625,2.1895998046875,2.54996078125,2.23712421875
14,2,311.00794887542725,2.904623031616211,315.2050473690033,29.2,184.92928,2019.487744,73.0,51.0,0.72733472048953,49.3,75.43,0.484857439994812,,0.25,16,4,0.001,,2.48391921875,2.09787890625,2.45925875,2.1731966796875
15,2,307.38932704925537,2.712965250015259,312.0349519252777,29.2,184.92928,2019.110912,71.0,50.0,0.72733472048953,50.08,75.98,0.49283140897750854,,0.25,16,4,0.001,,2.42643765625,2.0894212890625,2.43407828125,2.15494140625
16,2,311.09402203559875,8.655494451522827,320.71283173561096,29.4,184.92928,2019.508224,74.0,51.0,0.72733472048953,50.88,76.42,0.5012170672416687,,0.25,16,4,0.001,,2.374068125,2.051654296875,2.3734528125,2.133040234375
17,2,310.5065851211548,2.6885030269622803,314.58070826530457,29.0,170.708992,2019.319808,72.0,52.0,0.671405723211432,51.34,76.99,0.5088762640953064,,0.25,16,4,0.001,,2.33142546875,2.0370166015625,2.33667453125,2.09571796875
18,2,309.262713432312,2.7104012966156006,313.3254964351654,29.3,184.92928,2019.49184,72.0,51.0,0.72733472048953,52.06,77.91,0.5155745148658752,,0.25,16,4,0.001,,2.27653453125,1.996730078125,2.278336875,2.0621259765625
19,2,348.1799702644348,2.6681602001190186,352.3069429397583,29.0,184.92928,2019.65568,72.0,50.0,0.72733472048953,52.94,77.88,0.5236888527870178,,0.25,16,4,0.001,,2.23289171875,1.9508498046875,2.23792703125,1.996477734375
20,2,384.8473002910614,3.528282403945923,389.0094404220581,51.4,184.92928,2019.663872,76.0,48.0,0.72733472048953,53.93,78.25,0.5340712070465088,,0.25,16,4,0.001,,2.182539375,1.962434375,2.1818921875,2.0224046875
