epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,188.54717564582825,9.223397254943848,197.97975420951843,0.0,164.337152,1185.173504,0.0,31.0,0.9887762218804833,98.15,99.98,0.9813783764839172,,1.0,64,4,0.001,,0.4065662760416667,0.05531721801757813,0.4065662760416667,0.05531721801757813
2,0,194.34177255630493,9.438228368759155,203.91764497756958,11.4,432.418816,2632.503296,0.0,33.0,2.601757654620374,97.15,99.99,0.9719027280807495,,1.0,64,4,0.001,,0.07074711100260417,0.09061522216796875,0.07074711100260417,0.09061522216796875
3,0,192.14517784118652,9.527266502380371,201.83215427398682,11.0,512.60416,2666.549248,0.0,34.0,3.0842131464285005,99.07,99.98,0.9906638860702515,,1.0,64,4,0.001,,0.06157528889973958,0.032352426147460936,0.06157528889973958,0.032352426147460936
4,0,194.95821475982666,9.594974517822266,204.71785140037537,11.1,3508.2624,2667.761664,0.0,33.0,21.108351940024843,99.17,99.98,0.99164217710495,,1.0,64,4,0.001,,0.0429542236328125,0.026390771484375,0.0429542236328125,0.026390771484375
5,0,192.7561013698578,9.246346950531006,202.15301895141602,11.0,5276.427776,2668.396544,0.0,33.0,31.746968095069107,98.98,100.0,0.9897066950798035,,1.0,64,4,0.001,,0.03876396891276042,0.0362070068359375,0.03876396891276042,0.0362070068359375
6,0,192.4902081489563,9.289997577667236,201.92996621131897,11.3,6838.152704,2668.163072,0.0,34.0,41.14348285227026,99.2,100.0,0.9918754696846008,,1.0,64,4,0.001,,0.03701722819010417,0.025684872436523436,0.03701722819010417,0.025684872436523436
7,0,193.66937828063965,9.49005675315857,203.33412718772888,11.3,586.992128,2668.265472,0.0,37.0,3.531787252814415,99.38,100.0,0.9937906265258789,,1.0,64,4,0.001,,0.03600548095703125,0.01967198944091797,0.03600548095703125,0.01967198944091797
8,0,189.92818975448608,9.390189170837402,199.46860146522522,9.2,6290.97728,2668.724224,0.0,46.0,37.85126291378324,98.93,100.0,0.9893456101417542,,1.0,64,4,0.001,,0.035174100748697916,0.032018850708007814,0.035174100748697916,0.032018850708007814
9,0,189.836275100708,9.35221242904663,199.34550094604492,9.1,7424.505856,2669.375488,0.0,49.0,44.67142554366041,99.35,100.0,0.9934676289558411,,1.0,64,4,0.001,,0.030047149658203126,0.019938761901855468,0.030047149658203126,0.019938761901855468
10,0,188.41869378089905,9.270186185836792,197.85079860687256,9.4,9683.16672,2668.78976,0.0,49.0,58.261232403738084,99.14,100.0,0.9913281202316284,,1.0,64,4,0.001,,0.027916461181640626,0.029852764892578126,0.027916461181640626,0.029852764892578126
11,0,192.28347086906433,9.37660264968872,201.81503224372864,9.5,7192.38144,2668.634112,0.0,50.0,43.274790027799135,99.36,100.0,0.9935299158096313,,1.0,64,4,0.001,,0.024079012044270834,0.019865518188476563,0.024079012044270834,0.019865518188476563
12,0,192.39956307411194,9.596756219863892,202.17997026443481,9.2,4127.838208,2668.445696,0.0,49.0,24.83618718085211,99.44,100.0,0.9944315552711487,,1.0,64,4,0.001,,0.023212274169921877,0.016659426879882814,0.023212274169921877,0.016659426879882814
13,0,191.71543860435486,9.552473545074463,201.42463397979736,16.0,512.604672,2668.593152,0.0,49.0,3.084216227006565,99.41,100.0,0.9940860271453857,,1.0,64,4,0.001,,0.0233554931640625,0.020059912109375,0.0233554931640625,0.020059912109375
14,0,189.77180528640747,9.637155771255493,199.56285548210144,14.4,9958.67136,2668.597248,0.0,49.0,59.91887605725439,99.43,100.0,0.9942701458930969,,1.0,64,4,0.001,,0.018819844563802084,0.017557652282714845,0.018819844563802084,0.017557652282714845
15,0,193.33909559249878,9.61573338508606,203.1023211479187,13.9,3251.982848,2668.793856,0.0,50.0,19.56638091224542,99.54,100.0,0.9953670501708984,,1.0,64,4,0.001,,0.018038832600911457,0.01761010437011719,0.018038832600911457,0.01761010437011719
16,0,189.94133877754211,9.687857627868652,199.78754091262817,13.8,7457.232384,2668.752896,0.0,50.0,44.86833301295321,99.55,100.0,0.9954633712768555,,1.0,64,4,0.001,,0.016281610107421875,0.016289862060546875,0.016281610107421875,0.016289862060546875
17,0,192.30162525177002,9.892557621002197,202.35686445236206,14.0,3299.186176,2669.109248,0.0,49.0,19.850391726306658,99.47,100.0,0.9946708679199219,,1.0,64,4,0.001,,0.016151971435546874,0.01585204315185547,0.016151971435546874,0.01585204315185547
18,0,192.3440647125244,9.815978288650513,202.35499787330627,14.4,512.604672,2668.425216,0.0,50.0,3.084216227006565,99.47,100.0,0.9946505427360535,,1.0,64,4,0.001,,0.01430711669921875,0.016611199951171874,0.01430711669921875,0.016611199951171874
19,0,194.19533491134644,9.66351056098938,204.01256227493286,14.3,8289.304576,2668.589056,0.0,47.0,49.87470672896828,99.52,100.0,0.995160698890686,,1.0,64,4,0.001,,0.015152066040039063,0.017675489807128908,0.015152066040039063,0.017675489807128908
20,0,193.45139074325562,9.58452296257019,203.19103360176086,13.0,3554.717184,2669.170688,0.0,51.0,21.38785894895605,99.34,100.0,0.9933883547782898,,1.0,64,4,0.001,,0.012865639241536459,0.02289875183105469,0.012865639241536459,0.02289875183105469
