epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,4.685578107833862,0.612677812576294,5.536826848983765,0.0,259.185664,1063.108608,0.0,35.0,1.5594563888724589,0.0,0.0,0.0,,0.25,32,4,0.001,,4.209586924625123,3.2659372790106413,4.263193686177411,3.231317980536099
2,0,3.391766309738159,0.5758466720581055,4.039999485015869,9.5,931.619328,2190.680064,0.0,37.0,5.6053243479032355,0.0,0.0,0.0,,0.25,32,4,0.001,,3.041462856056416,2.930914517106681,3.0626958411509597,2.916314223716999
3,0,3.32611083984375,0.5172805786132812,3.9107463359832764,9.5,668.357632,2327.2448,0.0,37.0,4.021343477060783,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9504759421859634,2.9384239459859915,2.9670575960414616,2.928645429940059
4,0,3.266860008239746,0.5850708484649658,4.065324783325195,8.8,668.357632,2329.694208,0.0,37.0,4.021343477060783,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9381313567785154,2.917811426623114,2.9334875392162894,2.9040661515860724
5,0,3.2136263847351074,0.5344357490539551,4.0085344314575195,8.7,668.357632,2204.18048,0.0,37.0,4.021343477060783,0.0,0.0,0.0,,0.25,32,4,0.001,,2.931780339693953,2.9193957098599137,2.9309084434208907,2.9125276762863685
6,0,3.700577735900879,0.6776764392852783,4.488137722015381,8.6,668.357632,2204.274688,0.0,37.0,4.021343477060783,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9304196818153883,2.916144535459321,2.9264403816283218,2.9033721397662986
7,0,3.835754156112671,0.49949097633361816,4.410664796829224,7.8,674.077696,2205.069312,0.0,40.0,4.055759695195283,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9283674121957963,2.915746228448276,2.920293612742987,2.906347340550916
8,0,3.6797430515289307,0.6016225814819336,4.337766170501709,8.2,674.921472,2205.384704,0.0,43.0,4.060836487845271,0.0,0.0,0.0,,0.25,32,4,0.001,,2.928061816310226,2.914844381398168,2.9324328805517963,2.9033297834725214
9,0,3.705836057662964,0.5421719551086426,4.2632529735565186,8.3,675.323392,2205.667328,0.0,40.0,4.063254741625756,0.0,0.0,0.0,,0.25,32,4,0.001,,2.926992830859759,2.913013326710668,2.9376528281865157,2.9028346620757004
10,0,3.563985824584961,0.5066943168640137,4.147644996643066,8.5,674.278912,2205.945856,0.0,38.0,4.0569703623745585,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9260479562284907,2.913203535408809,2.919753908172367,2.9025179106613685
11,0,3.6101462841033936,0.5205950736999512,4.25540828704834,8.2,675.244544,2206.162944,0.0,38.0,4.062780332603852,0.0,0.0,0.0,,0.25,32,4,0.001,,2.924830613938053,2.9105169362035292,2.9138647364819144,2.899811317180765
12,0,3.5916810035705566,0.520331859588623,4.24558162689209,8.2,2012.940288,2206.220288,0.0,39.0,12.111366593718577,0.0,0.0,0.0,,0.25,32,4,0.001,,2.923518928220256,2.910191503064386,2.9253811573419046,2.898424345871498
13,0,3.344341993331909,0.4843885898590088,4.02424693107605,8.5,674.272256,2206.285824,0.0,38.0,4.056930314859722,0.0,0.0,0.0,,0.25,32,4,0.001,,2.922088412994715,2.906329977101293,2.918204239972933,2.8950574151400863
14,0,3.3670804500579834,0.5315127372741699,3.944129705429077,8.6,674.264064,2207.19104,0.0,38.0,4.056881025610693,0.0,0.0,0.0,,0.25,32,4,0.001,,2.920741918633235,2.9077798251448006,2.91352279542938,2.8948935146989494
15,0,3.4529035091400146,0.5616757869720459,4.056777000427246,8.5,1850.713088,2207.387648,0.0,43.0,11.135285434041126,0.0,0.0,0.0,,0.25,32,4,0.001,,2.918799836375369,2.9053050074084052,2.9161131851316435,2.8939892999057113
16,0,3.529578447341919,0.5065181255340576,4.119870185852051,8.8,674.617856,2207.510528,0.0,40.0,4.059009705053134,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9172840999877088,2.90325927734375,2.916088194359006,2.889851011078933
17,0,3.4422409534454346,0.5840919017791748,4.10749626159668,8.6,674.336768,2207.895552,0.0,38.0,4.057318467695826,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9163819559673057,2.902754948056977,2.929873248723548,2.8890675511853448
18,0,3.2770614624023438,0.5558650493621826,4.0828399658203125,8.2,668.357632,2208.018432,0.0,40.0,4.021343477060783,0.0,0.0,0.0,,0.25,32,4,0.001,,2.915335776179941,2.901605277225889,2.9154478058101625,2.8855317214439653
19,0,3.363382339477539,0.5422616004943848,3.929197311401367,8.6,668.357632,2208.41984,0.0,39.0,4.021343477060783,0.0,0.0,0.0,,0.25,32,4,0.001,,2.9139026202986726,2.900541634395205,2.9095312403881644,2.8865453785863417
20,0,3.5486068725585938,0.5773491859436035,4.181629180908203,8.4,668.357632,2208.354304,0.0,38.0,4.021343477060783,0.0,0.0,0.0,,0.25,32,4,0.001,,2.913695208794248,2.899370916958513,2.913552351823942,2.885370977993669
