epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,98.01270151138306,3.9189693927764893,102.11250162124634,15.8,4302.836224,2262.667264,0.0,43.0,25.889107199187713,11.38,30.68,0.09476502984762192,,0.25,64,4,0.001,,4.622131875,4.15975078125,4.61047875,4.137228515625
2,2,99.31581830978394,3.1724939346313477,102.61953139305115,13.2,241.957376,2615.160832,0.0,48.0,1.455798017586404,19.86,44.47,0.17672699689865112,,0.25,64,4,0.001,,4.0337371875,3.5953703125,4.0377971875,3.5831203125
3,2,99.87999749183655,3.19813871383667,103.21669602394104,16.1,7187.638784,2615.914496,0.0,49.0,43.2462546331894,25.09,51.46,0.22909075021743774,,0.25,64,4,0.001,,3.671234375,3.2728462890625,3.6695925,3.2556517578125
4,2,101.39829754829407,3.345879077911377,104.91041350364685,14.3,2043.979264,2616.123392,0.0,49.0,12.2981204777114,30.58,58.36,0.28120437264442444,,0.25,64,4,0.001,,3.392568125,2.988918359375,3.3892153125,2.9811951171875
5,2,100.02494883537292,3.1314730644226074,103.34113788604736,13.5,241.957376,2616.561664,0.0,53.0,1.455798017586404,33.11,60.53,0.3163641095161438,,0.25,64,4,0.001,,3.1807525,2.862681640625,3.187218125,2.8865259765625
6,2,101.23847126960754,3.203101634979248,104.73486471176147,13.2,188.537856,2619.232256,0.0,50.0,1.1343859052463476,37.96,65.81,0.37003588676452637,,0.25,64,4,0.001,,3.014006875,2.611630859375,3.013679375,2.6161396484375
7,2,97.92019891738892,3.05446195602417,101.26849126815796,14.6,241.957376,2617.483264,0.0,50.0,1.455798017586404,40.12,67.3,0.38864654302597046,,0.25,64,4,0.001,,2.88487125,2.5336015625,2.8951290625,2.5554787109375
8,2,99.38466835021973,3.3489153385162354,102.87841415405273,15.4,241.957376,2619.260928,0.0,50.0,1.455798017586404,42.54,69.7,0.41363176703453064,,0.25,64,4,0.001,,2.7603434375,2.410875390625,2.762963125,2.4359654296875
9,2,100.69386196136475,3.137910842895508,104.00908398628235,15.3,241.957376,2618.22464,0.0,53.0,1.455798017586404,43.7,71.21,0.4301994740962982,,0.25,64,4,0.001,,2.6575459375,2.323360546875,2.6742615625,2.368781640625
10,2,99.76454567909241,3.1631927490234375,103.26401615142822,13.1,188.537856,2619.404288,0.0,50.0,1.1343859052463476,45.58,73.02,0.44817233085632324,,0.25,64,4,0.001,,2.56481390625,2.2526689453125,2.5502384375,2.2762576171875
11,2,101.30310606956482,3.2548110485076904,104.71016049385071,14.8,241.957376,2618.79808,0.0,51.0,1.455798017586404,46.1,72.67,0.45920461416244507,,0.25,64,4,0.001,,2.48084328125,2.25206796875,2.478049375,2.2548576171875
12,2,101.99492287635803,3.3425395488739014,105.47420740127563,15.3,241.957376,2618.69568,0.0,50.0,1.455798017586404,48.41,74.81,0.47449249029159546,,0.25,64,4,0.001,,2.4047390625,2.1464400390625,2.39600234375,2.1723513671875
13,2,100.05388236045837,3.212571859359741,103.40381598472595,14.9,241.957376,2618.822656,0.0,53.0,1.455798017586404,48.73,74.53,0.48196038603782654,,0.25,64,4,0.001,,2.33796125,2.12380703125,2.3289565625,2.1498205078125
14,2,100.75645518302917,2.9412684440612793,104.0736346244812,14.4,241.956864,2619.16672,0.0,54.0,1.4557949370083394,50.9,76.68,0.5025753378868103,,0.25,64,4,0.001,,2.2713578125,2.04527109375,2.252324375,2.055406640625
15,2,101.90787506103516,3.0541794300079346,105.24197053909302,13.9,1809.794048,2617.99936,0.0,50.0,10.889085635141262,50.83,76.28,0.5032056570053101,,0.25,64,4,0.001,,2.20910765625,2.034119140625,2.208960625,2.0960658203125
16,2,100.59232068061829,3.5220048427581787,104.27063846588135,14.9,8331.618816,2619.5968,0.0,49.0,50.1293011030934,52.17,77.74,0.5184904336929321,,0.25,64,4,0.001,,2.1509903125,2.0162892578125,2.15923765625,2.047506640625
17,2,100.70318078994751,3.3628642559051514,104.22644257545471,14.8,213.141504,2619.465728,0.0,52.0,1.2824200035488258,52.53,77.24,0.5252934694290161,,0.25,64,4,0.001,,2.096980625,2.013316796875,2.10541453125,2.0698337890625
18,2,102.02399468421936,3.3478283882141113,105.5074474811554,15.2,8549.08416,2620.526592,0.0,51.0,51.43773658839533,53.39,77.79,0.5283952951431274,,0.25,64,4,0.001,,2.04216765625,1.9616150390625,2.02052140625,2.0056029296875
19,2,102.84315657615662,3.4951508045196533,106.48115587234497,15.4,241.957376,2634.113024,0.0,54.0,1.455798017586404,53.83,78.47,0.5380818843841553,,0.25,64,4,0.001,,1.98929,1.92582265625,1.9827728125,1.9395421875
20,2,101.279531955719,3.3995800018310547,104.93631482124329,15.1,241.957376,2621.21472,0.0,49.0,1.455798017586404,53.21,77.72,0.535162091255188,,0.25,64,4,0.001,,1.94550546875,1.9753798828125,1.9484396875,2.011030859375
