ts,event,job_id,cluster,world_size,note,metadata_json
2026-01-24 06:05:53,submitted,job-5a3959efe243,-,2,"SJF g=2, T_est=4814.40s, batch=64","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""I need this training to finish as fast as possible. Prioritize performance and speed over everything else."", ""est_runtime_sec"": 4814.4}"
2026-01-24 06:05:53,started,job-5a3959efe243,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=0.2, T_est=4814.40s","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 0.24905729293823242, ""started_ts"": 1769202353.7883482, ""est_runtime_sec"": 4814.4}"
2026-01-24 06:05:54,submitted,job-330d763103a8,-,2,"SJF g=2, T_est=6045.60s, batch=32","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 6045.599999999999}"
2026-01-24 06:05:54,started,job-330d763103a8,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_c', 'node_d'], queued_sec=0.8, T_est=6045.60s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_c"", ""node_d""], ""queued_sec"": 0.764859676361084, ""started_ts"": 1769202354.8269203, ""est_runtime_sec"": 6045.599999999999}"
2026-01-24 06:11:37,submitted,job-b561a4c2d7de,-,4,"SJF g=4, T_est=1710.80s, batch=128","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 1710.8000000000002}"
2026-01-24 06:11:42,started,job-b561a4c2d7de,clusterB,4,"SJF started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=5.7, T_est=1710.80s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 5.7019147872924805, ""started_ts"": 1769202702.930985, ""est_runtime_sec"": 1710.8000000000002}"
2026-01-24 06:15:14,submitted,job-c20e9850b27a,-,1,"SJF g=1, T_est=2380.60s, batch=64","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption."", ""est_runtime_sec"": 2380.6}"
2026-01-24 06:16:40,submitted,job-a31a8eb50482,-,1,"SJF g=1, T_est=2380.60s, batch=32","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Maximize GPU utilization for this run — I’m fine if it uses more energy temporarily."", ""est_runtime_sec"": 2380.6}"
2026-01-24 06:18:12,submitted,job-413d6b1f6836,-,4,"SJF g=4, T_est=1710.80s, batch=32","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available."", ""est_runtime_sec"": 1710.8000000000002}"
2026-01-24 06:21:27,finished,job-b561a4c2d7de,clusterB,4,exit=0,"{""end_ts"": 1769203287.079872, ""jct_sec"": 584.1488869190216, ""queued_sec"": 5.7019147872924805}"
2026-01-24 06:21:34,started,job-413d6b1f6836,clusterB,4,"SJF started_on=clusterB, g=4, nodes=['node_e', 'node_f', 'node_g', 'node_h'], queued_sec=201.7, T_est=1710.80s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""queued_sec"": 201.66192650794983, ""started_ts"": 1769203294.5300333, ""est_runtime_sec"": 1710.8000000000002}"
2026-01-24 06:27:42,submitted,job-cba67ed53b55,-,1,"SJF g=1, T_est=1098.60s, batch=32","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 1098.6}"
2026-01-24 06:29:15,submitted,job-d78401dae396,-,4,"SJF g=4, T_est=7019.30s, batch=32","{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Prefer reliability and consistency. I’d rather not have the job preempted or rescheduled."", ""est_runtime_sec"": 7019.300000000001}"
2026-01-24 06:30:10,submitted,job-e766c6c6ccaa,-,2,"SJF g=2, T_est=2609.30s, batch=128","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 128, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available."", ""est_runtime_sec"": 2609.3}"
2026-01-24 06:40:55,submitted,job-bb6950271a09,-,1,"SJF g=1, T_est=63.10s, batch=32","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 63.10000000000001}"
2026-01-24 06:42:13,finished,job-413d6b1f6836,clusterB,4,exit=0,"{""end_ts"": 1769204533.258073, ""jct_sec"": 1238.728039741516, ""queued_sec"": 201.66192650794983}"
2026-01-24 06:42:13,started,job-bb6950271a09,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_e'], queued_sec=78.6, T_est=63.10s","{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""nodes"": [""node_e""], ""queued_sec"": 78.59845066070557, ""started_ts"": 1769204533.925378, ""est_runtime_sec"": 63.10000000000001}"
2026-01-24 06:42:13,started,job-cba67ed53b55,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_f'], queued_sec=871.4, T_est=1098.60s","{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""nodes"": [""node_f""], ""queued_sec"": 871.372894525528, ""started_ts"": 1769204533.9420314, ""est_runtime_sec"": 1098.6}"
2026-01-24 06:42:13,started,job-c20e9850b27a,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_g'], queued_sec=1619.8, T_est=2380.60s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_g""], ""queued_sec"": 1619.8293442726135, ""started_ts"": 1769204533.9615479, ""est_runtime_sec"": 2380.6}"
2026-01-24 06:42:13,started,job-a31a8eb50482,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_h'], queued_sec=1534.0, T_est=2380.60s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_h""], ""queued_sec"": 1533.9617819786072, ""started_ts"": 1769204533.9831934, ""est_runtime_sec"": 2380.6}"
2026-01-24 06:44:53,finished,job-bb6950271a09,clusterB,1,exit=0,"{""end_ts"": 1769204693.4181254, ""jct_sec"": 159.49274730682373, ""queued_sec"": 78.59845066070557}"
2026-01-24 06:47:29,submitted,job-04a0d8c50910,-,1,"SJF g=1, T_est=2380.60s, batch=64","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Focus on efficiency. Use GPUs effectively but avoid unnecessary power consumption."", ""est_runtime_sec"": 2380.6}"
2026-01-24 06:47:30,started,job-04a0d8c50910,clusterB,1,"SJF started_on=clusterB, g=1, nodes=['node_e'], queued_sec=0.9, T_est=2380.60s","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""nodes"": [""node_e""], ""queued_sec"": 0.8885245323181152, ""started_ts"": 1769204850.3587246, ""est_runtime_sec"": 2380.6}"
2026-01-24 06:48:08,finished,job-5a3959efe243,clusterA,2,exit=0,"{""end_ts"": 1769204888.1113474, ""jct_sec"": 2534.322999238968, ""queued_sec"": 0.24905729293823242}"
2026-01-24 06:48:08,started,job-e766c6c6ccaa,clusterA,2,"SJF started_on=clusterA, g=2, nodes=['node_a', 'node_b'], queued_sec=1078.3, T_est=2609.30s","{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""nodes"": [""node_a"", ""node_b""], ""queued_sec"": 1078.2544598579407, ""started_ts"": 1769204888.446533, ""est_runtime_sec"": 2609.3}"
2026-01-24 06:50:26,submitted,job-41d9f31fde9e,-,2,"SJF g=2, T_est=6045.60s, batch=32","{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""user_request"": ""Please minimize queue waiting time. Start as soon as a slot is available."", ""est_runtime_sec"": 6045.599999999999}"
2026-01-24 06:51:09,submitted,job-2e63e0db8f89,-,2,"SJF g=2, T_est=4814.40s, batch=64","{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""user_request"": ""Please keep the cost reasonable while still maintaining decent speed."", ""est_runtime_sec"": 4814.4}"
