ts,event,job_id,queue_len_after,note
2026-01-24 06:05:53,enqueue,job-5a3959efe243,1,"SJF g=2, T_est=4814.40s, batch=64"
2026-01-24 06:05:53,dequeue_start,job-5a3959efe243,0,"SJF g=2, cluster=clusterA, T_est=4814.40s"
2026-01-24 06:05:54,enqueue,job-330d763103a8,1,"SJF g=2, T_est=6045.60s, batch=32"
2026-01-24 06:05:54,dequeue_start,job-330d763103a8,0,"SJF g=2, cluster=clusterA, T_est=6045.60s"
2026-01-24 06:11:37,enqueue,job-b561a4c2d7de,1,"SJF g=4, T_est=1710.80s, batch=128"
2026-01-24 06:11:42,dequeue_start,job-b561a4c2d7de,0,"SJF g=4, cluster=clusterB, T_est=1710.80s"
2026-01-24 06:15:14,enqueue,job-c20e9850b27a,1,"SJF g=1, T_est=2380.60s, batch=64"
2026-01-24 06:16:40,enqueue,job-a31a8eb50482,2,"SJF g=1, T_est=2380.60s, batch=32"
2026-01-24 06:18:12,enqueue,job-413d6b1f6836,3,"SJF g=4, T_est=1710.80s, batch=32"
2026-01-24 06:21:34,dequeue_start,job-413d6b1f6836,2,"SJF g=4, cluster=clusterB, T_est=1710.80s"
2026-01-24 06:27:42,enqueue,job-cba67ed53b55,3,"SJF g=1, T_est=1098.60s, batch=32"
2026-01-24 06:29:15,enqueue,job-d78401dae396,4,"SJF g=4, T_est=7019.30s, batch=32"
2026-01-24 06:30:10,enqueue,job-e766c6c6ccaa,5,"SJF g=2, T_est=2609.30s, batch=128"
2026-01-24 06:40:55,enqueue,job-bb6950271a09,6,"SJF g=1, T_est=63.10s, batch=32"
2026-01-24 06:42:13,dequeue_start,job-bb6950271a09,5,"SJF g=1, cluster=clusterB, T_est=63.10s"
2026-01-24 06:42:13,dequeue_start,job-cba67ed53b55,4,"SJF g=1, cluster=clusterB, T_est=1098.60s"
2026-01-24 06:42:13,dequeue_start,job-c20e9850b27a,3,"SJF g=1, cluster=clusterB, T_est=2380.60s"
2026-01-24 06:42:13,dequeue_start,job-a31a8eb50482,2,"SJF g=1, cluster=clusterB, T_est=2380.60s"
2026-01-24 06:47:29,enqueue,job-04a0d8c50910,3,"SJF g=1, T_est=2380.60s, batch=64"
2026-01-24 06:47:30,dequeue_start,job-04a0d8c50910,2,"SJF g=1, cluster=clusterB, T_est=2380.60s"
2026-01-24 06:48:08,dequeue_start,job-e766c6c6ccaa,1,"SJF g=2, cluster=clusterA, T_est=2609.30s"
2026-01-24 06:50:26,enqueue,job-41d9f31fde9e,2,"SJF g=2, T_est=6045.60s, batch=32"
2026-01-24 06:51:09,enqueue,job-2e63e0db8f89,3,"SJF g=2, T_est=4814.40s, batch=64"
2026-01-24 07:03:26,enqueue,job-dc544ffd5d65,4,"SJF g=4, T_est=105.10s, batch=16"
2026-01-24 07:05:04,enqueue,job-d4eeb8d86d5d,5,"SJF g=4, T_est=7019.30s, batch=64"
2026-01-24 07:08:24,dequeue_start,job-2e63e0db8f89,4,"SJF g=2, cluster=clusterA, T_est=4814.40s"
2026-01-24 07:13:16,enqueue,job-3b7a597e4983,5,"SJF g=1, T_est=2380.60s, batch=32"
2026-01-24 07:13:17,dequeue_start,job-3b7a597e4983,4,"SJF g=1, cluster=clusterB, T_est=2380.60s"
2026-01-24 07:19:30,enqueue,job-2d29632b5233,5,"SJF g=1, T_est=2380.60s, batch=64"
2026-01-24 07:25:43,dequeue_start,job-2d29632b5233,4,"SJF g=1, cluster=clusterB, T_est=2380.60s"
2026-01-24 07:41:07,enqueue,job-0c0c275080c0,5,"SJF g=2, T_est=6045.60s, batch=64"
2026-01-24 07:41:56,enqueue,job-40fc4265740d,6,"SJF g=1, T_est=4400.10s, batch=64"
2026-01-24 07:41:57,dequeue_start,job-40fc4265740d,5,"SJF g=1, cluster=clusterB, T_est=4400.10s"
2026-01-24 07:50:31,dequeue_start,job-41d9f31fde9e,4,"SJF g=2, cluster=clusterA, T_est=6045.60s"
2026-01-24 07:54:33,enqueue,job-3f257c64accb,5,"SJF g=4, T_est=105.10s, batch=8"
2026-01-24 07:55:45,enqueue,job-aeebb3e5c251,6,"SJF g=4, T_est=105.10s, batch=32"
2026-01-24 07:58:39,enqueue,job-15494aab33c9,7,"SJF g=4, T_est=7019.30s, batch=64"
2026-01-24 08:03:31,enqueue,job-ea3dd73591d5,8,"SJF g=4, T_est=7019.30s, batch=32"
2026-01-24 08:05:03,enqueue,job-ce75ef86b496,9,"SJF g=1, T_est=63.10s, batch=16"
2026-01-24 08:05:04,dequeue_start,job-ce75ef86b496,8,"SJF g=1, cluster=clusterB, T_est=63.10s"
2026-01-24 08:09:30,dequeue_start,job-0c0c275080c0,7,"SJF g=2, cluster=clusterB, T_est=6045.60s"
2026-01-24 08:15:00,enqueue,job-db853cb731d8,8,"SJF g=1, T_est=1098.60s, batch=64"
2026-01-24 08:15:20,dequeue_start,job-db853cb731d8,7,"SJF g=1, cluster=clusterB, T_est=1098.60s"
2026-01-24 08:16:02,enqueue,job-fd56190247f8,8,"SJF g=1, T_est=2380.60s, batch=32"
2026-01-24 08:16:08,dequeue_start,job-fd56190247f8,7,"SJF g=1, cluster=clusterA, T_est=2380.60s"
2026-01-24 08:21:00,enqueue,job-859338c113d6,8,"SJF g=1, T_est=2194.30s, batch=64"
2026-01-24 08:21:01,dequeue_start,job-859338c113d6,7,"SJF g=1, cluster=clusterA, T_est=2194.30s"
2026-01-24 08:44:10,enqueue,job-f9789e2f2993,8,"SJF g=1, T_est=4400.10s, batch=64"
2026-01-24 08:44:10,dequeue_start,job-f9789e2f2993,7,"SJF g=1, cluster=clusterB, T_est=4400.10s"
2026-01-24 08:44:18,enqueue,job-5c1b02f34261,8,"SJF g=4, T_est=3050.40s, batch=32"
2026-01-24 08:52:28,enqueue,job-9abdfac6a7ce,9,"SJF g=2, T_est=2609.30s, batch=128"
2026-01-24 09:06:48,dequeue_start,job-9abdfac6a7ce,8,"SJF g=2, cluster=clusterB, T_est=2609.30s"
2026-01-24 09:10:06,enqueue,job-874412c321c6,9,"SJF g=2, T_est=94.40s, batch=16"
