ts,node_id,gpu_index,gpu_util,power_w,mem_used_mb,mem_total_mb
2026-01-24 06:01:54,node-f,0,0.0,17.5,317,24564
2026-01-24 06:01:54,node-e,0,0.0,17.6,317,24564
2026-01-24 06:01:57,node-h,0,0.0,15.8,317,24564
2026-01-24 06:01:57,node-g,0,0.0,15.3,317,24564
2026-01-24 06:01:59,node-f,0,0.0,17.4,317,24564
2026-01-24 06:01:59,node-e,0,0.0,17.8,317,24564
2026-01-24 06:02:02,node-h,0,0.0,15.9,317,24564
2026-01-24 06:02:02,node-g,0,0.0,15.2,317,24564
2026-01-24 06:02:04,node-f,0,0.0,17.5,317,24564
2026-01-24 06:02:04,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:07,node-h,0,0.0,15.8,317,24564
2026-01-24 06:02:07,node-g,0,0.0,15.2,317,24564
2026-01-24 06:02:09,node-f,0,0.0,17.5,317,24564
2026-01-24 06:02:09,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:12,node-h,0,0.0,15.8,317,24564
2026-01-24 06:02:12,node-g,0,0.0,15.3,317,24564
2026-01-24 06:02:14,node-f,0,0.0,17.7,317,24564
2026-01-24 06:02:14,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:17,node-h,0,0.0,15.9,317,24564
2026-01-24 06:02:17,node-g,0,0.0,15.3,317,24564
2026-01-24 06:02:19,node-f,0,0.0,17.7,317,24564
2026-01-24 06:02:19,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:22,node-h,0,0.0,15.9,317,24564
2026-01-24 06:02:22,node-g,0,0.0,15.3,317,24564
2026-01-24 06:02:24,node-f,0,0.0,17.5,317,24564
2026-01-24 06:02:24,node-e,0,0.0,18.0,317,24564
2026-01-24 06:02:27,node-h,0,0.0,15.8,317,24564
2026-01-24 06:02:27,node-g,0,0.0,15.3,317,24564
2026-01-24 06:02:29,node-f,0,0.0,17.7,317,24564
2026-01-24 06:02:29,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:32,node-h,0,0.0,15.9,317,24564
2026-01-24 06:02:32,node-g,0,0.0,15.3,317,24564
2026-01-24 06:02:34,node-f,0,0.0,17.6,317,24564
2026-01-24 06:02:34,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:37,node-h,0,0.0,15.8,317,24564
2026-01-24 06:02:37,node-g,0,0.0,15.4,317,24564
2026-01-24 06:02:39,node-f,0,0.0,17.6,317,24564
2026-01-24 06:02:39,node-e,0,0.0,17.6,317,24564
2026-01-24 06:02:42,node-h,0,0.0,16.0,317,24564
2026-01-24 06:02:42,node-g,0,0.0,15.2,317,24564
2026-01-24 06:02:44,node-f,0,0.0,17.6,317,24564
2026-01-24 06:02:44,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:47,node-h,0,0.0,15.9,317,24564
2026-01-24 06:02:47,node-g,0,0.0,15.3,317,24564
2026-01-24 06:02:49,node-f,0,0.0,17.5,317,24564
2026-01-24 06:02:49,node-e,0,0.0,17.7,317,24564
2026-01-24 06:02:52,node-h,0,0.0,16.0,317,24564
2026-01-24 06:02:52,node-g,0,0.0,15.3,317,24564
2026-01-24 06:02:54,node-f,0,0.0,17.5,317,24564
2026-01-24 06:02:54,node-e,0,0.0,17.5,317,24564
2026-01-24 06:02:57,node-h,0,0.0,16.0,317,24564
2026-01-24 06:02:57,node-g,0,0.0,15.2,317,24564
2026-01-24 06:02:59,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:00,node-e,0,0.0,17.5,317,24564
2026-01-24 06:03:02,node-h,0,0.0,16.1,317,24564
2026-01-24 06:03:02,node-g,0,0.0,15.2,317,24564
2026-01-24 06:03:04,node-f,0,0.0,17.6,317,24564
2026-01-24 06:03:05,node-e,0,0.0,17.6,317,24564
2026-01-24 06:03:07,node-h,0,0.0,16.1,317,24564
2026-01-24 06:03:07,node-g,0,0.0,15.5,317,24564
2026-01-24 06:03:09,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:10,node-e,0,0.0,17.5,317,24564
2026-01-24 06:03:12,node-h,0,0.0,15.9,317,24564
2026-01-24 06:03:12,node-g,0,0.0,15.4,317,24564
2026-01-24 06:03:14,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:15,node-e,0,0.0,17.7,317,24564
2026-01-24 06:03:17,node-h,0,0.0,15.8,317,24564
2026-01-24 06:03:17,node-g,0,0.0,15.4,317,24564
2026-01-24 06:03:19,node-f,0,0.0,17.6,317,24564
2026-01-24 06:03:20,node-e,0,0.0,17.6,317,24564
2026-01-24 06:03:22,node-h,0,0.0,15.9,317,24564
2026-01-24 06:03:22,node-g,0,0.0,15.3,317,24564
2026-01-24 06:03:24,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:25,node-e,0,0.0,17.6,317,24564
2026-01-24 06:03:27,node-h,0,0.0,15.9,317,24564
2026-01-24 06:03:27,node-g,0,0.0,15.5,317,24564
2026-01-24 06:03:29,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:30,node-e,0,0.0,17.8,317,24564
2026-01-24 06:03:32,node-h,0,0.0,16.0,317,24564
2026-01-24 06:03:32,node-g,0,0.0,15.3,317,24564
2026-01-24 06:03:34,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:35,node-e,0,0.0,17.6,317,24564
2026-01-24 06:03:37,node-h,0,0.0,15.9,317,24564
2026-01-24 06:03:37,node-g,0,0.0,15.3,317,24564
2026-01-24 06:03:39,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:40,node-e,0,0.0,17.8,317,24564
2026-01-24 06:03:42,node-h,0,0.0,15.8,317,24564
2026-01-24 06:03:42,node-g,0,0.0,15.4,317,24564
2026-01-24 06:03:44,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:45,node-e,0,0.0,17.8,317,24564
2026-01-24 06:03:47,node-h,0,0.0,15.9,317,24564
2026-01-24 06:03:47,node-g,0,0.0,15.3,317,24564
2026-01-24 06:03:49,node-f,0,0.0,17.4,317,24564
2026-01-24 06:03:50,node-e,0,0.0,17.8,317,24564
2026-01-24 06:03:52,node-h,0,0.0,16.0,317,24564
2026-01-24 06:03:52,node-g,0,0.0,15.2,317,24564
2026-01-24 06:03:54,node-f,0,0.0,17.5,317,24564
2026-01-24 06:03:55,node-e,0,0.0,17.8,317,24564
2026-01-24 06:03:57,node-h,0,0.0,16.0,317,24564
2026-01-24 06:03:57,node-g,0,0.0,15.4,317,24564
2026-01-24 06:03:59,node-f,0,0.0,17.5,317,24564
2026-01-24 06:04:00,node-e,0,0.0,17.8,317,24564
2026-01-24 06:04:02,node-h,0,0.0,16.1,317,24564
2026-01-24 06:04:02,node-g,0,0.0,15.4,317,24564
2026-01-24 06:04:04,node-f,0,0.0,17.6,317,24564
2026-01-24 06:04:05,node-e,0,0.0,17.9,317,24564
2026-01-24 06:04:08,node-h,0,0.0,15.9,317,24564
2026-01-24 06:04:08,node-g,0,0.0,15.4,317,24564
2026-01-24 06:04:09,node-f,0,0.0,17.5,317,24564
2026-01-24 06:04:10,node-e,0,0.0,17.8,317,24564
2026-01-24 06:04:13,node-h,0,0.0,15.9,317,24564
2026-01-24 06:04:13,node-g,0,0.0,15.3,317,24564
2026-01-24 06:04:14,node-f,0,0.0,17.4,317,24564
2026-01-24 06:04:15,node-e,0,0.0,17.7,317,24564
2026-01-24 06:04:18,node-h,0,0.0,16.0,317,24564
2026-01-24 06:04:18,node-g,0,0.0,15.4,317,24564
2026-01-24 06:04:19,node-f,0,0.0,17.5,317,24564
2026-01-24 06:04:20,node-e,0,0.0,17.7,317,24564
2026-01-24 06:04:23,node-h,0,0.0,15.9,317,24564
2026-01-24 06:04:23,node-g,0,0.0,15.3,317,24564
2026-01-24 06:04:24,node-f,0,0.0,17.5,317,24564
2026-01-24 06:04:25,node-e,0,0.0,17.8,317,24564
2026-01-24 06:04:28,node-h,0,0.0,15.9,317,24564
2026-01-24 06:04:28,node-g,0,0.0,15.4,317,24564
2026-01-24 06:04:29,node-f,0,0.0,17.5,317,24564
2026-01-24 06:04:30,node-e,0,0.0,17.9,317,24564
2026-01-24 06:04:33,node-h,0,0.0,15.9,317,24564
2026-01-24 06:04:33,node-g,0,0.0,15.3,317,24564
2026-01-24 06:04:34,node-f,0,0.0,17.5,317,24564
2026-01-24 06:04:35,node-e,0,0.0,17.6,317,24564
2026-01-24 06:04:38,node-h,0,0.0,15.9,317,24564
2026-01-24 06:04:38,node-g,0,0.0,15.3,317,24564
2026-01-24 06:04:39,node-f,0,0.0,17.4,317,24564
2026-01-24 06:04:40,node-e,0,0.0,17.8,317,24564
2026-01-24 06:04:43,node-h,0,0.0,15.9,317,24564
2026-01-24 06:04:43,node-g,0,0.0,15.4,317,24564
2026-01-24 06:04:44,node-f,0,0.0,17.5,317,24564
2026-01-24 06:04:45,node-e,0,0.0,17.9,317,24564
2026-01-24 06:04:48,node-h,0,0.0,16.1,317,24564
2026-01-24 06:04:48,node-g,0,0.0,15.4,317,24564
2026-01-24 06:04:49,node-f,0,0.0,17.6,317,24564
2026-01-24 06:04:50,node-e,0,0.0,17.8,317,24564
2026-01-24 06:04:53,node-h,0,0.0,16.1,317,24564
2026-01-24 06:04:53,node-g,0,0.0,15.4,317,24564
2026-01-24 06:04:54,node-f,0,0.0,17.6,317,24564
2026-01-24 06:04:55,node-e,0,0.0,17.7,317,24564
2026-01-24 06:04:58,node-h,0,0.0,16.0,317,24564
2026-01-24 06:04:58,node-g,0,0.0,15.5,317,24564
2026-01-24 06:04:59,node-f,0,0.0,17.6,317,24564
2026-01-24 06:05:00,node-e,0,0.0,17.8,317,24564
2026-01-24 06:05:03,node-h,0,0.0,15.9,317,24564
2026-01-24 06:05:03,node-g,0,0.0,15.4,317,24564
2026-01-24 06:05:04,node-f,0,0.0,17.6,317,24564
