epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,200.05627751350403,10.893579244613647,211.11955165863037,32.8,10082.47552,2322.362368,74.0,69.0,39.65480487558124,98.53,99.96,0.9850902557373047,,1.0,64,4,0.001,,0.35408580729166667,0.04697861938476563,0.35408580729166667,0.04697861938476563
2,0,199.63315176963806,10.89795732498169,210.61297464370728,32.9,513.132544,2438.516736,72.0,68.0,2.0181721113299176,98.84,100.0,0.9882795214653015,,1.0,64,4,0.001,,0.06746354573567709,0.03669327697753906,0.06746354573567709,0.03669327697753906
3,0,200.42463779449463,10.394804954528809,210.90498304367065,29.6,432.946688,2440.8064,74.0,70.0,1.702797730588405,98.87,99.99,0.9886537790298462,,1.0,64,4,0.001,,0.051556022135416664,0.03502484130859375,0.051556022135416664,0.03502484130859375
4,0,198.12796831130981,10.407961368560791,208.61738276481628,29.5,513.132544,2444.337152,73.0,70.0,2.0181721113299176,98.92,99.97,0.9892539978027344,,1.0,64,4,0.001,,0.04832606201171875,0.038173934936523435,0.04832606201171875,0.038173934936523435
5,0,197.85370635986328,10.385674953460693,208.32184720039368,29.6,4454.694912,2443.948032,71.0,71.0,17.520504479797093,99.1,99.99,0.990943193435669,,1.0,64,4,0.001,,0.03980163167317708,0.029302325439453124,0.03980163167317708,0.029302325439453124
6,0,198.05675148963928,10.356910705566406,208.50141763687134,29.5,513.132544,2441.355264,75.0,70.0,2.0181721113299176,99.02,99.99,0.9900953769683838,,1.0,64,4,0.001,,0.0409380615234375,0.035433078002929684,0.0409380615234375,0.035433078002929684
7,0,199.0416295528412,10.82131576538086,209.9469735622406,35.7,513.132544,2444.45184,75.0,68.0,2.0181721113299176,98.75,100.0,0.9873595237731934,,1.0,64,4,0.001,,0.03354664510091146,0.041017715454101565,0.03354664510091146,0.041017715454101565
8,0,199.06854557991028,10.88277006149292,210.03385376930237,36.0,513.132544,2444.705792,75.0,68.0,2.0181721113299176,99.11,100.0,0.9909671545028687,,1.0,64,4,0.001,,0.03514334716796875,0.028402194213867187,0.03514334716796875,0.028402194213867187
9,0,199.6567735671997,10.90065312385559,210.64064264297485,36.1,513.132544,2445.479936,78.0,68.0,2.0181721113299176,99.39,100.0,0.9938549399375916,,1.0,64,4,0.001,,0.034222342936197914,0.019570106506347655,0.034222342936197914,0.019570106506347655
10,0,199.94487690925598,10.935824871063232,210.9797124862671,35.8,513.132544,2442.17856,74.0,67.0,2.0181721113299176,99.34,100.0,0.9933266043663025,,1.0,64,4,0.001,,0.026321455891927085,0.019357664489746094,0.026321455891927085,0.019357664489746094
11,0,200.21014165878296,11.05370306968689,211.34687209129333,36.6,513.132544,2445.221888,73.0,68.0,2.0181721113299176,99.44,99.98,0.9943126440048218,,1.0,64,4,0.001,,0.025130877685546876,0.01770744171142578,0.025130877685546876,0.01770744171142578
12,0,199.7143270969391,10.932648181915283,210.73944401741028,36.1,513.132544,2441.732096,74.0,67.0,2.0181721113299176,99.5,99.99,0.9949914813041687,,1.0,64,4,0.001,,0.02281253458658854,0.017063351440429687,0.02281253458658854,0.017063351440429687
13,0,199.47272777557373,10.912394762039185,210.46598052978516,31.6,8766.843904,2445.275136,73.0,69.0,34.4803697959089,99.48,100.0,0.9947788119316101,,1.0,64,4,0.001,,0.0204156982421875,0.017397906494140625,0.0204156982421875,0.017397906494140625
14,0,199.72022938728333,11.192284107208252,211.0020694732666,32.5,513.132544,2479.988736,72.0,70.0,2.0181721113299176,99.43,100.0,0.994226336479187,,1.0,64,4,0.001,,0.019263157145182293,0.019210163879394532,0.019263157145182293,0.019210163879394532
15,0,202.64510297775269,11.287909030914307,214.01859951019287,32.4,513.132544,2445.586432,73.0,71.0,2.0181721113299176,99.39,100.0,0.9939145445823669,,1.0,64,4,0.001,,0.01770325927734375,0.021876812744140627,0.01770325927734375,0.021876812744140627
16,0,203.07518076896667,11.349940061569214,214.52071070671082,32.2,1521.735168,2445.606912,73.0,70.0,5.985049112159891,99.4,100.0,0.9939833283424377,,1.0,64,4,0.001,,0.01829242146809896,0.018669827270507814,0.01829242146809896,0.018669827270507814
17,0,202.73322010040283,11.28798532485962,214.10499906539917,32.1,10292.36992,2445.606912,74.0,71.0,40.480328474420304,99.52,99.99,0.9951497912406921,,1.0,64,4,0.001,,0.014899030558268229,0.017066294860839843,0.014899030558268229,0.017066294860839843
18,0,202.5642170906067,11.323587656021118,213.9740674495697,32.4,10240.078336,2445.631488,73.0,71.0,40.27466345137694,99.16,99.99,0.9916029572486877,,1.0,64,4,0.001,,0.01341558837890625,0.035841140747070316,0.01341558837890625,0.035841140747070316
19,0,201.6592218875885,11.182779788970947,212.92638421058655,32.5,4794.629632,2476.38016,71.0,71.0,18.85748218584714,99.12,100.0,0.9912502765655518,,1.0,64,4,0.001,,0.014030178833007813,0.025376669311523437,0.014030178833007813,0.025376669311523437
20,0,203.0024974346161,11.020516633987427,214.11355471611023,32.2,513.132544,2479.620096,73.0,69.0,2.0181721113299176,99.41,99.99,0.9941451549530029,,1.0,64,4,0.001,,0.01193396504720052,0.02053841552734375,0.01193396504720052,0.02053841552734375
