epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,223.53960037231445,0.4853549003601074,224.20424914360046,33.5,1366.00576,1979.379712,76.0,58.0,5.37255872967595,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.7071282841987261,0.6968600071898294,0.7071282841987261,0.6968600071898294
2,0,222.0846836566925,0.47652196884155273,222.64149618148804,32.3,1095.56992,2003.542016,74.0,59.0,4.308923073403718,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.686486273923889,0.6975425930198179,0.686486273923889,0.6975425930198179
3,0,225.7456409931183,0.49691033363342285,226.34074902534485,33.3,1095.574016,1994.0352,75.0,60.0,4.308939183145859,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6865026299573862,0.6984602201969252,0.6865026299573862,0.6984602201969252
4,0,216.2084608078003,0.47863030433654785,216.82169246673584,33.3,1366.939136,1994.641408,75.0,58.0,5.3762297371663355,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6865025139571486,0.697444950768707,0.6865025139571486,0.697444950768707
5,0,211.1333887577057,0.4621579647064209,211.67651557922363,31.6,1368.64,1997.467648,74.0,54.0,5.382919307590395,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864869119251956,0.6973807658624211,0.6864869119251956,0.6973807658624211
6,0,182.38182282447815,0.4536306858062744,182.9179835319519,30.7,1516.091904,1996.378112,77.0,61.0,5.9628539149250965,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6868616506926606,0.6963111807446961,0.6868616506926606,0.6963111807446961
7,0,185.12431979179382,0.46556735038757324,185.67864227294922,30.7,1368.04608,2001.055744,76.0,61.0,5.380583394979947,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.686504021960237,0.6990329847423309,0.686504021960237,0.6990329847423309
8,0,187.0089612007141,0.4798119068145752,187.56640076637268,30.6,1367.854592,2019.794944,74.0,62.0,5.379830264534854,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6865106339737784,0.6976375754820098,0.6865106339737784,0.6976375754820098
9,0,192.73569321632385,0.47653675079345703,193.29236316680908,34.1,1368.039936,2017.66912,76.0,60.0,5.3805592303667344,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864987439494276,0.6987602863836726,0.6864987439494276,0.6987602863836726
10,0,192.57943844795227,0.48662757873535156,193.15966033935547,33.8,1228.056576,1997.340672,77.0,59.0,4.829998724108423,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864719478945492,0.6974952067803899,0.6864719478945492,0.6974952067803899
11,0,191.33599162101746,0.4725043773651123,191.8856406211853,33.9,1095.563776,2017.370112,75.0,59.0,4.308898908790507,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6865206679943281,0.6974526501576835,0.6865206679943281,0.6974526501576835
12,0,192.78559184074402,0.48828601837158203,193.35558795928955,34.0,1095.561728,1997.402112,75.0,59.0,4.3088908539194355,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864827359166431,0.6969129229904315,0.6864827359166431,0.6969129229904315
13,0,170.9587836265564,0.4970095157623291,171.5354700088501,33.9,1530.65984,1998.917632,75.0,61.0,6.020150226567414,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.686503209958574,0.698176812688145,0.686503209958574,0.698176812688145
14,0,149.48034644126892,0.49301767349243164,150.06408166885376,34.0,1367.622144,1997.643776,77.0,62.0,5.37891603666835,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864756599021514,0.697221738482834,0.6864756599021514,0.697221738482834
15,0,148.1670994758606,0.4782371520996094,148.7223460674286,34.3,1095.556608,1998.700544,77.0,61.0,4.308870716741761,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864983959487149,0.6970340133806981,0.6864983959487149,0.6970340133806981
16,0,149.9702606201172,0.49612927436828613,150.55130529403687,33.5,1365.797376,2018.074624,75.0,58.0,5.371739146544525,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.686501585955248,0.6972046598381952,0.686501585955248,0.6972046598381952
17,0,134.0587661266327,0.48152661323547363,134.61643719673157,31.3,1371.068928,2001.768448,73.0,64.0,5.392472384680022,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864765299039333,0.6962804531832354,0.6864765299039333,0.6962804531832354
18,0,125.60223078727722,0.4980592727661133,126.17543864250183,31.3,1367.835136,2001.772544,74.0,64.0,5.379753743259684,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6865077339678392,0.6975282441585435,0.6865077339678392,0.6975282441585435
19,0,145.00253558158875,0.4799177646636963,145.56050300598145,32.4,1366.872576,1999.70816,74.0,62.0,5.375967953856544,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.6864979899478834,0.6984619700580562,0.6864979899478834,0.6984619700580562
20,0,144.1987965106964,0.5045366287231445,144.78057861328125,32.3,1095.552512,1999.712256,75.0,62.0,4.308854606999619,50.91743119266055,0.0,0.33738601207733154,,1.0,32,4,0.001,,0.686494625940994,0.6973212705839664,0.686494625940994,0.6973212705839664
