epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,6.97861647605896,0.553891658782959,7.542937755584717,31.4,669.341696,1892.139008,73.0,56.0,2.632549347362126,0.0,0.0,0.0,,0.5,16,4,0.001,,3.20302609544002,2.9219788668448463,3.2120260403850884,2.921720270524945
2,0,5.902405023574829,0.4769632816314697,6.383497953414917,33.1,669.23008,1945.78432,76.0,56.0,2.632110356888784,0.0,0.0,0.0,,0.5,16,4,0.001,,2.932862528423058,2.9180303205523574,2.9319417157511074,2.9170979282312226
3,0,5.798715353012085,0.45296716690063477,6.261903524398804,31.5,1255.2832,1940.320256,75.0,56.0,4.937082193837574,0.0,0.0,0.0,,0.5,16,4,0.001,,2.932771545830261,2.9157318650630484,2.9348175769715796,2.910928023488898
4,0,5.822909355163574,0.49916648864746094,6.327988862991333,31.9,666.719744,1940.729856,76.0,54.0,2.6222370986741037,0.0,0.0,0.0,,0.5,16,4,0.001,,2.930343822978122,2.913350958573191,2.931689164769931,2.9050030624657346
5,0,5.814769983291626,0.5326201915740967,6.352370738983154,31.8,669.307904,1941.467136,74.0,56.0,2.632416441989463,0.0,0.0,0.0,,0.5,16,4,0.001,,2.9231161081919863,2.9080633866159538,2.926020584707185,2.9056575842070997
6,0,5.818714380264282,0.45360589027404785,6.2804179191589355,31.7,1307.40224,1942.46656,73.0,55.0,5.142068593993257,0.0,0.0,0.0,,0.5,16,4,0.001,,2.918173040729474,2.9076165985642817,2.9129528135765255,2.9029672187671327
7,0,5.922173023223877,0.48919677734375,6.420144557952881,32.9,669.193216,1951.86688,75.0,56.0,2.631965369209514,1.4021756356222603,0.0,0.0,,0.5,16,4,0.001,,2.913540370344764,2.9014474969161186,2.9094728484867125,2.8965371115165843
8,0,6.0505359172821045,0.5417842864990234,6.597402572631836,31.9,669.321728,1950.355456,74.0,55.0,2.6324708123691893,0.0,0.0,0.0,,0.5,16,4,0.001,,2.910174974649705,2.901587770696272,2.9123825914277806,2.9007137365508497
9,0,5.921186923980713,0.47005248069763184,6.396525621414185,32.8,669.528064,1952.8704,73.0,54.0,2.633282340629543,0.5165635493763698,0.0,0.0,,0.5,16,4,0.001,,2.909846813160644,2.898437767698054,2.9135946439007134,2.8924043889631306
10,0,5.843332767486572,0.49569272994995117,6.3441362380981445,31.6,669.59616,1944.846336,75.0,56.0,2.633550165092638,0.0,0.0,0.0,,0.5,16,4,0.001,,2.9106930232915436,2.8998640629283168,2.9062379852054625,2.893925717002467
11,0,5.778874397277832,0.48156070709228516,6.28545069694519,32.7,665.794048,1961.41056,75.0,56.0,2.6185962969502325,0.0,0.0,0.0,,0.5,16,4,0.001,,2.9095949906280727,2.8898004899945176,2.9051213302011565,2.8810025934587444
12,0,5.828765392303467,0.5325043201446533,6.365474224090576,32.4,669.315072,1953.353728,73.0,54.0,2.63244463403821,0.0,0.0,0.0,,0.5,16,4,0.001,,2.904388817831244,2.8991586785567436,2.902265653835507,2.8980924372087444
13,0,5.919134140014648,0.4911007881164551,6.414449691772461,32.7,669.361152,1953.808384,73.0,54.0,2.6326258686372963,4.414568449321543,0.0,0.0,,0.5,16,4,0.001,,2.9023946426376597,2.885193138791804,2.898276021161417,2.8766926547937226
14,0,5.812499523162842,0.48703503608703613,6.303841590881348,32.2,1285.546496,1953.81248,73.0,54.0,5.056109023646524,0.0,0.0,0.0,,0.5,16,4,0.001,,2.8979170507620453,2.8869880542420505,2.8969483863650343,2.8840021501507676
15,0,5.903345108032227,0.46631479263305664,6.414709091186523,32.8,1427.678208,1945.452544,75.0,55.0,5.615119089657804,1.1194128739206444,0.0,0.0,,0.5,16,4,0.001,,2.8942227733990906,2.8718949702748082,2.893965593473179,2.8635524281284264
16,0,5.844715118408203,0.47223925590515137,6.322940826416016,31.4,669.193216,1945.788416,73.0,56.0,2.631965369209514,0.0,0.0,0.0,,0.5,16,4,0.001,,2.881285480810595,2.8568904943633497,2.8821036271222935,2.849755002741228
17,0,5.8364646434783936,1.2227544784545898,7.064823627471924,32.6,666.719744,1962.565632,73.0,54.0,2.6222370986741037,0.5252168889631315,0.0,0.0,,0.5,16,4,0.001,,2.8409117752120205,2.8167197244209157,2.8387999046505907,2.807835896809896
18,0,5.7722930908203125,0.49686336517333984,6.274540185928345,31.0,665.794048,1946.89024,73.0,51.0,2.6185962969502325,0.8120754308867828,0.0,0.0,,0.5,16,4,0.001,,2.717137759648476,2.640731008429276,2.7153565414308565,2.6335344816509045
19,0,5.802961349487305,0.4954352378845215,6.303915500640869,30.8,665.794048,1946.13248,72.0,50.0,2.6185962969502325,0.0,0.0,0.0,,0.5,16,4,0.001,,2.5496188813606193,2.45329231128358,2.5462699349470963,2.4548347874691614
20,0,5.816632509231567,0.49073195457458496,6.311519384384155,32.4,669.243392,1946.226688,75.0,54.0,2.6321627135507417,0.0,0.0,0.0,,0.5,16,4,0.001,,2.344543637075959,2.2720743815104165,2.339507095457062,2.265070597330729
