epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,173.91649770736694,2.9273264408111572,177.91138172149658,30.1,957.5424,1810.972672,73.0,58.0,3.7660549690177443,11.57,31.34,0.09071587026119232,,0.25,32,4,0.001,,4.6766934375,4.179975,4.674699375,4.15804375
2,1,173.92421913146973,2.8609812259674072,177.97933793067932,30.2,202.95424,1926.098944,74.0,60.0,0.798227654498871,17.64,42.28,0.1517155021429062,,0.25,32,4,0.001,,4.1094471875,3.75919140625,4.1164309375,3.7269203125
3,1,174.08285403251648,2.8643085956573486,177.8133795261383,30.5,3964.189696,1926.340608,72.0,60.0,15.591326611489725,25.02,50.69,0.2277194708585739,,0.25,32,4,0.001,,3.7312525,3.348390234375,3.72311875,3.28175234375
4,1,175.09550046920776,2.8819191455841064,179.2772605419159,30.5,174.246912,1928.163328,71.0,60.0,0.685320512985741,30.54,57.83,0.2859989106655121,,0.25,32,4,0.001,,3.4324165625,3.0662513671875,3.4179896875,2.968991015625
5,1,175.26882934570312,2.7706656455993652,179.5019087791443,30.3,202.95424,1926.971392,73.0,60.0,0.798227654498871,34.71,62.27,0.3314058482646942,,0.25,32,4,0.001,,3.2105590625,2.859109765625,3.2011575,2.79144609375
6,1,174.47511267662048,2.8401236534118652,178.43125772476196,30.2,202.95424,1928.445952,74.0,59.0,0.798227654498871,38.13,66.64,0.36865994334220886,,0.25,32,4,0.001,,3.027894375,2.6061689453125,3.0314671875,2.59570546875
7,1,173.71150732040405,2.829193115234375,177.58701753616333,30.9,202.95424,1927.233536,69.0,58.0,0.798227654498871,41.14,68.62,0.39765435457229614,,0.25,32,4,0.001,,2.89301625,2.526673046875,2.8830259375,2.486766796875
8,1,177.44871878623962,2.866025686264038,181.5252583026886,30.4,202.95424,1928.716288,73.0,59.0,0.798227654498871,42.98,70.05,0.4205867648124695,,0.25,32,4,0.001,,2.7762609375,2.4161009765625,2.7870234375,2.377598046875
9,1,176.85353207588196,2.8723044395446777,180.90271496772766,29.8,202.95424,1927.520256,73.0,58.0,0.798227654498871,43.68,70.74,0.4304351806640625,,0.25,32,4,0.001,,2.667809375,2.3561990234375,2.668939375,2.3420873046875
10,1,174.15575623512268,2.8594608306884766,178.01801919937134,30.5,202.95424,1928.74496,73.0,58.0,0.798227654498871,46.39,73.75,0.4562534987926483,,0.25,32,4,0.001,,2.57401546875,2.2009123046875,2.587585625,2.172790625
11,1,175.68447470664978,2.9471027851104736,179.82823705673218,30.4,202.95424,1927.786496,73.0,59.0,0.798227654498871,48.88,75.39,0.48300138115882874,,0.25,32,4,0.001,,2.4911375,2.10305,2.5012978125,2.084877734375
12,1,175.0885283946991,2.884610176086426,179.07487320899963,30.6,202.95424,1928.835072,72.0,59.0,0.798227654498871,49.75,75.47,0.4864150285720825,,0.25,32,4,0.001,,2.4133990625,2.084173828125,2.42745828125,2.057323046875
13,1,176.8898663520813,2.9385409355163574,181.0466878414154,30.5,202.95424,1928.04864,71.0,60.0,0.798227654498871,51.45,76.43,0.508655309677124,,0.25,32,4,0.001,,2.33212421875,2.0306958984375,2.33801515625,2.012757421875
14,1,176.28059458732605,2.901654005050659,180.74095058441162,30.2,202.95424,1928.74496,70.0,58.0,0.798227654498871,51.36,76.87,0.5085529685020447,,0.25,32,4,0.001,,2.28150265625,2.0360728515625,2.3001846875,2.0002765625
15,1,176.8562035560608,2.837218999862671,180.82964086532593,30.7,202.95424,1928.31488,71.0,58.0,0.798227654498871,52.9,78.06,0.5222985744476318,,0.25,32,4,0.001,,2.217011875,1.9502546875,2.21256265625,1.9508845703125
16,1,175.33434748649597,2.9823734760284424,179.25480008125305,30.7,174.246912,1928.761344,72.0,60.0,0.685320512985741,53.82,78.66,0.535994827747345,,0.25,32,4,0.001,,2.157970625,1.8937369140625,2.16030609375,1.8857140625
17,1,177.1143298149109,2.8777313232421875,181.21783995628357,30.5,3162.210816,1928.593408,74.0,58.0,12.437109580399213,55.69,79.36,0.5564054846763611,,0.25,32,4,0.001,,2.10616359375,1.8518119140625,2.095818125,1.8546701171875
18,1,174.2600166797638,2.862764358520508,178.4916033744812,30.7,202.95424,1928.851456,73.0,59.0,0.798227654498871,55.23,79.85,0.5485426783561707,,0.25,32,4,0.001,,2.06043375,1.8717494140625,2.04702875,1.86660234375
19,1,175.64664006233215,2.9842798709869385,179.63884282112122,30.4,732.530176,1928.855552,71.0,58.0,2.881072325653927,55.0,79.34,0.5465210676193237,,0.25,32,4,0.001,,2.00758125,1.8664484375,1.9907559375,1.8391173828125
20,1,175.8423092365265,2.7696030139923096,179.86328268051147,30.5,202.95424,1928.859648,71.0,58.0,0.798227654498871,56.33,80.03,0.5594935417175293,,0.25,32,4,0.001,,1.962005,1.8324697265625,1.96895015625,1.829180078125
