epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,49.06815242767334,8.396589279174805,57.86074781417847,32.4,354.511872,2806.075392,72.0,54.0,1.3943102646121805,12.64,36.67,0.10443935543298721,,1.0,128,4,0.001,,4.0291409375,3.727548046875,4.0291409375,3.727548046875
2,0,48.903459787368774,8.53549337387085,57.61923408508301,32.4,364.151296,2928.181248,72.0,61.0,1.4322225290233117,17.57,43.27,0.1481286734342575,,1.0,128,4,0.001,,3.7042303125,3.479942578125,3.7042303125,3.479942578125
3,0,48.38381767272949,8.45131540298462,57.066378593444824,32.3,364.151296,2937.245696,74.0,63.0,1.4322225290233117,24.08,53.94,0.21862368285655975,,1.0,128,4,0.001,,3.4338025,3.0757509765625,3.4338025,3.0757509765625
4,0,48.569451570510864,8.722561359405518,57.5171332359314,32.3,302.576128,2938.79808,73.0,64.0,1.1900447754173067,30.17,61.7,0.28454121947288513,,1.0,128,4,0.001,,3.1301725,2.7588560546875,3.1301725,2.7588560546875
5,0,48.75335168838501,8.40615725517273,57.35303497314453,28.4,2568.715264,2948.743168,71.0,64.0,10.102866341980183,37.46,69.3,0.3574817478656769,,1.0,128,4,0.001,,2.8630809375,2.3962689453125,2.8630809375,2.3962689453125
6,0,48.12086319923401,8.040647268295288,56.34378123283386,32.2,2914.78784,2948.808704,71.0,65.0,11.463984496628555,40.11,71.83,0.38720619678497314,,1.0,128,4,0.001,,2.6513390625,2.2920796875,2.6513390625,2.2920796875
7,0,48.192137002944946,9.000141620635986,57.41037201881409,32.3,411.373568,3022.475264,71.0,65.0,1.6179497324494025,45.22,77.0,0.4456027150154114,,1.0,128,4,0.001,,2.47229671875,2.0300884765625,2.47229671875,2.0300884765625
8,0,49.95237946510315,8.336200475692749,58.50861597061157,32.0,411.373568,2969.567232,75.0,62.0,1.6179497324494025,48.13,79.17,0.47150757908821106,,1.0,128,4,0.001,,2.3113459375,1.9126830078125,2.3113459375,1.9126830078125
9,0,48.607871770858765,8.882766723632812,57.709840536117554,32.4,411.373568,2939.33056,75.0,64.0,1.6179497324494025,48.6,78.8,0.4776633083820343,,1.0,128,4,0.001,,2.1846428125,1.895826953125,2.1846428125,1.895826953125
10,0,48.799525022506714,10.225894927978516,59.21477222442627,32.3,3133.910528,2992.758784,72.0,63.0,12.325803344511346,53.85,82.58,0.5345110297203064,,1.0,128,4,0.001,,2.0707021875,1.69490703125,2.0707021875,1.69490703125
11,0,48.672253370285034,8.558895349502563,57.41349482536316,32.3,411.373568,2931.232768,76.0,64.0,1.6179497324494025,55.36,84.15,0.549332857131958,,1.0,128,4,0.001,,1.97250625,1.60611376953125,1.97250625,1.60611376953125
12,0,48.365304946899414,9.017154693603516,57.575260162353516,32.8,411.373568,2949.066752,72.0,65.0,1.6179497324494025,57.28,85.57,0.564948320388794,,1.0,128,4,0.001,,1.87991453125,1.523878125,1.87991453125,1.523878125
13,0,47.8770911693573,9.433837175369263,57.49762034416199,32.3,411.373568,2956.67712,71.0,65.0,1.6179497324494025,59.07,86.49,0.5895193815231323,,1.0,128,4,0.001,,1.8011965625,1.463682421875,1.8011965625,1.463682421875
14,0,48.46445083618164,7.711069107055664,56.374645948410034,32.1,411.373568,2990.94016,72.0,64.0,1.6179497324494025,61.09,87.49,0.608831524848938,,1.0,128,4,0.001,,1.7382134375,1.38565966796875,1.7382134375,1.38565966796875
15,0,47.81837844848633,8.395528316497803,56.44754433631897,32.5,379.910144,2939.813888,74.0,63.0,1.4942027481931315,60.57,87.85,0.6050703525543213,,1.0,128,4,0.001,,1.676006875,1.39813681640625,1.676006875,1.39813681640625
16,0,48.758944034576416,8.991070985794067,57.98363137245178,32.4,411.373568,2978.013184,74.0,63.0,1.6179497324494025,62.21,87.64,0.6182563304901123,,1.0,128,4,0.001,,1.6069209375,1.36446787109375,1.6069209375,1.36446787109375
17,0,48.63452339172363,8.878496646881104,57.69392013549805,32.4,411.373568,2940.022784,71.0,65.0,1.6179497324494025,62.32,87.88,0.6231012344360352,,1.0,128,4,0.001,,1.55512578125,1.3472103515625,1.55512578125,1.3472103515625
18,0,48.57172131538391,9.088388442993164,57.91034746170044,32.6,411.373568,2948.79232,72.0,64.0,1.6179497324494025,64.73,88.96,0.6471481323242188,,1.0,128,4,0.001,,1.5104025,1.26860732421875,1.5104025,1.26860732421875
19,0,48.37631916999817,8.18990182876587,56.766587257385254,32.8,334.301696,2930.860032,72.0,64.0,1.3148227831706036,64.34,88.92,0.6407994031906128,,1.0,128,4,0.001,,1.46462171875,1.2863615234375,1.46462171875,1.2863615234375
20,0,48.0145697593689,8.019169569015503,56.20678234100342,32.3,411.373568,2949.18144,71.0,64.0,1.6179497324494025,64.17,89.24,0.6390845775604248,,1.0,128,4,0.001,,1.42468421875,1.2703802734375,1.42468421875,1.2703802734375
