epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,6.983171701431274,0.5285673141479492,7.5426647663116455,31.4,669.965824,1787.547648,73.0,52.0,2.635004069320865,0.0,0.0,0.0,,0.5,16,4,0.001,,3.20302609544002,2.9219788668448463,3.194043832115668,2.922237195466694
2,1,5.901498556137085,0.4731740951538086,6.383420705795288,33.1,1469.22496,1942.212608,76.0,53.0,5.778524231629739,0.0,0.0,0.0,,0.5,16,4,0.001,,2.932862528423058,2.9180303205523574,2.9337812922089883,2.918962445175439
3,1,5.796139240264893,0.4586608409881592,6.261843919754028,31.5,971.049472,1942.67136,75.0,52.0,3.8191788574455363,0.0,0.0,0.0,,0.5,16,4,0.001,,2.932771545830261,2.9157318650630484,2.9307295343964883,2.9205357066371986
4,1,5.824040174484253,0.4992256164550781,6.327840566635132,32.0,669.67552,1944.604672,74.0,53.0,2.6338622913466203,0.0,0.0,0.0,,0.5,16,4,0.001,,2.930343822978122,2.913350958573191,2.9290008844701623,2.9216985869825933
5,1,5.8146631717681885,0.4767160415649414,6.3521740436553955,32.5,669.6064,1945.403392,75.0,52.0,2.6335904394479903,0.0,0.0,0.0,,0.5,16,4,0.001,,2.9231161081919863,2.9080633866159538,2.920217577741282,2.9104691890248082
6,1,5.819864511489868,0.4563114643096924,6.280384063720703,31.8,1224.917504,1945.571328,73.0,50.0,4.817652620475096,0.0,0.0,0.0,,0.5,16,4,0.001,,2.918173040729474,2.9076165985642817,2.923383012033399,2.912265978361431
7,1,5.920936822891235,0.4928715229034424,6.420002222061157,30.7,669.3248,1946.046464,71.0,51.0,2.6324828946757948,1.4021756356222603,0.0,0.0,,0.5,16,4,0.001,,2.913540370344764,2.9014474969161186,2.9175999010007367,2.906357614617599
8,1,6.049492359161377,0.4651656150817871,6.597243785858154,32.0,1432.010752,1946.533888,74.0,50.0,5.632159169407471,0.0,0.0,0.0,,0.5,16,4,0.001,,2.910174974649705,2.901587770696272,2.907971695036223,2.902461804841694
9,1,5.9198997020721436,0.46445560455322266,6.396552085876465,32.5,669.002752,1947.078656,72.0,49.0,2.631216266199957,0.5165635493763698,0.0,0.0,,0.5,16,4,0.001,,2.909846813160644,2.898437767698054,2.9061063455458007,2.904471146432977
10,1,5.843089580535889,0.4526360034942627,6.343832969665527,31.6,669.332992,1947.328512,75.0,51.0,2.6325151141600767,0.0,0.0,0.0,,0.5,16,4,0.001,,2.9106930232915436,2.8998640629283168,2.9151395486708007,2.9058024088541665
11,1,5.77913498878479,0.5012266635894775,6.285349130630493,32.5,669.538304,1947.787264,75.0,49.0,2.6333226149848956,0.0,0.0,0.0,,0.5,16,4,0.001,,2.9095949906280727,2.8898004899945176,2.9140601017620336,2.8985983865302907
12,1,5.826351165771484,0.5317070484161377,6.365389347076416,32.0,1285.314048,1947.901952,73.0,51.0,5.055194795780021,0.0,0.0,0.0,,0.5,16,4,0.001,,2.904388817831244,2.8991586785567436,2.9065078105814095,2.9002249199047423
13,1,5.916961908340454,0.49050068855285645,6.414288282394409,32.5,669.354496,1948.061696,75.0,50.0,2.6325996903063174,4.414568449321543,0.0,0.0,,0.5,16,4,0.001,,2.9023946426376597,2.885193138791804,2.9065051725196462,2.893693622789885
14,1,5.812511920928955,0.4861304759979248,6.303771018981934,32.2,670.195712,1948.213248,73.0,49.0,2.6359082285985296,0.0,0.0,0.0,,0.5,16,4,0.001,,2.8979170507620453,2.8869880542420505,2.8988838120855847,2.889974226031387
15,1,5.9424848556518555,0.4673130512237549,6.414637804031372,32.7,668.655104,1948.852224,75.0,50.0,2.6298489518357377,1.1194128739206444,0.0,0.0,,0.5,16,4,0.001,,2.8942227733990906,2.8718949702748082,2.8944794480599216,2.8802375124211896
16,1,5.845336198806763,0.47356271743774414,6.322824716567993,31.5,669.184,1949.12256,73.0,49.0,2.631929122289697,0.0,0.0,0.0,,0.5,16,4,0.001,,2.881285480810595,2.8568904943633497,2.8804689418590375,2.8640259859854713
17,1,5.834186553955078,0.4892723560333252,7.0647947788238525,32.8,1304.612352,1949.200384,74.0,50.0,5.131095845877454,0.5252168889631315,0.0,0.0,,0.5,16,4,0.001,,2.8409117752120205,2.8167197244209157,2.8430194967153732,2.8256035520319354
18,1,5.770604372024536,0.493624210357666,6.274476051330566,31.2,1291.58144,1949.2864,74.0,49.0,5.079844714973554,0.8120754308867828,0.0,0.0,,0.5,16,4,0.001,,2.717137759648476,2.640731008429276,2.718915238595899,2.647927535207648
19,1,5.8031768798828125,0.49214673042297363,6.303813695907593,32.9,1091.122688,1949.437952,76.0,49.0,4.291431920874102,0.0,0.0,0.0,,0.5,16,4,0.001,,2.5496188813606193,2.45329231128358,2.5529612483116404,2.4517498350979987
20,1,5.815874814987183,0.48728513717651367,6.311443567276001,31.6,669.81632,1949.667328,75.0,47.0,2.6344160637327176,0.0,0.0,0.0,,0.5,16,4,0.001,,2.344543637075959,2.2720743815104165,2.3495702837211443,2.279078433388158
