epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,2,173.92130947113037,2.908958673477173,177.91139769554138,30.2,628.867072,1814.880256,73.0,52.0,2.4733609303956037,11.57,31.34,0.09071587026119232,,0.25,32,4,0.001,,4.6766934375,4.179975,4.669798125,4.177346484375
2,2,173.9171121120453,2.7537484169006348,177.97947764396667,30.4,202.95424,1930.846208,74.0,53.0,0.798227654498871,17.64,42.28,0.1517155021429062,,0.25,32,4,0.001,,4.1094471875,3.75919140625,4.12243,3.7480703125
3,2,174.08549427986145,2.7270638942718506,177.81358575820923,30.5,174.58176,1931.14112,72.0,55.0,0.6866374844057697,25.02,50.69,0.2277194708585739,,0.25,32,4,0.001,,3.7312525,3.348390234375,3.7275209375,3.36888984375
4,2,175.09863305091858,2.7296700477600098,179.27747654914856,30.5,2494.317056,1932.886016,71.0,53.0,9.810255026883938,30.54,57.83,0.2859989106655121,,0.25,32,4,0.001,,3.4324165625,3.0662513671875,3.4419334375,3.1440166015625
5,2,175.26980710029602,2.740417718887329,179.50197911262512,30.6,202.95424,1931.771904,73.0,54.0,0.798227654498871,34.71,62.27,0.3314058482646942,,0.25,32,4,0.001,,3.2105590625,2.859109765625,3.20242625,2.9172927734375
6,2,174.475079536438,2.676609754562378,178.4314079284668,30.3,202.953728,1934.692352,74.0,54.0,0.7982256407811035,38.13,66.64,0.36865994334220886,,0.25,32,4,0.001,,3.027894375,2.6061689453125,3.0225053125,2.61296796875
7,2,173.71089792251587,2.6939752101898193,177.58708834648132,30.2,202.95424,1933.533184,71.0,53.0,0.798227654498871,41.14,68.62,0.39765435457229614,,0.25,32,4,0.001,,2.89301625,2.526673046875,2.90056625,2.5691908203125
8,2,177.44958543777466,2.687809944152832,181.5254316329956,30.7,202.95424,1934.97088,73.0,54.0,0.798227654498871,42.98,70.05,0.4205867648124695,,0.25,32,4,0.001,,2.7762609375,2.4161009765625,2.784033125,2.4660412109375
9,2,176.8470652103424,2.7257561683654785,180.91019535064697,30.4,202.953728,1933.824,70.0,53.0,0.7982256407811035,43.68,70.74,0.4304351806640625,,0.25,32,4,0.001,,2.667809375,2.3561990234375,2.6830365625,2.4020318359375
10,2,174.1562316417694,2.73588490486145,178.01808834075928,30.5,202.95424,1934.995456,75.0,53.0,0.798227654498871,46.39,73.75,0.4562534987926483,,0.25,32,4,0.001,,2.57401546875,2.2009123046875,2.5535628125,2.2244765625
11,2,175.67871761322021,2.83609938621521,179.82841324806213,30.4,202.95424,1934.086144,73.0,54.0,0.798227654498871,48.88,75.39,0.48300138115882874,,0.25,32,4,0.001,,2.4911375,2.10305,2.4875834375,2.138187890625
12,2,175.0982630252838,2.783661127090454,179.0754587650299,30.6,202.95424,1939.214336,72.0,53.0,0.798227654498871,49.75,75.47,0.4864150285720825,,0.25,32,4,0.001,,2.4133990625,2.084173828125,2.41765875,2.1396822265625
13,2,176.90091371536255,2.7509829998016357,181.0467517375946,30.5,3401.4336,1934.352384,72.0,54.0,13.377982960403543,51.45,76.43,0.508655309677124,,0.25,32,4,0.001,,2.33212421875,2.0306958984375,2.33355375,2.058258203125
14,2,176.3041112422943,2.6818177700042725,180.74104762077332,30.1,188.443648,1934.995456,73.0,52.0,0.7411568792465281,51.36,76.87,0.5085529685020447,,0.25,32,4,0.001,,2.28150265625,2.0360728515625,2.26097390625,2.08349765625
15,2,176.85450911521912,2.7243289947509766,180.82972645759583,30.6,202.95424,1934.626816,73.0,53.0,0.798227654498871,52.9,78.06,0.5222985744476318,,0.25,32,4,0.001,,2.217011875,1.9502546875,2.213405,1.9819009765625
16,2,175.3340301513672,2.6903347969055176,179.25490188598633,30.3,202.95424,1934.995456,71.0,52.0,0.798227654498871,53.82,78.66,0.535994827747345,,0.25,32,4,0.001,,2.157970625,1.8937369140625,2.160905,1.944006640625
17,2,177.11762642860413,2.6808648109436035,181.2179400920868,30.5,202.95424,1934.749696,73.0,52.0,0.798227654498871,55.69,79.36,0.5564054846763611,,0.25,32,4,0.001,,2.10616359375,1.8518119140625,2.123734375,1.8879755859375
18,2,174.25983047485352,2.6697371006011963,178.49181604385376,30.7,202.95424,1935.015936,72.0,53.0,0.798227654498871,55.23,79.85,0.5485426783561707,,0.25,32,4,0.001,,2.06043375,1.8717494140625,2.073358125,1.8947154296875
19,2,175.6425426006317,2.742525577545166,179.63874316215515,30.5,202.95424,1935.159296,71.0,52.0,0.798227654498871,55.0,79.34,0.5465210676193237,,0.25,32,4,0.001,,2.00758125,1.8664484375,2.00684328125,1.8883935546875
20,2,175.8439745903015,2.73309588432312,179.86336183547974,30.5,202.95424,1935.159296,71.0,53.0,0.798227654498871,56.33,80.03,0.5594935417175293,,0.25,32,4,0.001,,1.962005,1.8324697265625,1.9584228125,1.8551599609375
