ts,cluster,queue_len,slots_total,slots_used,free,U_t,E_t,p_fair,lam_time,lam_cost,lam_fair
2026-01-25 10:59:18,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:18,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:23,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:23,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:28,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:28,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:33,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:33,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:38,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:38,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:43,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:43,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:48,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:48,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:53,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:53,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:58,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 10:59:58,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:03,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:03,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:08,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:08,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:13,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:13,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:18,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:18,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:23,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:23,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:28,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:28,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:33,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:33,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:38,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:38,clusterB,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
2026-01-25 11:00:43,clusterA,0,4,0,4,0.00,0.5,0.5,0.0,0.0,0.0
