ts,event,job_id,cluster,world_size,note,metadata_json
2026-01-25 11:03:39,submitted,job-eaa9b672,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1, ""is_gang"": false}"
2026-01-25 11:03:43,started,job-eaa9b672,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_a""], ""started_ts"": ""2026-01-25T11:03:43.383903"", ""restart_overhead_this"": 0.0}"
2026-01-25 11:08:26,submitted,job-7b2521db,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 2, ""is_gang"": false}"
2026-01-25 11:08:31,started,job-7b2521db,clusterA,2,"started_on=clusterA, g=2","{""nodes"": [""node_b"", ""node_c""], ""started_ts"": ""2026-01-25T11:08:31.509861"", ""restart_overhead_this"": 0.0}"
2026-01-25 11:25:21,submitted,job-001ebd7a,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 4, ""is_gang"": true}"
2026-01-25 11:25:21,started,job-001ebd7a,clusterB,4,"started_on=clusterB, g=4","{""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""started_ts"": ""2026-01-25T11:25:21.791158"", ""restart_overhead_this"": 0.0}"
2026-01-25 11:27:20,submitted,job-bd2d2858,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1, ""is_gang"": false}"
2026-01-25 11:27:20,started,job-bd2d2858,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2026-01-25T11:27:20.436094"", ""restart_overhead_this"": 0.0}"
2026-01-25 11:46:56,submitted,job-1bece87f,-,0,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1, ""is_gang"": false}"
2026-01-25 11:50:03,finished,job-7b2521db,clusterA,2,Done,"{""exit_code"": 0, ""final_accuracy"": 99.27}"
