epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,300.9595859050751,0.5159621238708496,301.71029233932495,0.0,537.39264,1263.153152,0.0,41.0,3.233359333412196,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6885217300925033,0.695371785295119,0.6885217300925033,0.695371785295119
2,0,307.77871227264404,0.5789523124694824,308.50990438461304,13.2,1363.933184,2164.44928,0.0,41.0,8.206450484020426,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6869788109326048,0.6983790966348911,0.6869788109326048,0.6983790966348911
3,0,301.1338334083557,0.5920255184173584,301.90814208984375,12.2,1361.55648,2164.629504,0.0,41.0,8.192150440645886,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864873179260271,0.6971099573537844,0.6864873179260271,0.6971099573537844
4,0,308.3389256000519,0.5402388572692871,309.1882965564728,13.4,1220.804608,2166.583296,0.0,41.0,7.345281047297962,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865181739892203,0.6964517995851849,0.6865181739892203,0.6964517995851849
5,0,308.3687741756439,0.5452628135681152,309.075083732605,12.9,1303.05792,2167.017472,0.0,42.0,7.840178993907848,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865014119548917,0.6990714116927681,0.6865014119548917,0.6990714116927681
6,0,307.8456938266754,0.5677545070648193,308.56155729293823,13.0,1285.557248,2167.181312,0.0,41.0,7.734881755091578,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.686517187987201,0.6980534124811855,0.686517187987201,0.6980534124811855
7,0,302.07103204727173,0.5053887367248535,302.73761558532715,12.1,1361.555456,2166.898688,0.0,41.0,8.192144279489758,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864953219424194,0.6986422757489965,0.6864953219424194,0.6986422757489965
8,0,305.94696378707886,0.5391099452972412,306.6395902633667,5.7,1091.8912,2167.386112,0.0,42.0,6.569640779953076,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865378360294881,0.697309791494947,0.6865378360294881,0.697309791494947
9,0,295.2616231441498,0.5094447135925293,295.93853664398193,5.7,1185.801728,2167.394304,0.0,41.0,7.13467732793123,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865229879990794,0.6976615135822821,0.6865229879990794,0.6976615135822821
10,0,295.4287061691284,0.5280666351318359,296.0958752632141,5.7,1275.15136,2167.402496,0.0,40.0,7.67227208651249,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865293100120269,0.6967857430834289,0.6865293100120269,0.6967857430834289
11,0,293.6152284145355,0.5153188705444336,294.3127887248993,6.5,1274.589184,2167.820288,0.0,40.0,7.668889611797873,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.686504543961306,0.697670192893492,0.686504543961306,0.697670192893492
12,0,294.64645171165466,0.5248377323150635,295.3397328853607,5.8,1275.677184,2167.86944,0.0,38.0,7.675435840184537,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865184059896955,0.6978243206619122,0.6865184059896955,0.6978243206619122
13,0,294.1508626937866,0.5239286422729492,294.9933445453644,5.7,1365.668864,2168.049664,0.0,40.0,8.216893643658445,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865208419946844,0.6981288664931551,0.6865208419946844,0.6981288664931551
14,0,295.473268032074,0.5477747917175293,296.1656918525696,5.7,1363.933696,2168.119296,0.0,40.0,8.20645356459849,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865072699668889,0.6974869474358515,0.6865072699668889,0.6974869474358515
15,0,287.8293867111206,0.5234785079956055,288.4884121417999,4.9,1361.595392,2168.2176,0.0,40.0,8.192384564578772,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865251920035932,0.6973293199451691,0.6865251920035932,0.6973293199451691
16,0,294.8536524772644,0.5725023746490479,295.59319949150085,5.6,1091.893248,2168.111104,0.0,40.0,6.569653102265334,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865192179913584,0.6984030347351634,0.6865192179913584,0.6984030347351634
17,0,294.1618046760559,0.569669246673584,294.89241099357605,5.7,1252.246528,2168.119296,0.0,39.0,7.5344593462274,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865225239981292,0.6969568095075975,0.6865225239981292,0.6969568095075975
18,0,286.7911648750305,0.5260882377624512,287.4691562652588,5.1,1361.55648,2168.119296,0.0,39.0,8.192150440645886,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864987439494276,0.6975071758305261,0.6864987439494276,0.6975071758305261
19,0,296.88071393966675,0.5332250595092773,297.57795763015747,2.9,1155.159552,2168.168448,0.0,25.0,6.950310891938251,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864983379485962,0.6963722858953914,0.6864983379485962,0.6963722858953914
20,0,297.08452224731445,0.5342049598693848,297.7829122543335,3.0,1269.487616,2168.344576,0.0,23.0,7.638194731965061,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865112139749662,0.6990959797430476,0.6865112139749662,0.6990959797430476
