epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,95.42226219177246,3.463982582092285,99.08545255661011,13.3,4031.563776,2262.888448,0.0,39.0,24.256927603951024,10.18,28.06,0.0701567754149437,,0.25,64,4,0.001,,4.6517871875,4.31246953125,4.6474671875,4.305755078125
2,1,97.36705732345581,3.1365156173706055,100.83387684822083,13.4,241.957376,2614.72256,0.0,47.0,1.455798017586404,16.96,39.94,0.14099115133285522,,0.25,64,4,0.001,,4.07050625,3.785131640625,4.079551875,3.75285390625
3,1,98.54866361618042,3.1794662475585938,102.04085874557495,15.4,212.806656,2614.628352,0.0,48.0,1.2804053054947653,23.8,50.24,0.21756957471370697,,0.25,64,4,0.001,,3.6950778125,3.35047734375,3.6779075,3.317354296875
4,1,99.81192111968994,3.0270137786865234,103.24874567985535,13.6,2942.263296,2616.823808,0.0,49.0,17.70287454900337,29.79,56.96,0.2843789756298065,,0.25,64,4,0.001,,3.415655625,3.04068984375,3.404475625,3.0010517578125
5,1,101.6976146697998,3.096151351928711,105.07077836990356,12.8,241.957376,2616.000512,0.0,48.0,1.455798017586404,31.92,59.36,0.31215864419937134,,0.25,64,4,0.001,,3.203221875,2.93680859375,3.192670625,2.90226953125
6,1,101.44796299934387,2.9985456466674805,104.77098679542542,12.7,188.537856,2617.91744,0.0,52.0,1.1343859052463476,35.07,62.09,0.3309325575828552,,0.25,64,4,0.001,,3.034899375,2.781105859375,3.037064375,2.7584619140625
7,1,99.8539228439331,2.873915672302246,103.4412899017334,12.6,227.074048,2617.413632,0.0,50.0,1.3662486938349006,38.81,66.52,0.37750548124313354,,0.25,64,4,0.001,,2.89804625,2.5606083984375,2.8845909375,2.5296220703125
8,1,98.6468152999878,3.2661166191101074,102.04859471321106,15.2,241.957376,2618.994688,0.0,49.0,1.455798017586404,41.89,68.61,0.40807417035102844,,0.25,64,4,0.001,,2.78183875,2.4602587890625,2.7826846875,2.4361203125
9,1,99.97581744194031,2.9579453468322754,103.50664567947388,12.8,188.537856,2617.683968,0.0,49.0,1.1343859052463476,42.65,70.16,0.41518592834472656,,0.25,64,4,0.001,,2.67367,2.3790828125,2.67003625,2.3328896484375
10,1,99.98835325241089,3.4927492141723633,103.63038635253906,15.5,241.957376,2626.215936,0.0,51.0,1.455798017586404,45.28,72.18,0.4442766606807709,,0.25,64,4,0.001,,2.59244109375,2.264388671875,2.5948815625,2.238924609375
11,1,100.16102170944214,3.084106206893921,103.99192428588867,15.2,241.957376,2618.310656,0.0,54.0,1.455798017586404,48.34,74.09,0.47541284561157227,,0.25,64,4,0.001,,2.49795625,2.1764791015625,2.50083,2.1398052734375
12,1,99.6201810836792,3.037140369415283,102.97455430030823,15.7,241.957376,2619.379712,0.0,53.0,1.455798017586404,46.73,73.19,0.46210017800331116,,0.25,64,4,0.001,,2.4245515625,2.238365234375,2.424056875,2.212928515625
13,1,96.24029755592346,3.3597583770751953,99.90041279792786,15.1,241.957376,2618.605568,0.0,54.0,1.455798017586404,48.59,74.71,0.47986483573913574,,0.25,64,4,0.001,,2.345534375,2.1229984375,2.32055203125,2.0727572265625
14,1,99.31451177597046,3.3548684120178223,103.06846380233765,15.0,8461.714944,2619.400192,0.0,51.0,50.912057505766825,50.79,76.29,0.5002379417419434,,0.25,64,4,0.001,,2.28089640625,2.03353984375,2.2830175,1.9976701171875
15,1,101.62543845176697,2.977034091949463,104.92474246025085,14.0,4743.609344,2619.33056,0.0,50.0,28.541130646083474,51.03,76.22,0.5078607797622681,,0.25,64,4,0.001,,2.2173984375,2.0505869140625,2.20225125,2.0296767578125
16,1,99.56007075309753,3.3815314769744873,103.18821167945862,15.1,6667.101696,2619.61728,0.0,50.0,40.11431101023245,51.01,76.47,0.5051758885383606,,0.25,64,4,0.001,,2.155721875,2.0333056640625,2.14498359375,2.036029296875
17,1,99.46657133102417,2.9476659297943115,102.82156157493591,16.4,241.957376,2619.129856,0.0,51.0,1.455798017586404,52.02,76.95,0.517013430595398,,0.25,64,4,0.001,,2.1093596875,2.01186953125,2.11151734375,2.013984375
18,1,100.00215196609497,3.191218376159668,103.49815082550049,12.4,188.537856,2619.564032,0.0,49.0,1.1343859052463476,52.86,78.24,0.5260321497917175,,0.25,64,4,0.001,,2.05732046875,1.951871875,2.05252296875,1.93023359375
19,1,101.86463260650635,2.948800563812256,105.31055164337158,14.5,241.957376,2618.6752,0.0,52.0,1.455798017586404,54.04,78.82,0.5406763553619385,,0.25,64,4,0.001,,2.0058746875,1.9066203125,1.99427796875,1.8822888671875
20,1,101.2749080657959,3.0544421672821045,104.89789366722107,13.7,8420.37248,2618.626048,0.0,50.0,50.66331006880779,54.09,79.31,0.5409119129180908,,0.25,64,4,0.001,,1.965006875,1.887979296875,1.96110625,1.903575390625
