epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,47.892958641052246,6.4060540199279785,54.522096157073975,59.3,401.930752,2805.460992,81.0,68.0,1.5808107356610406,13.29,37.44,0.10631798952817917,,1.0,128,4,0.001,,4.01322625,3.655919921875,4.01322625,3.655919921875
2,0,46.97804927825928,6.245246887207031,53.30496096611023,59.1,3133.38624,2905.78432,79.0,69.0,12.323741297517296,19.74,47.15,0.17105187475681305,,1.0,128,4,0.001,,3.67470375,3.352008984375,3.67470375,3.352008984375
3,0,47.18426990509033,6.355824947357178,53.61955785751343,58.4,2966.17216,2914.492416,78.0,70.0,11.666081211787693,26.11,55.55,0.23643437027931213,,1.0,128,4,0.001,,3.3902878125,3.0027013671875,3.3902878125,3.0027013671875
4,0,47.00716590881348,6.474717378616333,53.561583280563354,59.2,364.151296,2916.286464,80.0,70.0,1.4322225290233117,27.46,59.14,0.2622069716453552,,1.0,128,4,0.001,,3.0790840625,2.8870697265625,3.0790840625,2.8870697265625
5,0,47.11357021331787,6.666871786117554,53.86262226104736,59.4,411.373568,2925.289472,79.0,70.0,1.6179497324494025,37.83,69.73,0.3585115671157837,,1.0,128,4,0.001,,2.8022059375,2.408129296875,2.8022059375,2.408129296875
6,0,47.0400550365448,6.574873685836792,53.70294713973999,59.4,411.373568,2908.01664,77.0,69.0,1.6179497324494025,39.33,71.75,0.3806561827659607,,1.0,128,4,0.001,,2.58705375,2.3297634765625,2.58705375,2.3297634765625
7,0,47.181360483169556,6.367220163345337,53.629393577575684,59.2,411.373568,2925.965312,76.0,70.0,1.6179497324494025,45.75,76.25,0.44588151574134827,,1.0,128,4,0.001,,2.39939234375,2.0297970703125,2.39939234375,2.0297970703125
8,0,46.84994649887085,6.487773418426514,53.52854371070862,58.6,364.151296,2917.466112,79.0,70.0,1.4322225290233117,50.63,81.37,0.5022842288017273,,1.0,128,4,0.001,,2.25224375,1.78658125,2.25224375,1.78658125
9,0,46.78524971008301,6.558921575546265,53.42742466926575,59.4,411.373568,2921.893888,78.0,70.0,1.6179497324494025,50.45,80.52,0.49952566623687744,,1.0,128,4,0.001,,2.1274375,1.837627734375,2.1274375,1.837627734375
10,0,46.82690787315369,6.77767539024353,53.685107707977295,59.2,411.373568,2965.508096,77.0,70.0,1.6179497324494025,54.75,83.86,0.5442049503326416,,1.0,128,4,0.001,,2.0204346875,1.63661162109375,2.0204346875,1.63661162109375
11,0,46.91358137130737,6.776188135147095,53.77787756919861,59.1,364.151296,2950.242304,78.0,70.0,1.4322225290233117,55.88,84.33,0.5512519478797913,,1.0,128,4,0.001,,1.9295025,1.58233935546875,1.9295025,1.58233935546875
12,0,47.24310278892517,6.773689270019531,54.098297357559204,59.2,411.373568,2960.7936,77.0,70.0,1.6179497324494025,58.88,85.76,0.5874314904212952,,1.0,128,4,0.001,,1.84945875,1.47185224609375,1.84945875,1.47185224609375
13,0,47.12043213844299,6.4924843311309814,53.69320583343506,59.1,411.373568,2969.567232,78.0,70.0,1.6179497324494025,58.7,86.46,0.5819464325904846,,1.0,128,4,0.001,,1.7674103125,1.47333232421875,1.7674103125,1.47333232421875
14,0,46.832659006118774,6.5588390827178955,53.47136116027832,59.0,411.373568,2969.78432,77.0,71.0,1.6179497324494025,61.62,87.81,0.6152350902557373,,1.0,128,4,0.001,,1.70388984375,1.365657421875,1.70388984375,1.365657421875
15,0,46.90408635139465,6.5603861808776855,53.54650259017944,59.1,411.373568,2926.583808,82.0,70.0,1.6179497324494025,61.71,87.66,0.6128397583961487,,1.0,128,4,0.001,,1.6426909375,1.37072080078125,1.6426909375,1.37072080078125
16,0,46.965335845947266,6.556713819503784,53.60294985771179,59.0,364.151296,2926.583808,77.0,70.0,1.4322225290233117,62.65,88.35,0.623962938785553,,1.0,128,4,0.001,,1.58772640625,1.33206455078125,1.58772640625,1.33206455078125
17,0,46.987006187438965,6.758556842803955,53.836434841156006,59.1,458.12224,2908.643328,78.0,70.0,1.8018142469404377,63.01,88.78,0.6256470680236816,,1.0,128,4,0.001,,1.53030375,1.333684765625,1.53030375,1.333684765625
18,0,46.88515853881836,6.822367429733276,53.78872489929199,59.3,411.373568,2930.888704,76.0,70.0,1.6179497324494025,63.93,89.06,0.6337766647338867,,1.0,128,4,0.001,,1.48108640625,1.28853310546875,1.48108640625,1.28853310546875
19,0,47.08508038520813,6.547844171524048,53.71341609954834,59.2,411.373568,2926.731264,80.0,69.0,1.6179497324494025,65.5,89.47,0.6526214480400085,,1.0,128,4,0.001,,1.4467325,1.2302580078125,1.4467325,1.2302580078125
20,0,46.96554398536682,6.436826467514038,53.49277901649475,58.9,411.373568,2926.931968,79.0,71.0,1.6179497324494025,65.33,89.64,0.6564818024635315,,1.0,128,4,0.001,,1.3981753125,1.23330341796875,1.3981753125,1.23330341796875
