epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,207.2003903388977,11.348225831985474,218.71827030181885,55.0,502.76864,2320.498688,76.0,70.0,1.9774104362775928,99.03,99.98,0.9902635812759399,,1.0,64,4,0.001,,0.4085046875,0.034625662231445316,0.4085046875,0.034625662231445316
2,0,208.29640364646912,11.725170135498047,220.10749626159668,55.3,513.19808,2470.977536,76.0,70.0,2.0184298672041736,98.56,99.99,0.9855401515960693,,1.0,64,4,0.001,,0.0676349609375,0.04918896179199219,0.0676349609375,0.04918896179199219
3,0,206.87701296806335,11.659606695175171,218.6206545829773,55.3,9522.2528,2474.143744,75.0,70.0,37.45142510000928,98.78,100.0,0.9876338243484497,,1.0,64,4,0.001,,0.05099918212890625,0.038836932373046876,0.05099918212890625,0.038836932373046876
4,0,208.28183507919312,11.460668325424194,219.86981320381165,55.0,457.490432,2472.783872,79.0,68.0,1.7993293192151851,99.25,99.99,0.9924400448799133,,1.0,64,4,0.001,,0.046794649251302084,0.02140533447265625,0.046794649251302084,0.02140533447265625
5,0,208.56189560890198,11.698997974395752,220.34727907180786,55.4,3616.531968,2475.245568,78.0,69.0,14.22397398663278,98.15,99.99,0.9816595315933228,,1.0,64,4,0.001,,0.043909814453125,0.0584935791015625,0.043909814453125,0.0584935791015625
6,0,208.37466311454773,12.002413749694824,220.58116793632507,55.2,9203.751936,2476.208128,77.0,70.0,36.19874766086544,99.53,100.0,0.9952524900436401,,1.0,64,4,0.001,,0.04315898030598958,0.015087135314941406,0.04315898030598958,0.015087135314941406
7,0,208.8172709941864,11.631333351135254,220.54408359527588,55.6,513.19808,2472.955904,78.0,70.0,2.0184298672041736,99.17,100.0,0.9916074872016907,,1.0,64,4,0.001,,0.03284267985026042,0.024777427673339843,0.03284267985026042,0.024777427673339843
8,0,208.4577350616455,11.789482831954956,220.34766745567322,55.6,513.19808,2476.048384,78.0,70.0,2.0184298672041736,99.27,100.0,0.9926908016204834,,1.0,64,4,0.001,,0.031389263916015625,0.02396797637939453,0.031389263916015625,0.02396797637939453
9,0,208.4889373779297,11.65716552734375,220.2314875125885,55.6,8758.258176,2476.535808,78.0,70.0,34.44660176266355,99.38,100.0,0.9937410950660706,,1.0,64,4,0.001,,0.027902718098958335,0.01797799072265625,0.027902718098958335,0.01797799072265625
10,0,208.45532131195068,11.702054738998413,220.25147652626038,55.4,10263.64928,2476.31872,78.0,71.0,40.367368976245224,99.21,100.0,0.9920589327812195,,1.0,64,4,0.001,,0.024799788411458332,0.027590890502929687,0.024799788411458332,0.027590890502929687
11,0,208.86050510406494,11.68644380569458,220.63199090957642,55.8,513.19808,2476.634112,79.0,70.0,2.0184298672041736,99.46,100.0,0.9945368766784668,,1.0,64,4,0.001,,0.026408953857421875,0.01968439483642578,0.026408953857421875,0.01968439483642578
12,0,208.48795986175537,11.843217134475708,220.41625118255615,55.3,433.0112,2476.6464,77.0,70.0,1.7030514590271262,99.54,100.0,0.9953694343566895,,1.0,64,4,0.001,,0.021194319661458332,0.015024404907226563,0.021194319661458332,0.015024404907226563
13,0,207.95488834381104,11.898240566253662,219.94868159294128,55.3,9134.072832,2473.545728,77.0,70.0,35.92469678243342,99.11,100.0,0.9910674691200256,,1.0,64,4,0.001,,0.01975482177734375,0.03127425537109375,0.01975482177734375,0.03127425537109375
14,0,208.59627604484558,11.847653865814209,220.53281593322754,54.9,4031.864832,2474.287104,76.0,69.0,15.857495798579253,99.53,100.0,0.9952480792999268,,1.0,64,4,0.001,,0.019776057942708335,0.015827107238769532,0.019776057942708335,0.015827107238769532
15,0,208.50687980651855,11.64342975616455,220.24390244483948,54.9,9252.926464,2474.2912,77.0,69.0,36.3921531701395,99.37,100.0,0.9936363697052002,,1.0,64,4,0.001,,0.016948454793294272,0.019661375427246094,0.016948454793294272,0.019661375427246094
16,0,208.39941668510437,11.746840238571167,220.240252494812,55.1,8881.961984,2476.408832,78.0,70.0,34.93313409878236,99.25,100.0,0.9924687743186951,,1.0,64,4,0.001,,0.016118543497721353,0.025138246154785156,0.016118543497721353,0.025138246154785156
17,0,206.3185555934906,10.399381399154663,216.8014919757843,52.8,8996.742656,2473.832448,79.0,71.0,35.38457136164696,99.35,100.0,0.9934831261634827,,1.0,64,4,0.001,,0.015426116943359375,0.01966019744873047,0.015426116943359375,0.01966019744873047
18,0,200.21954131126404,10.474632501602173,210.774968624115,52.8,513.19808,2475.548672,78.0,70.0,2.0184298672041736,99.52,100.0,0.9951640963554382,,1.0,64,4,0.001,,0.011823484293619792,0.014231187438964843,0.011823484293619792,0.014231187438964843
19,0,200.62098240852356,10.46668028831482,211.1678547859192,52.8,4366.354944,2475.823104,80.0,71.0,17.17305962988834,99.58,100.0,0.9957454800605774,,1.0,64,4,0.001,,0.013100220743815104,0.01349166259765625,0.013100220743815104,0.01349166259765625
20,0,200.4102635383606,10.438538312911987,210.92759704589844,52.5,513.19808,2477.09696,79.0,70.0,2.0184298672041736,99.52,100.0,0.9951419234275818,,1.0,64,4,0.001,,0.010337241617838541,0.0163164794921875,0.010337241617838541,0.0163164794921875
