epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,127.24456095695496,3.1631994247436523,132.27394199371338,54.8,240.018944,2178.187264,77.0,60.0,0.9440047111329918,12.46,32.33,0.09441792219877243,,0.25,64,4,0.001,,4.6236146875,4.1046578125,4.63911375,4.141494921875
2,0,126.42542457580566,2.8066983222961426,130.63905715942383,54.1,242.432512,2416.848896,78.0,61.0,0.9534973766895898,17.05,39.91,0.1403626948595047,,0.25,64,4,0.001,,4.043123125,3.80570703125,4.0393225,3.816225
3,0,124.2905786037445,3.039027452468872,128.9140386581421,53.6,242.432512,2417.8688,78.0,61.0,0.9534973766895898,23.38,49.02,0.21294471621513367,,0.25,64,4,0.001,,3.693598125,3.389008203125,3.693719375,3.38941796875
4,0,126.64633011817932,2.9152660369873047,130.91371417045593,54.4,242.432512,2420.57216,78.0,60.0,0.9534973766895898,28.4,55.17,0.2675933241844177,,0.25,64,4,0.001,,3.41927375,3.0863822265625,3.41609,3.0746021484375
5,0,125.42023587226868,2.9827394485473633,129.85697293281555,53.6,242.432512,2418.720768,76.0,61.0,0.9534973766895898,33.05,61.16,0.31198105216026306,,0.25,64,4,0.001,,3.2173025,2.8274103515625,3.219565,2.82945859375
6,0,123.41635775566101,2.7683868408203125,127.62006139755249,53.8,228.466688,2424.54528,79.0,60.0,0.898569197142003,36.28,64.16,0.3459029495716095,,0.25,64,4,0.001,,3.03955,2.708773828125,3.0322475,2.6965662109375
7,0,127.92099595069885,2.8700764179229736,131.9345920085907,54.0,242.432512,2424.745984,79.0,61.0,0.9534973766895898,39.25,67.01,0.3785836696624756,,0.25,64,4,0.001,,2.90037625,2.5466080078125,2.9011609375,2.54774921875
8,0,126.7203540802002,2.8754024505615234,131.04188537597656,54.6,5565.825024,2420.16256,76.0,62.0,21.890626449876795,40.26,68.5,0.388858824968338,,0.25,64,4,0.001,,2.7826271875,2.49299609375,2.7802190625,2.489384765625
9,0,126.61401724815369,2.781449794769287,130.93175101280212,54.0,7709.746688,2421.764096,80.0,62.0,30.32276150300028,41.5,68.81,0.4099104404449463,,0.25,64,4,0.001,,2.674376875,2.477326171875,2.6602990625,2.4484603515625
10,0,127.38203382492065,2.8958020210266113,131.85912442207336,54.4,242.432512,2422.693888,79.0,61.0,0.9534973766895898,44.66,71.86,0.4413944482803345,,0.25,64,4,0.001,,2.57623671875,2.3194234375,2.58519484375,2.2998330078125
11,0,124.3704092502594,2.8976733684539795,128.73455500602722,54.6,242.432512,2421.784576,78.0,60.0,0.9534973766895898,46.52,72.91,0.4583275318145752,,0.25,64,4,0.001,,2.500085,2.2267341796875,2.49152703125,2.206915625
12,0,126.58508348464966,2.830681800842285,131.1910674571991,54.0,7508.141568,2423.894016,79.0,62.0,29.529839994819106,48.18,74.33,0.47606685757637024,,0.25,64,4,0.001,,2.41606515625,2.15893984375,2.41667015625,2.155922265625
13,0,126.45678305625916,2.892733573913574,130.7266969680786,54.4,242.432512,2421.116928,80.0,62.0,0.9534973766895898,49.41,75.67,0.49089986085891724,,0.25,64,4,0.001,,2.3480503125,2.071418359375,2.3514621875,2.053001953125
14,0,127.29621505737305,2.961958646774292,131.50604271888733,54.2,242.432512,2423.083008,80.0,61.0,0.9534973766895898,49.55,75.68,0.48749709129333496,,0.25,64,4,0.001,,2.27460484375,2.094428515625,2.28713546875,2.070523828125
15,0,127.30345511436462,2.798004150390625,131.4576132297516,54.3,242.432512,2424.287232,79.0,60.0,0.9534973766895898,51.32,76.82,0.5111808180809021,,0.25,64,4,0.001,,2.21740953125,2.0286146484375,2.233149375,1.9894482421875
16,0,126.59150242805481,2.8772387504577637,130.88927173614502,54.4,242.432512,2423.955456,79.0,61.0,0.9534973766895898,49.93,75.94,0.5039432048797607,,0.25,64,4,0.001,,2.16363,2.106394921875,2.15157140625,2.0698546875
17,0,126.96310305595398,2.872981071472168,131.3206970691681,54.2,242.432512,2424.348672,80.0,61.0,0.9534973766895898,52.6,77.81,0.5254814028739929,,0.25,64,4,0.001,,2.10970625,1.9520625,2.1258334375,1.9132484375
18,0,125.5232162475586,2.892576217651367,129.7594678401947,54.3,242.432512,2422.546432,78.0,61.0,0.9534973766895898,50.77,76.8,0.5066096782684326,,0.25,64,4,0.001,,2.05278328125,2.0359244140625,2.050628125,2.0056716796875
19,0,117.89546775817871,2.8708336353302,122.06673955917358,33.6,242.432512,2422.923264,79.0,63.0,0.9534973766895898,53.04,78.28,0.5276447534561157,,0.25,64,4,0.001,,2.010921875,1.958212109375,2.0226971875,1.9170953125
20,0,109.04018020629883,2.768918514251709,112.87495136260986,33.4,242.432512,2424.397824,76.0,64.0,0.9534973766895898,53.86,79.11,0.5393280982971191,,0.25,64,4,0.001,,1.96109125,1.8868953125,1.9575478125,1.858791796875
