epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,135.39960098266602,10.278509140014648,145.8161997795105,35.8,542.294528,2145.153024,78.0,66.0,2.1328674342207012,39.37,89.29,0.37131038308143616,,1.0,32,4,0.001,,1.9392715625,1.6737478515625,1.9392715625,1.6737478515625
2,0,147.6381344795227,12.373675346374512,160.23646521568298,56.1,3179.9552,2281.844736,78.0,65.0,12.506898997071895,50.26,93.34,0.4858160614967346,,1.0,32,4,0.001,,1.69203765625,1.36011005859375,1.69203765625,1.36011005859375
3,0,159.97570252418518,12.67356014251709,172.84345245361328,56.4,1964.461056,2283.25376,78.0,63.0,7.726308852109991,61.17,95.68,0.6030451059341431,,1.0,32,4,0.001,,1.45278234375,1.10489755859375,1.45278234375,1.10489755859375
4,0,159.02483749389648,12.828363418579102,172.03112292289734,56.0,2198.885376,2301.693952,78.0,65.0,8.648309669196113,64.85,97.01,0.6505728363990784,,1.0,32,4,0.001,,1.3227665625,0.98676201171875,1.3227665625,0.98676201171875
5,0,160.3777551651001,12.551697492599487,173.14883995056152,56.2,648.3456,2286.20288,77.0,64.0,2.5499708091472404,67.04,96.84,0.6571170091629028,,1.0,32,4,0.001,,1.221829375,0.93199287109375,1.221829375,0.93199287109375
6,0,160.30545496940613,12.788740873336792,173.29209160804749,56.2,551.344128,2301.927424,78.0,65.0,2.1684598957635246,72.54,98.07,0.7231341600418091,,1.0,32,4,0.001,,1.143504375,0.7719162109375,1.143504375,0.7719162109375
7,0,160.28242421150208,12.670387744903564,173.14552092552185,56.2,551.344128,2303.03744,76.0,64.0,2.1684598957635246,72.88,98.52,0.7327404618263245,,1.0,32,4,0.001,,1.07342828125,0.761912158203125,1.07342828125,0.761912158203125
8,0,155.74728965759277,12.576737403869629,168.49073696136475,56.3,452.408832,2303.045632,80.0,64.0,1.779343170371478,77.81,98.58,0.773811399936676,,1.0,32,4,0.001,,1.013421328125,0.652598193359375,1.013421328125,0.652598193359375
9,0,156.47617959976196,12.551893472671509,169.23865056037903,56.3,551.344128,2303.107072,78.0,65.0,2.1684598957635246,78.01,98.94,0.7798097133636475,,1.0,32,4,0.001,,0.961034375,0.61480517578125,0.961034375,0.61480517578125
10,0,156.07363748550415,12.503575563430786,168.77353143692017,56.2,452.409344,2284.9536,81.0,64.0,1.7793451840892454,80.21,99.03,0.8029507994651794,,1.0,32,4,0.001,,0.911098203125,0.570523828125,0.911098203125,0.570523828125
11,0,155.63837933540344,12.583662033081055,168.53824377059937,56.7,551.344128,2285.072384,79.0,64.0,2.1684598957635246,79.6,99.26,0.7967996597290039,,1.0,32,4,0.001,,0.8864615625,0.570077880859375,0.8864615625,0.570077880859375
12,0,155.91726326942444,12.447239875793457,168.5359284877777,56.4,3006.546944,2285.09696,78.0,64.0,11.824876953789529,83.09,99.15,0.8303667306900024,,1.0,32,4,0.001,,0.85833671875,0.49151357421875,0.85833671875,0.49151357421875
13,0,155.92758178710938,12.45154333114624,168.54611110687256,56.2,452.409344,2285.256704,79.0,65.0,1.7793451840892454,82.66,99.17,0.8254355192184448,,1.0,32,4,0.001,,0.832921796875,0.5066041015625,0.832921796875,0.5066041015625
14,0,155.24591422080994,12.548858642578125,167.97129154205322,56.4,2784.316416,2295.05024,78.0,65.0,10.950834839057233,81.87,99.2,0.8196820020675659,,1.0,32,4,0.001,,0.806896171875,0.520764892578125,0.806896171875,0.520764892578125
15,0,152.9711503982544,12.662725925445557,165.81893467903137,56.5,3162.120704,2285.350912,80.0,65.0,12.43675516607211,83.06,99.16,0.828330934047699,,1.0,32,4,0.001,,0.7820878125,0.48454501953125,0.7820878125,0.48454501953125
16,0,148.3863890171051,12.55426573753357,161.10656666755676,52.3,551.344128,2285.817856,77.0,68.0,2.1684598957635246,85.63,99.4,0.855790913105011,,1.0,32,4,0.001,,0.77336609375,0.423240625,0.77336609375,0.423240625
17,0,152.10637950897217,12.658278942108154,164.96307110786438,54.9,551.344128,2295.238656,80.0,67.0,2.1684598957635246,85.49,99.48,0.8558857440948486,,1.0,32,4,0.001,,0.73684484375,0.4245580078125,0.73684484375,0.4245580078125
18,0,160.92264246940613,12.773468017578125,173.88848114013672,54.7,1481.073152,2286.231552,80.0,65.0,5.825123674490417,84.93,99.41,0.8477356433868408,,1.0,32,4,0.001,,0.722177734375,0.43879169921875,0.722177734375,0.43879169921875
19,0,160.62817192077637,12.406623363494873,173.23855090141296,53.9,1816.09728,2286.075904,78.0,65.0,7.142787813431144,86.44,99.64,0.8642470836639404,,1.0,32,4,0.001,,0.7093328125,0.3963974609375,0.7093328125,0.3963974609375
20,0,160.0035617351532,12.633889198303223,172.8068380355835,54.9,3199.437824,2295.246848,78.0,65.0,12.583524985565672,85.88,99.43,0.8581723570823669,,1.0,32,4,0.001,,0.68410171875,0.4117083984375,0.68410171875,0.4117083984375
