epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,114.27760481834412,0.7359356880187988,115.39905333518982,35.4,1364.07296,2022.658048,76.0,60.0,5.364956945103154,49.08256880733945,0.0,0.32923075556755066,,1.0,64,4,0.001,,0.6910682253077254,0.6932990397882024,0.6910682253077254,0.6932990397882024
2,0,113.15053629875183,1.0582849979400635,114.39353799819946,56.1,1367.956992,2037.870592,76.0,60.0,5.380233008088379,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6868182086036912,0.6976128674428398,0.6868182086036912,0.6976128674428398
3,0,117.7076690196991,0.9382741451263428,118.84349465370178,56.2,1302.444032,2037.661696,80.0,60.0,5.122567751131549,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6865084299692645,0.6973081816227065,0.6865084299692645,0.6973081816227065
4,0,117.74339270591736,0.866767168045044,118.89289999008179,56.3,1361.424384,2035.953664,78.0,59.0,5.354539983091215,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864799519109415,0.6975476326198753,0.6864799519109415,0.6975476326198753
5,0,116.42351055145264,1.0519006252288818,117.67424416542053,56.1,1551.745024,2039.136256,78.0,60.0,6.103079151673867,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864879559273337,0.6967554354886396,0.6864879559273337,0.6967554354886396
6,0,117.10334491729736,0.8706104755401611,118.19381737709045,56.1,1114.753024,2060.26752,76.0,60.0,4.384371037003434,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6865005419531099,0.6985240551309848,0.6865005419531099,0.6985240551309848
7,0,117.20083689689636,0.9362201690673828,118.34111738204956,56.2,1262.054912,2040.860672,79.0,60.0,4.96371562503222,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.686481691914505,0.6970279938584074,0.686481691914505,0.6970279938584074
8,0,117.70725107192993,0.9893066883087158,118.90916037559509,56.1,1093.047296,2058.838016,76.0,60.0,4.2990014859626156,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864838959190188,0.6973060817893492,0.6864838959190188,0.6973060817893492
9,0,116.5651183128357,0.8467521667480469,117.57295417785645,56.2,1541.889536,2043.826176,77.0,60.0,6.064317098364796,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6866783703173024,0.6971061076592961,0.6866783703173024,0.6971061076592961
10,0,117.45302224159241,0.8892056941986084,118.53979969024658,56.4,1367.935488,2060.22656,76.0,60.0,5.38014843194214,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864758339025079,0.6985118760975129,0.6864758339025079,0.6985118760975129
11,0,117.52324771881104,0.8730099201202393,118.5865867137909,56.3,1364.284416,2064.891904,77.0,55.0,5.365788610541185,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864863899241266,0.6971488742653383,0.6864863899241266,0.6971488742653383
12,0,119.08601808547974,0.9055728912353516,120.1699948310852,56.3,1093.040128,2042.585088,78.0,60.0,4.2989732939138685,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864767619044084,0.6985906898428541,0.6864767619044084,0.6985906898428541
13,0,118.9860508441925,1.0248491764068604,120.27852606773376,56.3,1367.203328,2061.55776,78.0,60.0,5.377268815534431,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.686493523938737,0.6977779143447176,0.686493523938737,0.6977779143447176
14,0,119.51955008506775,0.8771722316741943,120.58498048782349,55.3,1093.049344,2042.81856,77.0,59.0,4.299009540833685,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.686468235886947,0.6996016896099125,0.686468235886947,0.6996016896099125
15,0,119.68786787986755,0.8928918838500977,120.81941103935242,55.9,1093.037056,2041.593856,79.0,60.0,4.298961211607263,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6865015279551292,0.6979322520964736,0.6865015279551292,0.6979322520964736
16,0,118.62706327438354,0.8310003280639648,119.69603228569031,56.3,1367.721472,2041.556992,78.0,60.0,5.37930669791527,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.686484127919494,0.6988624082792789,0.686484127919494,0.6988624082792789
17,0,116.28365540504456,1.0580403804779053,117.53177738189697,55.8,1365.771264,2060.591104,79.0,55.0,5.371636446938376,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.686473919898588,0.6976417751487242,0.686473919898588,0.6976417751487242
18,0,119.27713942527771,1.103165626525879,120.60322523117065,56.2,1208.347648,2046.631936,77.0,60.0,4.752482672361353,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864762979034581,0.698064891570205,0.6864762979034581,0.698064891570205
19,0,119.66567015647888,0.8260023593902588,120.69056224822998,56.5,1823.079936,2044.141568,79.0,60.0,7.170250896346053,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.6864922479361237,0.6974292020185278,0.6864922479361237,0.6974292020185278
20,0,118.71298813819885,0.9054665565490723,119.85190153121948,56.4,1364.95872,2059.280384,81.0,60.0,5.368440676841151,50.91743119266055,0.0,0.33738601207733154,,1.0,64,4,0.001,,0.686484939921157,0.6986219773598767,0.686484939921157,0.6986219773598767
