epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,127.56918454170227,4.590853214263916,132.7573001384735,54.1,7262.352384,2084.200448,77.0,56.0,28.56314068444495,11.94,31.76,0.09652021527290344,,0.25,64,4,0.001,,4.627194375,4.1037875,4.627988125,4.124680078125
2,3,126.59775304794312,3.4123780727386475,131.00955033302307,54.3,242.432512,2415.517696,78.0,57.0,0.9534973766895898,18.09,41.78,0.15605121850967407,,0.25,64,4,0.001,,4.029401875,3.73256640625,4.0082996875,3.779528125
3,3,125.67858290672302,3.761596441268921,129.88959503173828,54.3,242.432512,2417.373184,74.0,57.0,0.9534973766895898,22.63,48.58,0.2041632980108261,,0.25,64,4,0.001,,3.6639590625,3.4363078125,3.6697503125,3.469462109375
4,3,125.7966034412384,3.3977787494659424,130.2349054813385,53.7,242.432512,2419.081216,79.0,57.0,0.9534973766895898,29.95,57.64,0.28606370091438293,,0.25,64,4,0.001,,3.3826659375,3.00965390625,3.39383125,3.0616015625
5,3,128.35111951828003,3.7010717391967773,132.67111897468567,54.2,242.432512,2418.716672,77.0,55.0,0.9534973766895898,34.39,61.28,0.3233642578125,,0.25,64,4,0.001,,3.175495,2.8218591796875,3.187146875,2.8405908203125
6,3,128.32058262825012,3.42728590965271,132.67902278900146,54.6,242.432512,2420.137984,79.0,55.0,0.9534973766895898,36.0,64.04,0.35322657227516174,,0.25,64,4,0.001,,3.008160625,2.7058455078125,3.017348125,2.7161
7,3,126.85511112213135,3.7776331901550293,131.18384528160095,54.5,8480.405504,2418.9952,78.0,57.0,33.35379539080946,39.02,66.67,0.3816802203655243,,0.25,64,4,0.001,,2.862733125,2.5656919921875,2.8654484375,2.5721552734375
8,3,127.12495112419128,3.4705615043640137,131.25066256523132,53.8,4834.102272,2420.432896,79.0,56.0,19.012729757142417,42.51,70.02,0.41286909580230713,,0.25,64,4,0.001,,2.74781375,2.38942578125,2.7345640625,2.362737890625
9,3,125.92080116271973,3.5286808013916016,130.41601514816284,54.3,242.432512,2419.269632,79.0,55.0,0.9534973766895898,43.32,70.43,0.4286617338657379,,0.25,64,4,0.001,,2.6466390625,2.394774609375,2.63707375,2.377996875
10,3,127.21831607818604,3.3898253440856934,131.5081660747528,54.4,7213.426176,2420.461568,77.0,56.0,28.370711828288194,45.21,72.18,0.44620588421821594,,0.25,64,4,0.001,,2.552775,2.31071171875,2.5312315625,2.298315625
11,3,127.66035032272339,3.5863587856292725,131.89947128295898,54.4,242.432512,2419.539968,77.0,58.0,0.9534973766895898,46.28,72.93,0.45757541060447693,,0.25,64,4,0.001,,2.46978140625,2.228817578125,2.4739653125,2.2180451171875
12,3,127.42141938209534,3.676893711090088,132.04443335533142,54.3,4538.625536,2420.473856,76.0,56.0,17.850607192291037,48.7,74.87,0.48138919472694397,,0.25,64,4,0.001,,2.39398625,2.1323599609375,2.386285,2.1112416015625
13,3,124.87617945671082,3.4916293621063232,129.46966338157654,54.1,242.432512,2419.802112,76.0,57.0,0.9534973766895898,50.84,76.46,0.50484699010849,,0.25,64,4,0.001,,2.3169115625,2.0509783203125,2.323141875,2.0346318359375
14,3,127.26115155220032,3.6025824546813965,131.65505194664001,54.3,242.432512,2420.453376,77.0,57.0,0.9534973766895898,50.75,76.04,0.5033984780311584,,0.25,64,4,0.001,,2.2552396875,2.02894609375,2.2521125,2.0175509765625
15,3,125.43222618103027,3.354163408279419,129.93771243095398,54.1,242.432512,2420.064256,76.0,56.0,0.9534973766895898,51.14,76.5,0.508478581905365,,0.25,64,4,0.001,,2.2037971875,2.0453173828125,2.1972915625,1.9992939453125
16,3,127.04536628723145,3.2179198265075684,131.50438117980957,53.9,242.432512,2420.494336,79.0,58.0,0.9534973766895898,52.27,77.18,0.5220954418182373,,0.25,64,4,0.001,,2.12767453125,1.9613326171875,2.12570671875,1.9327974609375
17,3,126.97933530807495,3.3988988399505615,131.22743701934814,54.3,242.432512,2420.338688,77.0,56.0,0.9534973766895898,53.7,78.47,0.5333889126777649,,0.25,64,4,0.001,,2.08047640625,1.918555859375,2.066705,1.8928556640625
18,3,126.05458855628967,3.4782352447509766,130.37678813934326,53.6,242.432,2420.432896,80.0,58.0,0.9534953629718221,53.45,78.1,0.5312798619270325,,0.25,64,4,0.001,,2.02519140625,1.9504369140625,2.0271778125,1.9341103515625
19,3,127.5645158290863,3.7346243858337402,132.31018042564392,53.7,242.432512,2420.498432,77.0,56.0,0.9534973766895898,53.53,78.7,0.5320892930030823,,0.25,64,4,0.001,,1.9695059375,1.930303515625,1.96885546875,1.9142236328125
20,3,126.2392475605011,3.100501775741577,130.3812940120697,54.1,242.432512,2420.498432,78.0,58.0,0.9534973766895898,55.85,79.48,0.5547793507575989,,0.25,64,4,0.001,,1.93093515625,1.861456640625,1.933835,1.8328958984375
