ts,event,job_id,queue_len_after,note
2026-01-25 11:03:39,enqueue,job-eaa9b672,1,"g_target=1, batch=32, gang=0"
2026-01-25 11:03:43,dequeue_start,job-eaa9b672,0,"g=1, cluster=clusterA"
2026-01-25 11:08:26,enqueue,job-7b2521db,1,"g_target=2, batch=64, gang=0"
2026-01-25 11:08:31,dequeue_start,job-7b2521db,0,"g=2, cluster=clusterA"
2026-01-25 11:25:21,enqueue,job-001ebd7a,1,"g_target=4, batch=64, gang=1"
2026-01-25 11:25:21,dequeue_start,job-001ebd7a,0,"g=4, cluster=clusterB"
2026-01-25 11:27:20,enqueue,job-bd2d2858,1,"g_target=1, batch=64, gang=0"
2026-01-25 11:27:20,dequeue_start,job-bd2d2858,0,"g=1, cluster=clusterA"
2026-01-25 11:46:56,enqueue,job-1bece87f,1,"g_target=1, batch=32, gang=0"
2026-01-25 11:50:05,dequeue_start,job-1bece87f,0,"g=1, cluster=clusterA"
2026-01-25 11:51:57,enqueue,job-b91b2de6,1,"g_target=1, batch=32, gang=0"
2026-01-25 11:51:58,dequeue_start,job-b91b2de6,0,"g=1, cluster=clusterA"
2026-01-25 11:55:43,enqueue,job-f8bdd443,1,"g_target=1, batch=32, gang=0"
2026-01-25 11:55:47,dequeue_start,job-f8bdd443,0,"g=1, cluster=clusterA"
2026-01-25 12:01:58,enqueue,job-73991618,1,"g_target=1, batch=64, gang=0"
2026-01-25 12:02:03,dequeue_start,job-73991618,0,"g=1, cluster=clusterA"
2026-01-25 12:13:11,enqueue,job-a39bd789,1,"g_target=2, batch=64, gang=0"
2026-01-25 12:13:16,dequeue_start,job-a39bd789,0,"g=1, cluster=clusterA"
2026-01-25 12:16:37,dequeue_start,job-f8bdd443,0,"g=1, cluster=clusterA"
2026-01-25 12:16:42,dequeue_start,job-a39bd789,0,"g=2, cluster=clusterA"
2026-01-25 12:26:32,enqueue,job-105b46cb,1,"g_target=1, batch=16, gang=0"
2026-01-25 12:26:36,dequeue_start,job-105b46cb,0,"g=1, cluster=clusterA"
2026-01-25 12:34:24,enqueue,job-9d7e227c,1,"g_target=1, batch=16, gang=0"
2026-01-25 12:34:25,dequeue_start,job-9d7e227c,0,"g=1, cluster=clusterA"
2026-01-25 12:35:35,enqueue,job-3a196d6d,1,"g_target=4, batch=64, gang=1"
2026-01-25 12:35:37,dequeue_start,job-3a196d6d,0,"g=4, cluster=clusterB"
2026-01-25 12:37:52,enqueue,job-ccb455fd,1,"g_target=2, batch=64, gang=0"
2026-01-25 12:37:55,dequeue_start,job-ccb455fd,0,"g=2, cluster=clusterA"
2026-01-25 12:40:00,enqueue,job-52b457bd,1,"g_target=1, batch=16, gang=0"
2026-01-25 12:40:04,dequeue_start,job-52b457bd,0,"g=1, cluster=clusterA"
2026-01-25 12:40:45,enqueue,job-912c13c8,1,"g_target=1, batch=32, gang=0"
2026-01-25 12:42:19,enqueue,job-1061aec0,2,"g_target=1, batch=64, gang=0"
2026-01-25 12:51:17,enqueue,job-8a887029,3,"g_target=1, batch=64, gang=0"
2026-01-25 13:00:06,enqueue,job-eb5719f1,4,"g_target=1, batch=64, gang=0"
2026-01-25 13:05:27,enqueue,job-c7944003,5,"g_target=1, batch=8, gang=0"
2026-01-25 13:08:24,enqueue,job-1fa41321,6,"g_target=4, batch=64, gang=1"
2026-01-25 13:08:45,enqueue,job-5e0e3dd0,7,"g_target=1, batch=64, gang=0"
2026-01-25 13:11:38,enqueue,job-73d35eb4,8,"g_target=1, batch=16, gang=0"
2026-01-25 13:14:00,enqueue,job-8148ebf3,9,"g_target=4, batch=64, gang=1"
2026-01-25 13:19:48,dequeue_start,job-1061aec0,5,"g=1, cluster=clusterB"
2026-01-25 13:19:48,dequeue_start,job-912c13c8,5,"g=1, cluster=clusterB"
2026-01-25 13:19:48,dequeue_start,job-eb5719f1,5,"g=1, cluster=clusterB"
2026-01-25 13:19:48,dequeue_start,job-8a887029,5,"g=1, cluster=clusterB"
2026-01-25 13:19:54,dequeue_start,job-c7944003,4,"g=1, cluster=clusterB"
2026-01-25 13:20:16,enqueue,job-2f155b75,5,"g_target=2, batch=64, gang=0"
2026-01-25 13:23:51,enqueue,job-53353e1b,6,"g_target=2, batch=64, gang=0"
2026-01-25 13:24:52,enqueue,job-91d4863f,7,"g_target=1, batch=32, gang=0"
2026-01-25 13:25:29,enqueue,job-4b242e4f,8,"g_target=1, batch=16, gang=0"
2026-01-25 13:38:22,enqueue,job-eb62e079,9,"g_target=1, batch=8, gang=0"
2026-01-25 13:39:22,enqueue,job-c124b89a,10,"g_target=1, batch=32, gang=0"
2026-01-25 13:40:08,enqueue,job-e4c3d55a,11,"g_target=1, batch=32, gang=0"
2026-01-25 13:45:18,enqueue,job-b356aa88,12,"g_target=4, batch=64, gang=1"
2026-01-25 13:49:07,enqueue,job-ddea7609,13,"g_target=1, batch=128, gang=0"
2026-01-25 13:49:45,enqueue,job-9a0e158e,14,"g_target=1, batch=16, gang=0"
2026-01-25 13:52:37,enqueue,job-32ed076e,15,"g_target=4, batch=64, gang=1"
2026-01-25 13:53:20,enqueue,job-f7a4346c,16,"g_target=2, batch=128, gang=0"
2026-01-25 14:01:24,enqueue,job-375ead78,17,"g_target=1, batch=32, gang=0"
2026-01-25 14:02:52,enqueue,job-bf60c1dc,18,"g_target=1, batch=64, gang=0"
2026-01-25 14:16:49,enqueue,job-4b27cb3a,19,"g_target=2, batch=32, gang=0"
2026-01-25 14:21:08,dequeue_start,job-5e0e3dd0,16,"g=1, cluster=clusterB"
2026-01-25 14:21:08,dequeue_start,job-73d35eb4,16,"g=1, cluster=clusterB"
2026-01-25 14:21:08,dequeue_start,job-1fa41321,16,"g=4, cluster=clusterA"
2026-01-25 14:24:45,enqueue,job-9c1cc127,17,"g_target=1, batch=64, gang=0"
2026-01-25 14:35:09,enqueue,job-e3182957,18,"g_target=1, batch=64, gang=0"
2026-01-25 14:39:21,enqueue,job-4f440e99,19,"g_target=1, batch=32, gang=0"
2026-01-25 14:43:58,enqueue,job-5965e5c4,20,"g_target=1, batch=32, gang=0"
2026-01-25 14:54:38,enqueue,job-8d567ca7,21,"g_target=4, batch=64, gang=1"
2026-01-25 14:55:50,dequeue_start,job-2f155b75,18,"g=1, cluster=clusterB"
2026-01-25 14:55:50,dequeue_start,job-8148ebf3,18,"g=4, cluster=clusterA"
2026-01-25 14:55:50,dequeue_start,job-53353e1b,18,"g=1, cluster=clusterB"
2026-01-25 14:56:55,enqueue,job-f461aab0,19,"g_target=1, batch=16, gang=0"
2026-01-25 14:57:09,dequeue_start,job-91d4863f,18,"g=1, cluster=clusterB"
2026-01-25 14:58:06,enqueue,job-0704a650,19,"g_target=1, batch=32, gang=0"
2026-01-25 14:59:32,enqueue,job-ddfcd00c,20,"g_target=1, batch=64, gang=0"
2026-01-25 15:02:19,enqueue,job-3d6d1fcf,21,"g_target=1, batch=128, gang=0"
2026-01-25 15:03:03,enqueue,job-1a2ca054,22,"g_target=1, batch=32, gang=0"
2026-01-25 15:03:58,enqueue,job-59ab1c2e,23,"g_target=4, batch=64, gang=1"
2026-01-25 15:06:32,enqueue,job-805bafa8,24,"g_target=1, batch=64, gang=0"
2026-01-25 15:30:22,dequeue_start,job-e4c3d55a,20,"g=1, cluster=clusterA"
2026-01-25 15:30:22,dequeue_start,job-4b242e4f,20,"g=1, cluster=clusterA"
2026-01-25 15:30:22,dequeue_start,job-eb62e079,20,"g=1, cluster=clusterA"
2026-01-25 15:30:22,dequeue_start,job-c124b89a,20,"g=1, cluster=clusterA"
2026-01-25 16:21:46,dequeue_start,job-ddea7609,17,"g=1, cluster=clusterA"
2026-01-25 16:21:46,dequeue_start,job-9a0e158e,17,"g=1, cluster=clusterA"
2026-01-25 16:21:46,dequeue_start,job-b356aa88,17,"g=4, cluster=clusterB"
2026-01-25 16:36:13,dequeue_start,job-32ed076e,16,"g=4, cluster=clusterA"
2026-01-25 17:05:28,dequeue_start,job-375ead78,12,"g=1, cluster=clusterB"
2026-01-25 17:05:28,dequeue_start,job-4b27cb3a,12,"g=1, cluster=clusterB"
2026-01-25 17:05:28,dequeue_start,job-f7a4346c,12,"g=1, cluster=clusterB"
2026-01-25 17:05:28,dequeue_start,job-bf60c1dc,12,"g=1, cluster=clusterB"
2026-01-25 17:10:37,dequeue_start,job-e3182957,9,"g=1, cluster=clusterA"
2026-01-25 17:10:37,dequeue_start,job-9c1cc127,9,"g=2, cluster=clusterA"
2026-01-25 17:10:37,dequeue_start,job-4f440e99,9,"g=1, cluster=clusterA"
2026-01-25 17:10:43,dequeue_start,job-5965e5c4,8,"g=1, cluster=clusterA"
2026-01-25 17:51:49,dequeue_start,job-f461aab0,5,"g=1, cluster=clusterB"
2026-01-25 17:51:49,dequeue_start,job-8d567ca7,5,"g=4, cluster=clusterA"
2026-01-25 17:51:49,dequeue_start,job-0704a650,5,"g=1, cluster=clusterB"
2026-01-25 18:02:11,dequeue_start,job-ddfcd00c,4,"g=1, cluster=clusterB"
2026-01-25 18:04:49,dequeue_start,job-3d6d1fcf,3,"g=1, cluster=clusterB"
2026-01-25 18:23:07,dequeue_start,job-1a2ca054,2,"g=1, cluster=clusterB"
2026-01-25 18:26:56,dequeue_start,job-59ab1c2e,0,"g=4, cluster=clusterA"
2026-01-25 18:26:56,dequeue_start,job-805bafa8,0,"g=1, cluster=clusterB"
