epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,61.01388907432556,5.855833053588867,67.1004798412323,0.0,89.876992,1207.66464,0.0,49.0,0.5407677539875002,12.94,37.18,0.10155187547206879,,1.0,32,4,0.001,,4.097236875,3.698036328125,4.097236875,3.698036328125
2,0,62.491862058639526,6.083743572235107,68.72707486152649,11.2,943.98976,2342.412288,0.0,49.0,5.679754194515092,19.79,48.13,0.17773042619228363,,1.0,32,4,0.001,,3.6976103125,3.309442578125,3.6976103125,3.309442578125
3,0,62.60760045051575,5.842757225036621,68.6716833114624,12.2,848.50688,2343.44448,0.0,52.0,5.105257191301433,26.98,57.57,0.24725733697414398,,1.0,32,4,0.001,,3.375244375,2.9177294921875,3.375244375,2.9177294921875
4,0,62.361440896987915,6.054515600204468,68.67276763916016,12.4,296.04352,2347.892736,0.0,47.0,1.7812210425661952,33.88,64.79,0.32270124554634094,,1.0,32,4,0.001,,3.085225,2.606571484375,3.085225,2.606571484375
5,0,62.417038917541504,5.946139335632324,68.49946999549866,12.2,930.926592,2343.899136,0.0,50.0,5.60115632578222,39.56,71.57,0.3801993131637573,,1.0,32,4,0.001,,2.83549125,2.3144626953125,2.83549125,2.3144626953125
6,0,63.06500959396362,5.833497762680054,69.06309127807617,12.1,296.04352,2353.266688,0.0,49.0,1.7812210425661952,44.17,75.88,0.4275050461292267,,1.0,32,4,0.001,,2.6294346875,2.1051171875,2.6294346875,2.1051171875
7,0,63.18351650238037,6.014358282089233,69.35980677604675,12.0,656.569344,2344.87808,0.0,52.0,3.9504162477080493,46.61,77.2,0.45176026225090027,,1.0,32,4,0.001,,2.450654375,2.0014171875,2.450654375,2.0014171875
8,0,64.44301223754883,6.0036234855651855,70.61096525192261,12.3,914.845184,2345.472,0.0,53.0,5.504398449360226,49.99,79.29,0.489535927772522,,1.0,32,4,0.001,,2.32204625,1.868864453125,2.32204625,1.868864453125
9,0,64.17310333251953,5.936082124710083,70.27026391029358,15.9,939.45088,2345.385984,0.0,53.0,5.6524448699749605,53.0,82.54,0.5233855247497559,,1.0,32,4,0.001,,2.2035165625,1.7047517578125,2.2035165625,1.7047517578125
10,0,65.00492978096008,6.314539670944214,71.47159695625305,15.7,940.634112,2345.418752,0.0,53.0,5.659564085881587,54.88,83.01,0.5412324070930481,,1.0,32,4,0.001,,2.09340890625,1.650008984375,2.09340890625,1.650008984375
11,0,61.85972738265991,6.213583707809448,68.22911190986633,17.6,266.41408,2345.259008,0.0,52.0,1.6029479899844243,56.98,84.55,0.564111053943634,,1.0,32,4,0.001,,2.0161603125,1.56258505859375,2.0161603125,1.56258505859375
12,0,64.59082055091858,6.153105974197388,70.89353132247925,15.7,949.150208,2345.975808,0.0,52.0,5.710803340825299,57.66,85.09,0.5702865123748779,,1.0,32,4,0.001,,1.93285984375,1.53161171875,1.93285984375,1.53161171875
13,0,64.05833721160889,6.0690202713012695,70.27479720115662,15.8,296.04352,2345.353216,0.0,53.0,1.7812210425661952,59.1,85.8,0.586729884147644,,1.0,32,4,0.001,,1.8507396875,1.482614453125,1.8507396875,1.482614453125
14,0,62.52538990974426,6.090886116027832,68.78640127182007,18.0,266.41408,2345.201664,0.0,55.0,1.6029479899844243,60.62,86.48,0.6042127013206482,,1.0,32,4,0.001,,1.79530078125,1.443330859375,1.79530078125,1.443330859375
15,0,64.82812094688416,6.1297829151153564,71.11728167533875,15.7,247.903744,2344.935424,0.0,54.0,1.4915758512253305,61.12,86.92,0.6068166494369507,,1.0,32,4,0.001,,1.74250890625,1.43451181640625,1.74250890625,1.43451181640625
16,0,64.3141016960144,6.36121678352356,70.89343023300171,15.4,296.04352,2352.943104,0.0,53.0,1.7812210425661952,61.8,87.6,0.6159362196922302,,1.0,32,4,0.001,,1.69171171875,1.3909134765625,1.69171171875,1.3909134765625
17,0,63.65243053436279,6.021352052688599,69.81983304023743,15.5,892.36224,2345.189376,0.0,53.0,5.36912410540013,61.37,86.94,0.6096857190132141,,1.0,32,4,0.001,,1.64162375,1.41278330078125,1.64162375,1.41278330078125
18,0,63.408130407333374,6.201310157775879,69.74162030220032,15.7,296.043008,2345.406464,0.0,54.0,1.781217961988131,63.36,87.95,0.6309745907783508,,1.0,32,4,0.001,,1.589963125,1.34306728515625,1.589963125,1.34306728515625
19,0,64.99839067459106,6.1729395389556885,71.31259751319885,21.4,296.04352,2347.429888,0.0,53.0,1.7812210425661952,64.13,88.28,0.6376968026161194,,1.0,32,4,0.001,,1.54028484375,1.3314130859375,1.54028484375,1.3314130859375
20,0,64.63939380645752,6.058782339096069,70.86290287971497,21.9,295.559168,2361.913344,0.0,53.0,1.7783068157173554,64.63,89.03,0.6468499898910522,,1.0,32,4,0.001,,1.52041453125,1.295548828125,1.52041453125,1.295548828125
