epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,114.23593592643738,4.932929992675781,119.5534827709198,0.0,164.337152,1182.871552,0.0,42.0,0.9887762218804833,98.38,99.96,0.9836243391036987,,0.5,64,4,0.001,,0.4429389973958333,0.0557994384765625,0.439739453125,0.06001429443359375
2,1,120.45374870300293,5.17244553565979,125.77098608016968,13.3,10226.126336,2696.720384,0.0,41.0,61.52808686244355,98.7,99.99,0.9868820905685425,,0.5,64,4,0.001,,0.06538092447916667,0.0475016357421875,0.064021875,0.050962075805664066
3,1,120.19796633720398,5.1856689453125,125.4831109046936,13.2,507.787264,2697.777152,0.0,40.0,3.055231067999448,98.47,99.98,0.9844346046447754,,0.5,64,4,0.001,,0.05045449625651042,0.057300634765625,0.051043701171875,0.0632007080078125
4,1,120.86914491653442,4.93836784362793,125.93065857887268,12.6,507.787264,2698.91584,0.0,41.0,3.055231067999448,99.43,100.0,0.9942817091941833,,0.5,64,4,0.001,,0.04080390218098958,0.01871207275390625,0.04271279296875,0.01776349639892578
5,1,120.4949414730072,4.952022314071655,125.77767777442932,12.8,4737.564672,2697.97376,0.0,41.0,28.504761341456202,99.36,99.99,0.9936210513114929,,0.5,64,4,0.001,,0.033924544270833336,0.02186202392578125,0.03490187174479167,0.0239580810546875
6,1,122.40801668167114,4.849296569824219,127.77604794502258,11.9,3133.134336,2697.908224,0.0,41.0,18.85129864848879,99.12,100.0,0.9911563396453857,,0.5,64,4,0.001,,0.03370541178385417,0.02789573974609375,0.03585172119140625,0.02875992431640625
7,1,120.39810848236084,5.028106927871704,125.65685033798218,12.4,507.786752,2699.214848,0.0,40.0,3.0552279874213832,99.12,99.99,0.9912431836128235,,0.5,64,4,0.001,,0.030403594970703125,0.027177362060546877,0.032018963623046875,0.02919999084472656
8,1,120.15242886543274,5.161701202392578,125.42059803009033,13.0,5593.030144,2699.493376,0.0,40.0,33.65188666922971,98.99,99.99,0.989688515663147,,0.5,64,4,0.001,,0.03233651529947917,0.03236544189453125,0.032591255696614585,0.02544051055908203
9,1,119.8170120716095,4.982177257537842,125.07866287231445,13.4,5656.515584,2698.944512,0.0,41.0,34.033862946314144,99.45,100.0,0.9944924116134644,,0.5,64,4,0.001,,0.027196234130859375,0.018655050659179686,0.026199078369140625,0.018005926513671874
10,1,120.59466075897217,5.22498631477356,125.91796684265137,13.0,427.601408,2699.210752,0.0,41.0,2.5727724956132567,99.16,99.97,0.9915956854820251,,0.5,64,4,0.001,,0.02549508463541667,0.02827879638671875,0.025116385904947917,0.024269963073730468
11,1,119.86608934402466,5.0396409034729,125.11339735984802,13.2,507.787264,2698.842112,0.0,41.0,3.055231067999448,99.2,99.98,0.9921690821647644,,0.5,64,4,0.001,,0.025024405924479166,0.028334896850585937,0.024205607096354168,0.02845169677734375
12,1,117.51245260238647,5.023629426956177,122.64100670814514,12.9,507.787264,2699.206656,0.0,41.0,3.055231067999448,99.09,100.0,0.9908930659294128,,0.5,64,4,0.001,,0.021604585774739584,0.029646337890625,0.022415093994140625,0.027299969482421874
13,1,121.01471853256226,5.084569692611694,126.3213860988617,13.2,507.786752,2698.960896,0.0,41.0,3.0552279874213832,99.47,100.0,0.9947333335876465,,0.5,64,4,0.001,,0.021758748372395834,0.020130484008789064,0.022735786946614583,0.01948944091796875
14,1,120.66854953765869,5.065264940261841,126.20455741882324,12.3,9429.117952,2698.993664,0.0,41.0,56.73268345458489,99.44,100.0,0.9943091869354248,,0.5,64,4,0.001,,0.020746297200520833,0.019396978759765624,0.02141508585611979,0.02002708282470703
15,1,121.02807450294495,5.299240589141846,126.58701014518738,12.3,507.787264,2698.932224,0.0,41.0,3.055231067999448,99.26,100.0,0.9925647974014282,,0.5,64,4,0.001,,0.02229397989908854,0.02412453918457031,0.023182843017578125,0.0213284423828125
16,1,119.10051321983337,5.1452860832214355,124.38391137123108,12.9,507.787264,2698.973184,0.0,41.0,3.055231067999448,99.07,100.0,0.9907106757164001,,0.5,64,4,0.001,,0.021036553955078124,0.03354465026855469,0.02089534912109375,0.03372621154785156
17,1,120.49708795547485,5.030580520629883,125.67093300819397,12.9,427.601408,2699.255808,0.0,41.0,2.5727724956132567,99.33,100.0,0.9932683110237122,,0.5,64,4,0.001,,0.019603240966796876,0.02496001434326172,0.018481252034505208,0.02336307678222656
18,1,116.3071506023407,5.137298822402954,121.68750047683716,13.4,8060.744704,2699.231232,0.0,42.0,48.49951819759074,99.5,100.0,0.9949927926063538,,0.5,64,4,0.001,,0.015050279744466146,0.015569338989257813,0.01426314188639323,0.015116954040527344
19,1,120.67048192024231,5.021269798278809,125.85835289955139,12.5,507.787264,2698.850304,0.0,41.0,3.055231067999448,99.29,100.0,0.992800235748291,,0.5,64,4,0.001,,0.014152303059895833,0.02699510192871094,0.014073140462239583,0.029725491333007812
20,1,115.65196299552917,4.897555112838745,120.88586091995239,12.7,463.286784,2699.227136,0.0,42.0,2.787482625539717,99.51,100.0,0.9951454401016235,,0.5,64,4,0.001,,0.015835958862304687,0.017010203552246094,0.017522517903645833,0.01655386199951172
