epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,119.42201638221741,10.727433681488037,130.3138871192932,0.0,188.73344,1365.827584,76.0,55.0,0.7422966435030055,38.02,89.01,0.35180214047431946,,1.0,128,4,0.001,,1.89236484375,2.01565546875,1.89236484375,2.01565546875
2,0,118.57931661605835,10.804219722747803,129.46483206748962,55.9,660.269568,3143.909376,78.0,69.0,2.5968682822375277,55.0,94.34,0.5326711535453796,,1.0,128,4,0.001,,1.5765109375,1.26647109375,1.5765109375,1.26647109375
3,0,119.14560413360596,11.030908107757568,130.26451420783997,56.1,658.958848,3137.421312,77.0,69.0,2.5917131647524,52.91,93.24,0.5182901620864868,,1.0,128,4,0.001,,1.37590125,1.50102763671875,1.37590125,1.50102763671875
4,0,119.05502510070801,10.745808601379395,129.91725087165833,53.8,552.852992,3156.52096,78.0,69.0,2.1743943220247237,65.55,97.54,0.6552882790565491,,1.0,128,4,0.001,,1.231465234375,0.96428955078125,1.231465234375,0.96428955078125
5,0,119.06333065032959,10.889201164245605,130.33187675476074,56.0,660.269568,3137.29024,78.0,69.0,2.5968682822375277,66.42,97.38,0.6551509499549866,,1.0,128,4,0.001,,1.15427390625,0.98617080078125,1.15427390625,0.98617080078125
6,0,119.15736317634583,11.105913400650024,130.35258746147156,55.5,630.711296,3157.372928,79.0,66.0,2.4806143417945994,69.03,97.36,0.6874021291732788,,1.0,128,4,0.001,,1.06840609375,0.931604296875,1.06840609375,0.931604296875
7,0,119.1383957862854,11.073073148727417,130.29228115081787,56.0,659.024384,3157.27872,79.0,68.0,2.5919709206266566,72.93,98.46,0.7302715182304382,,1.0,128,4,0.001,,1.007329609375,0.768289599609375,1.007329609375,0.768289599609375
8,0,118.95298671722412,11.056445360183716,130.26227736473083,56.1,660.269568,3157.413888,78.0,68.0,2.5968682822375277,77.31,98.78,0.7699629664421082,,1.0,128,4,0.001,,0.96010171875,0.653490771484375,0.96010171875,0.653490771484375
9,0,118.81876611709595,11.022453546524048,130.19553804397583,56.1,658.958848,3141.55008,76.0,68.0,2.5917131647524,77.18,98.83,0.7688502073287964,,1.0,128,4,0.001,,0.93111359375,0.647682470703125,0.93111359375,0.647682470703125
10,0,119.42082381248474,10.722150087356567,130.2246458530426,56.1,659.024384,3158.028288,78.0,69.0,2.5919709206266566,77.78,98.79,0.7772710919380188,,1.0,128,4,0.001,,0.885642109375,0.644277294921875,0.885642109375,0.644277294921875
11,0,119.48608183860779,11.249849557876587,130.82152271270752,56.2,660.269568,3158.048768,78.0,69.0,2.5968682822375277,80.12,98.87,0.7975570559501648,,1.0,128,4,0.001,,0.863781015625,0.581223291015625,0.863781015625,0.581223291015625
12,0,119.91686296463013,10.95191478729248,130.96106433868408,55.7,658.958848,3158.061056,77.0,69.0,2.5917131647524,80.72,99.1,0.8084760308265686,,1.0,128,4,0.001,,0.818911328125,0.565058544921875,0.818911328125,0.565058544921875
13,0,119.267080783844,11.177958726882935,130.52869844436646,56.5,560.92416,3158.065152,79.0,69.0,2.206138568913611,80.87,98.98,0.8079290986061096,,1.0,128,4,0.001,,0.800145625,0.568455859375,0.800145625,0.568455859375
14,0,119.86302280426025,10.972661972045898,130.9280080795288,55.6,660.269568,3158.07744,78.0,68.0,2.5968682822375277,82.22,98.9,0.8198239803314209,,1.0,128,4,0.001,,0.774940703125,0.536777978515625,0.774940703125,0.536777978515625
15,0,119.32300162315369,10.994828939437866,130.39888787269592,56.2,658.958848,3158.175744,81.0,69.0,2.5917131647524,83.68,99.24,0.8376028537750244,,1.0,128,4,0.001,,0.754806484375,0.475140478515625,0.754806484375,0.475140478515625
16,0,119.5849666595459,11.090881109237671,130.7578043937683,56.4,659.024384,3158.315008,77.0,69.0,2.5919709206266566,82.63,99.28,0.824603796005249,,1.0,128,4,0.001,,0.741442421875,0.504469921875,0.741442421875,0.504469921875
17,0,119.457200050354,11.03429889678955,130.57342338562012,55.5,660.269568,3158.315008,78.0,69.0,2.5968682822375277,82.42,99.1,0.8252779841423035,,1.0,128,4,0.001,,0.720136953125,0.556398779296875,0.720136953125,0.556398779296875
18,0,119.55029439926147,10.886166095733643,130.51722025871277,56.6,658.958848,3158.347776,78.0,68.0,2.5917131647524,84.68,99.38,0.8459808230400085,,1.0,128,4,0.001,,0.69595296875,0.472018359375,0.69595296875,0.472018359375
19,0,118.87146282196045,11.253177165985107,130.20530104637146,56.4,659.024384,3197.2352,79.0,69.0,2.5919709206266566,81.78,99.24,0.8181037902832031,,1.0,128,4,0.001,,0.68305421875,0.5376970703125,0.68305421875,0.5376970703125
20,0,117.99405765533447,11.076112270355225,129.152517080307,55.7,660.269568,3158.392832,76.0,69.0,2.5968682822375277,85.73,99.41,0.8573955297470093,,1.0,128,4,0.001,,0.65756765625,0.4254474609375,0.65756765625,0.4254474609375
