epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,404.0610764026642,0.5966815948486328,404.97185707092285,0.0,537.39264,1252.790272,78.0,36.0,2.1135881003134314,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6884430819314318,0.6963389685394568,0.6884430819314318,0.6963389685394568
2,0,394.6495940685272,0.6628444194793701,395.4198350906372,59.1,1091.385344,1999.60576,76.0,59.0,4.292464958088895,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6867812625280256,0.6961141463813432,0.6867812625280256,0.6961141463813432
3,0,340.2893011569977,0.6560876369476318,341.02786350250244,58.4,1092.92544,2004.205568,76.0,59.0,4.29852222113392,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.686846512661658,0.697233637538525,0.686846512661658,0.697233637538525
4,0,341.07146286964417,0.6627624034881592,341.8246738910675,59.3,1091.388416,2011.897856,78.0,59.0,4.292477040395501,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6868104945878929,0.6985062765418937,0.6868104945878929,0.6985062765418937
5,0,335.8770401477814,0.7776029109954834,336.7514078617096,58.0,1360.366592,2023.968768,77.0,56.0,5.350379642183296,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6868114805899123,0.6956218754479645,0.6868114805899123,0.6956218754479645
6,0,383.30402731895447,0.6532464027404785,384.0396535396576,55.1,1338.202624,2011.246592,77.0,58.0,5.2632078137404505,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6866861423332195,0.6979589199801104,0.6866861423332195,0.6979589199801104
7,0,404.59595131874084,0.5811152458190918,405.2566092014313,55.1,1363.319296,2004.168704,80.0,56.0,5.361992752549206,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6866454262498329,0.6972649950499928,0.6866454262498329,0.6972649950499928
8,0,402.8034167289734,0.6328411102294922,403.52243518829346,55.1,1365.005312,2013.212672,78.0,57.0,5.368623925158005,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6866602742802417,0.6963964339789994,0.6866602742802417,0.6963964339789994
9,0,402.25441002845764,0.6139712333679199,402.95707416534424,54.5,1239.791104,2022.129664,79.0,57.0,4.8761511216246864,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865508280560959,0.698026814591994,0.6865508280560959,0.698026814591994
10,0,378.5759618282318,0.6032710075378418,379.28352427482605,54.6,1293.021696,2000.785408,79.0,58.0,5.085509303053892,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865313980163031,0.6984698094359232,0.6865313980163031,0.6984698094359232
11,0,380.8874318599701,0.5754654407501221,381.5457880496979,54.6,1364.79232,2005.561344,78.0,57.0,5.367786218566672,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865214219958723,0.6984665196969968,0.6865214219958723,0.6984665196969968
12,0,379.18008732795715,0.6169290542602539,379.87539649009705,54.3,1363.318272,2003.21024,77.0,57.0,5.361988725113671,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865066319655823,0.697213619127186,0.6865066319655823,0.697213619127186
13,0,366.0529091358185,0.5967164039611816,366.73905301094055,54.6,1091.392512,2026.717184,79.0,59.0,4.292493150137641,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865250180032368,0.6991683539994266,0.6865250180032368,0.6991683539994266
14,0,300.13301706314087,0.6036069393157959,300.82483315467834,54.2,1364.556288,2012.913664,79.0,59.0,5.366857894675795,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865432300405351,0.6973999443404172,0.6865432300405351,0.6973999443404172
15,0,298.87630319595337,0.5736191272735596,299.5652906894684,54.5,1091.38432,2014.154752,77.0,59.0,4.292460930653359,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865119099763917,0.697843989101025,0.6865119099763917,0.697843989101025
16,0,284.38369965553284,0.5675361156463623,285.0409746170044,51.8,1091.38432,2021.146624,78.0,62.0,4.292460930653359,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865376040290131,0.6986506750824255,0.6865376040290131,0.6986506750824255
17,0,224.8240213394165,0.5533654689788818,225.46042203903198,52.0,1364.189696,2024.30464,80.0,64.0,5.365416072754173,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864721798950244,0.6972779440223624,0.6864721798950244,0.6972779440223624
18,0,225.50211310386658,0.5614361763000488,226.1394145488739,51.9,1366.78912,2012.50816,80.0,65.0,5.37563971786042,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864994979509718,0.6997495178782612,0.6864994979509718,0.6997495178782612
19,0,225.3554129600525,0.5501923561096191,225.98691415786743,51.1,1272.587776,2007.134208,80.0,64.0,5.005141826947862,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865278600090573,0.6981838821271144,0.6865278600090573,0.6981838821271144
20,0,222.90029668807983,0.5510883331298828,223.53627061843872,50.8,1361.004032,2007.076864,80.0,60.0,5.352886720803992,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864666118836211,0.6990937399207999,0.6864666118836211,0.6990937399207999
