epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,1,127.16323852539062,3.4811267852783203,132.36779594421387,53.6,2042.040832,2080.239616,77.0,59.0,8.031433409414275,10.38,28.86,0.0780319944024086,,0.25,64,4,0.001,,4.63761125,4.217055078125,4.6385278125,4.17770625
2,1,125.34021973609924,2.7946557998657227,129.77987575531006,53.8,189.930496,2410.938368,75.0,61.0,0.7470047156437196,19.45,43.46,0.1720380187034607,,0.25,64,4,0.001,,4.0589684375,3.629681640625,4.07654,3.628122265625
3,1,124.5574471950531,7.63110089302063,132.33522772789001,54.1,7579.626496,2411.175936,77.0,61.0,29.810993255817554,24.45,50.78,0.21601466834545135,,0.25,64,4,0.001,,3.687928125,3.304028515625,3.6782571875,3.289383203125
4,1,126.79648923873901,2.911193370819092,131.1866958141327,53.7,228.466688,2412.949504,75.0,60.0,0.898569197142003,29.05,55.93,0.26849091053009033,,0.25,64,4,0.001,,3.4076153125,3.079600390625,3.4084646875,3.02999296875
5,1,128.24051141738892,2.8336873054504395,132.4555892944336,54.1,242.432512,2411.773952,75.0,61.0,0.9534973766895898,33.62,61.77,0.3249640166759491,,0.25,64,4,0.001,,3.20652625,2.8113517578125,3.1926384375,2.785235546875
6,1,126.46653127670288,2.7998623847961426,130.85534286499023,53.7,242.432512,2413.387776,76.0,62.0,0.9534973766895898,37.97,65.62,0.36706387996673584,,0.25,64,4,0.001,,3.0279834375,2.61006953125,3.0335353125,2.5681716796875
7,1,127.94881272315979,2.9688596725463867,132.28734922409058,54.4,242.432512,2412.085248,79.0,61.0,0.9534973766895898,37.71,65.7,0.37024936079978943,,0.25,64,4,0.001,,2.8895828125,2.6202359375,2.886293125,2.606465625
8,1,126.21131372451782,2.7885985374450684,130.4641706943512,53.9,242.432,2413.6704,78.0,63.0,0.9534953629718221,39.98,66.44,0.391787588596344,,0.25,64,4,0.001,,2.776491875,2.592362109375,2.790036875,2.54887421875
9,1,127.66526556015015,2.949873924255371,132.30197596549988,54.5,242.432512,2412.363776,75.0,61.0,0.9534973766895898,43.82,71.64,0.43065476417541504,,0.25,64,4,0.001,,2.672745,2.3195734375,2.671495,2.3070154296875
10,1,126.70100164413452,2.8051514625549316,131.15160942077637,53.8,228.466688,2413.58848,76.0,61.0,0.898569197142003,45.65,72.29,0.45381098985671997,,0.25,64,4,0.001,,2.5787190625,2.246983203125,2.56973453125,2.1986962890625
11,1,126.96439099311829,2.8925251960754395,131.28443503379822,54.3,242.432512,2412.634112,75.0,61.0,0.9534973766895898,47.54,74.1,0.4675585925579071,,0.25,64,4,0.001,,2.49248078125,2.1780619140625,2.50282296875,2.1631140625
12,1,127.39529728889465,2.866872787475586,132.1683304309845,53.7,189.930496,2413.625344,76.0,60.0,0.7470047156437196,47.25,73.78,0.4676344096660614,,0.25,64,4,0.001,,2.414358125,2.203358203125,2.40524234375,2.168911328125
13,1,127.26540946960449,2.897829532623291,131.9221465587616,54.6,242.432512,2412.961792,75.0,61.0,0.9534973766895898,49.06,75.78,0.4876602292060852,,0.25,64,4,0.001,,2.34711234375,2.1047037109375,2.34837796875,2.09162265625
14,1,125.95180892944336,2.8729007244110107,130.41240429878235,53.8,189.930496,2413.596672,75.0,62.0,0.7470047156437196,49.98,75.66,0.4976496398448944,,0.25,64,4,0.001,,2.27462078125,2.073523046875,2.2900984375,2.0735052734375
15,1,125.37862133979797,2.8615918159484863,129.9103705883026,54.0,242.432512,2413.223936,77.0,61.0,0.9534973766895898,51.86,77.26,0.5151575803756714,,0.25,64,4,0.001,,2.22229875,1.997681640625,2.23029671875,1.9822537109375
16,1,127.16992831230164,2.9645135402679443,131.7730541229248,54.5,242.432512,2413.748224,75.0,61.0,0.9534973766895898,51.98,77.24,0.5178998708724976,,0.25,64,4,0.001,,2.1494996875,2.0029060546875,2.16005140625,1.97954375
17,1,126.9097363948822,2.77580189704895,131.27610301971436,54.1,242.432512,2413.48608,78.0,61.0,0.9534973766895898,52.47,78.24,0.5236678123474121,,0.25,64,4,0.001,,2.104219375,1.941428125,2.08588828125,1.9215857421875
18,1,127.21467638015747,2.8992321491241455,131.6981737613678,54.3,242.432,2413.666304,75.0,62.0,0.9534953629718221,51.12,77.39,0.5087656378746033,,0.25,64,4,0.001,,2.04194515625,2.0297080078125,2.046473125,2.0123330078125
19,1,127.49861669540405,2.7798569202423096,131.74680280685425,54.2,2429.577728,2413.748224,79.0,62.0,9.555632497473994,54.07,78.75,0.5404535531997681,,0.25,64,4,0.001,,1.9944,1.902908203125,1.9740821875,1.8791244140625
20,1,127.45784306526184,2.9285264015197754,132.09616041183472,54.5,242.432512,2413.75232,77.0,61.0,0.9534973766895898,54.43,79.14,0.54079270362854,,0.25,64,4,0.001,,1.9561284375,1.885358203125,1.9598846875,1.87140234375
