epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,58.76697087287903,9.023279190063477,68.33590793609619,55.1,1533.975552,2268.782592,78.0,61.0,6.033191062830573,12.58,36.08,0.09607971459627151,,1.0,64,4,0.001,,4.0528625,3.72248203125,4.0528625,3.72248203125
2,0,55.98334240913391,8.395802736282349,64.54943799972534,54.9,265.849344,2456.84224,81.0,57.0,1.0455967725098205,18.97,46.29,0.16738705337047577,,1.0,64,4,0.001,,3.69296375,3.37526875,3.69296375,3.37526875
3,0,56.377323150634766,8.970662593841553,65.55303382873535,59.2,1053.50912,2484.948992,79.0,64.0,4.143496158793084,26.6,57.04,0.23879778385162354,,1.0,64,4,0.001,,3.3734303125,2.937368359375,3.3734303125,2.937368359375
4,0,56.423624992370605,9.281192779541016,65.92357468605042,58.7,1607.059968,2489.339904,78.0,64.0,6.320635178135086,35.13,66.74,0.32847386598587036,,1.0,64,4,0.001,,3.0436671875,2.5105458984375,3.0436671875,2.5105458984375
5,0,56.80494809150696,9.731743574142456,66.8190267086029,59.4,287.709696,2460.647424,76.0,64.0,1.1315744663164624,39.83,72.3,0.3785780072212219,,1.0,64,4,0.001,,2.7743278125,2.261078515625,2.7743278125,2.261078515625
6,0,56.481916189193726,8.911385536193848,65.5693109035492,59.3,335.07584,2461.392896,79.0,63.0,1.3178675244352571,42.99,73.85,0.4187888503074646,,1.0,64,4,0.001,,2.5645403125,2.18292421875,2.5645403125,2.18292421875
7,0,56.46113300323486,10.02281379699707,66.71777963638306,59.1,335.07584,2461.650944,77.0,64.0,1.3178675244352571,47.5,77.7,0.45799702405929565,,1.0,64,4,0.001,,2.3937459375,1.9687818359375,2.3937459375,1.9687818359375
8,0,56.51897716522217,8.988321781158447,65.67662739753723,58.5,335.07584,2461.749248,78.0,63.0,1.3178675244352571,48.23,78.91,0.47565317153930664,,1.0,64,4,0.001,,2.26594265625,1.9306888671875,2.26594265625,1.9306888671875
9,0,56.74718999862671,9.528833866119385,66.43267703056335,59.6,335.07584,2461.77792,78.0,64.0,1.3178675244352571,52.65,81.9,0.5239449143409729,,1.0,64,4,0.001,,2.13994296875,1.729786328125,2.13994296875,1.729786328125
10,0,56.82139444351196,8.692130327224731,65.68244338035583,59.9,335.07584,2466.013184,80.0,64.0,1.3178675244352571,55.32,83.51,0.5406032204627991,,1.0,64,4,0.001,,2.024210625,1.63344189453125,2.024210625,1.63344189453125
11,0,56.743168115615845,9.028095722198486,65.93042612075806,59.1,1717.127168,2496.229376,78.0,64.0,6.753534155230898,57.55,85.07,0.5736752152442932,,1.0,64,4,0.001,,1.94638671875,1.537517578125,1.94638671875,1.537517578125
12,0,57.12883424758911,9.669687986373901,66.99834609031677,59.3,335.07584,2456.150016,76.0,63.0,1.3178675244352571,57.45,85.02,0.5696833729743958,,1.0,64,4,0.001,,1.8660009375,1.54464111328125,1.8660009375,1.54464111328125
13,0,56.44902539253235,8.92259955406189,65.53052592277527,59.5,1058.40896,2452.590592,78.0,63.0,4.162767437829283,59.73,86.67,0.5938830375671387,,1.0,64,4,0.001,,1.79860828125,1.44047822265625,1.79860828125,1.44047822265625
14,0,56.50102758407593,9.819679975509644,66.47192120552063,59.3,1677.019136,2452.611072,77.0,64.0,6.595787560185997,61.66,87.63,0.6152750849723816,,1.0,64,4,0.001,,1.7293696875,1.3795720703125,1.7293696875,1.3795720703125
15,0,56.69202923774719,8.653434038162231,65.51850271224976,59.0,287.709696,2452.62336,81.0,63.0,1.1315744663164624,61.07,87.51,0.6058427691459656,,1.0,64,4,0.001,,1.6709921875,1.381237890625,1.6709921875,1.381237890625
16,0,57.00214338302612,10.128465175628662,67.29982447624207,59.2,341.482496,2452.676608,78.0,63.0,1.3430651748615854,62.05,88.32,0.6174620985984802,,1.0,64,4,0.001,,1.62257390625,1.352759765625,1.62257390625,1.352759765625
17,0,56.93113350868225,8.553827285766602,65.66483664512634,58.7,1688.421888,2483.01568,78.0,64.0,6.640635068588839,62.98,87.98,0.6267480254173279,,1.0,64,4,0.001,,1.55840734375,1.3323875,1.55840734375,1.3323875
18,0,56.51999568939209,9.175596475601196,65.86558604240417,59.6,335.07584,2452.852736,80.0,64.0,1.3178675244352571,63.51,88.76,0.6300861835479736,,1.0,64,4,0.001,,1.523139375,1.3477333984375,1.523139375,1.3477333984375
19,0,56.2017388343811,8.659607648849487,65.01487064361572,52.6,335.07584,2462.65856,76.0,63.0,1.3178675244352571,64.79,89.43,0.6437753438949585,,1.0,64,4,0.001,,1.482108125,1.2690810546875,1.482108125,1.2690810546875
20,0,57.05559492111206,8.457849740982056,66.68106746673584,55.2,335.07584,2462.674944,80.0,64.0,1.3178675244352571,64.33,88.5,0.6412215828895569,,1.0,64,4,0.001,,1.4379625,1.35671962890625,1.4379625,1.35671962890625
