epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,228.91504454612732,13.391743659973145,242.87941122055054,52.9,4181.525504,2326.462464,77.0,62.0,16.4461175843635,97.74,99.93,0.9771426320075989,,1.0,64,4,0.001,,0.38527522786458335,0.07901094360351563,0.38527522786458335,0.07901094360351563
2,0,228.29626035690308,13.303692817687988,241.78229355812073,53.0,513.19808,2441.695232,77.0,63.0,2.0184298672041736,99.1,100.0,0.9909399151802063,,1.0,64,4,0.001,,0.06618599446614583,0.029683203125,0.06618599446614583,0.029683203125
3,0,228.3772792816162,13.09640383720398,241.89829277992249,52.7,4708.813312,2443.73504,78.0,60.0,18.519962950815025,99.05,99.99,0.9904155135154724,,1.0,64,4,0.001,,0.05012953287760417,0.02995318908691406,0.05012953287760417,0.02995318908691406
4,0,228.60509777069092,12.947640180587769,241.84897708892822,52.9,8761.46944,2445.529088,77.0,63.0,34.45923180050212,99.21,100.0,0.9921360015869141,,1.0,64,4,0.001,,0.04711037190755208,0.02330991668701172,0.04711037190755208,0.02330991668701172
5,0,227.92735695838928,12.913078546524048,241.07491540908813,53.0,440.16896,2445.549568,77.0,62.0,1.731203233418565,99.15,100.0,0.9915043711662292,,1.0,64,4,0.001,,0.0398986083984375,0.029359719848632813,0.0398986083984375,0.029359719848632813
6,0,228.6655912399292,13.274887084960938,242.20707654953003,52.9,8899.656704,2445.570048,80.0,63.0,35.00272818483159,99.12,100.0,0.9911769032478333,,1.0,64,4,0.001,,0.03826239420572917,0.028689642333984376,0.03826239420572917,0.028689642333984376
7,0,229.65779781341553,13.314076662063599,243.19143676757812,52.6,513.19808,2461.364224,77.0,62.0,2.0184298672041736,99.25,99.99,0.9925272464752197,,1.0,64,4,0.001,,0.037607307942708335,0.02499468994140625,0.037607307942708335,0.02499468994140625
8,0,228.92409324645996,13.111389398574829,242.232492685318,52.9,433.012224,2445.307904,78.0,63.0,1.7030554864626617,99.19,100.0,0.9919751286506653,,1.0,64,4,0.001,,0.03294886474609375,0.02603913269042969,0.03294886474609375,0.02603913269042969
9,0,229.28534722328186,13.239953517913818,242.7327103614807,52.9,513.19808,2445.705216,76.0,62.0,2.0184298672041736,99.27,100.0,0.9925649166107178,,1.0,64,4,0.001,,0.029357855224609375,0.027603726196289063,0.029357855224609375,0.027603726196289063
10,0,231.69885730743408,13.201488494873047,245.18668508529663,52.9,457.490432,2447.44192,78.0,62.0,1.7993293192151851,99.29,100.0,0.9928891658782959,,1.0,64,4,0.001,,0.029839166259765626,0.02196566162109375,0.029839166259765626,0.02196566162109375
11,0,228.30035281181335,13.553150415420532,242.0862283706665,52.9,10291.846656,2445.9264,78.0,62.0,40.47827045486179,99.42,100.0,0.9941545724868774,,1.0,64,4,0.001,,0.0259811767578125,0.018231871032714845,0.0259811767578125,0.018231871032714845
12,0,223.82328939437866,12.945472955703735,236.9485960006714,52.5,9974.780416,2447.376384,77.0,63.0,39.231235452902844,99.35,99.99,0.9933919906616211,,1.0,64,4,0.001,,0.02327369588216146,0.020137649536132812,0.02327369588216146,0.020137649536132812
13,0,220.40399312973022,12.931567668914795,233.51722979545593,52.4,513.19808,2445.279232,76.0,63.0,2.0184298672041736,99.27,99.99,0.9926537871360779,,1.0,64,4,0.001,,0.02169329833984375,0.0226743896484375,0.02169329833984375,0.0226743896484375
14,0,221.407160282135,12.84926152229309,234.42406368255615,52.4,3497.670144,2445.88544,79.0,63.0,13.756485379442424,99.32,100.0,0.9931768178939819,,1.0,64,4,0.001,,0.019557952880859375,0.02207471160888672,0.019557952880859375,0.02207471160888672
15,0,220.43939328193665,12.981857061386108,233.59255504608154,52.7,513.19808,2447.36,75.0,63.0,2.0184298672041736,99.58,100.0,0.9957695007324219,,1.0,64,4,0.001,,0.01760665486653646,0.016495182800292968,0.01760665486653646,0.016495182800292968
16,0,239.8915150165558,13.972963333129883,254.07055974006653,55.6,9410.696192,2447.36,75.0,61.0,37.012668217927434,99.59,100.0,0.9958677291870117,,1.0,64,4,0.001,,0.01607931925455729,0.014166619873046874,0.01607931925455729,0.014166619873046874
17,0,244.1230263710022,13.277424097061157,257.5850706100464,55.1,4832.894976,2475.880448,80.0,62.0,19.007981410646348,99.61,100.0,0.9960426092147827,,1.0,64,4,0.001,,0.016205631510416665,0.013564639282226563,0.016205631510416665,0.013564639282226563
18,0,245.65273261070251,13.370457172393799,259.2483627796173,52.4,4662.083584,2448.883712,79.0,64.0,18.336172943881394,99.43,100.0,0.994276762008667,,1.0,64,4,0.001,,0.013868995157877604,0.018556427001953125,0.013868995157877604,0.018556427001953125
19,0,243.42946553230286,13.675337791442871,257.3140170574188,52.3,513.19808,2448.883712,77.0,63.0,2.0184298672041736,99.5,100.0,0.99497389793396,,1.0,64,4,0.001,,0.013295720418294271,0.015107693481445313,0.013295720418294271,0.015107693481445313
20,0,242.49412941932678,13.29606294631958,256.00256609916687,52.3,433.0112,2449.313792,78.0,64.0,1.7030514590271262,99.54,100.0,0.995384693145752,,1.0,64,4,0.001,,0.012921063232421875,0.015687681579589843,0.012921063232421875,0.015687681579589843
