epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,362.57074427604675,0.7263462543487549,363.80428814888,55.6,1363.603456,1988.939776,75.0,54.0,5.36311036591024,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6881617813553282,0.697414713168363,0.6881617813553282,0.697414713168363
2,0,351.84928822517395,0.7815835475921631,352.77935910224915,52.1,1171.644416,2026.524672,76.0,55.0,4.608127300471178,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6867831765319455,0.6967099390992331,0.6867831765319455,0.6967099390992331
3,0,347.2770314216614,0.7967724800109863,348.228556394577,52.2,1366.859264,2014.949376,76.0,54.0,5.375915597194585,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6867979085621168,0.6984452413856437,0.6867979085621168,0.6984452413856437
4,0,335.31620740890503,0.6917345523834229,336.17663073539734,51.8,1274.366976,2004.860928,78.0,55.0,5.012139496190369,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865312240159468,0.6964879867133744,0.6865312240159468,0.6964879867133744
5,0,329.33269143104553,0.7069849967956543,330.22763180732727,52.5,1268.296192,2007.28576,76.0,54.0,4.988262844619604,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865157379842314,0.6961163162091456,0.6865157379842314,0.6961163162091456
6,0,331.0032377243042,0.7541913986206055,331.9257731437683,55.6,1091.846144,2005.958656,76.0,54.0,4.294277304079761,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865417800375655,0.6969426706296589,0.6865417800375655,0.6969426706296589
7,0,376.09083127975464,0.7982196807861328,377.02311396598816,55.3,1091.84512,2008.395776,78.0,52.0,4.294273276644224,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864973519465768,0.6998097830956135,0.6864973519465768,0.6998097830956135
8,0,382.9732155799866,0.76419997215271,383.9011857509613,55.4,1091.85024,2008.506368,79.0,52.0,4.294293413821902,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865123739773419,0.6980142855862959,0.6865123739773419,0.6980142855862959
9,0,380.93907618522644,0.762127161026001,381.87075114250183,52.6,1362.618368,2007.801856,77.0,53.0,5.359235972925323,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865109819744911,0.6982175494552753,0.6865109819744911,0.6982175494552753
10,0,377.59890246391296,0.7335138320922852,378.5220801830292,55.4,1359.724032,2007.482368,82.0,50.0,5.3478524263849225,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865036739595243,0.6968963343069094,0.6865036739595243,0.6968963343069094
11,0,382.21656131744385,0.7174668312072754,383.09503960609436,55.6,1362.943488,2008.285184,77.0,53.0,5.360514683707766,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864646398795825,0.7018946376415568,0.6864646398795825,0.7018946376415568
12,0,382.30292558670044,0.7447144985198975,383.21403908729553,55.8,1365.062144,2028.630016,76.0,53.0,5.368847447830212,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865599920748637,0.6974838676802609,0.6865599920748637,0.6974838676802609
13,0,384.1772086620331,0.8672175407409668,385.2561082839966,55.3,1100.820992,2033.64352,78.0,52.0,4.32957576282851,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865309340153528,0.6976594137489249,0.6865309340153528,0.6976594137489249
14,0,382.2638442516327,0.7324719429016113,383.1492953300476,55.8,1271.48288,2019.622912,78.0,52.0,5.00079622400532,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6864924799365989,0.6975799700535765,0.6864924799365989,0.6975799700535765
15,0,376.9708740711212,0.7576708793640137,377.93169140815735,55.1,1361.974784,2019.565568,77.0,50.0,5.356704729691415,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.686495147942063,0.6982170594941586,0.686495147942063,0.6982170594941586
16,0,347.0098879337311,0.7626821994781494,347.9135854244232,52.8,1358.303744,2029.797376,80.0,55.0,5.342266373297523,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.686521769996585,0.6966701822543363,0.686521769996585,0.6966701822543363
17,0,299.02578353881836,0.6886155605316162,299.85315012931824,52.8,1224.89856,2034.52416,79.0,56.0,4.817578112917694,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865003099526348,0.6975322338419223,0.6865003099526348,0.6975322338419223
18,0,298.1729166507721,0.6841504573822021,299.0105400085449,49.5,1365.283328,2011.066368,77.0,56.0,5.369717373905827,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865168399864883,0.6968839452901018,0.6865168399864883,0.6968839452901018
19,0,291.7464361190796,0.6922566890716553,292.60124683380127,49.6,1363.911168,2020.12672,79.0,57.0,5.364320610288584,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865006579533475,0.6990063168586941,0.6865006579533475,0.6990063168586941
20,0,291.8515570163727,0.7109987735748291,292.72093987464905,49.5,1308.040192,2020.12672,78.0,57.0,5.144577686331721,50.91743119266055,0.0,0.33738601207733154,,1.0,16,4,0.001,,0.6865038479598806,0.6968548276008816,0.6865038479598806,0.6968548276008816
