epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,3,127.19650602340698,4.319185018539429,132.36043858528137,53.3,240.018944,2086.428672,79.0,54.0,0.9440047111329918,10.38,28.86,0.0780319944024086,,0.25,64,4,0.001,,4.63761125,4.217055078125,4.63142375,4.222790234375
2,3,125.40981459617615,3.392700672149658,129.7857267856598,53.9,4201.992192,2417.782784,76.0,57.0,16.526613938406655,19.45,43.46,0.1720380187034607,,0.25,64,4,0.001,,4.0589684375,3.629681640625,4.051816875,3.66229453125
3,3,124.6019127368927,3.382394313812256,132.33380126953125,54.2,8552.251392,2417.995776,77.0,56.0,33.63636832283408,24.45,50.78,0.21601466834545135,,0.25,64,4,0.001,,3.687928125,3.304028515625,3.7030528125,3.335546484375
4,3,126.8180992603302,3.4064512252807617,131.1885735988617,54.1,4926.835712,2421.342208,77.0,58.0,19.377454319215186,29.05,55.93,0.26849091053009033,,0.25,64,4,0.001,,3.4076153125,3.079600390625,3.4188165625,3.0870923828125
5,3,128.29964685440063,3.40507173538208,132.45223593711853,54.2,242.432512,2420.936704,75.0,56.0,0.9534973766895898,33.62,61.77,0.3249640166759491,,0.25,64,4,0.001,,3.20652625,2.8113517578125,3.2128203125,2.8353369140625
6,3,126.52349615097046,3.6422927379608154,130.8556444644928,54.1,242.432512,2422.370304,77.0,55.0,0.9534973766895898,37.97,65.62,0.36706387996673584,,0.25,64,4,0.001,,3.0279834375,2.61006953125,3.0308721875,2.632592578125
7,3,128.02014112472534,3.486173152923584,132.28748202323914,54.3,242.432512,2421.215232,79.0,57.0,0.9534973766895898,37.71,65.7,0.37024936079978943,,0.25,64,4,0.001,,2.8895828125,2.6202359375,2.890175,2.6060140625
8,3,126.25072813034058,3.3794174194335938,130.46423864364624,54.6,8518.67392,2422.657024,76.0,56.0,33.50430669791527,39.98,66.44,0.391787588596344,,0.25,64,4,0.001,,2.776491875,2.592362109375,2.7707015625,2.5775796875
9,3,127.71139359474182,3.3738579750061035,132.30197072029114,53.9,7650.3296,2421.485568,76.0,56.0,30.089071569784824,43.82,71.64,0.43065476417541504,,0.25,64,4,0.001,,2.672745,2.3195734375,2.6702540625,2.3037212890625
10,3,126.74414682388306,3.3645131587982178,131.15162205696106,54.3,2919.638528,2422.673408,79.0,55.0,11.483062458759061,45.65,72.29,0.45381098985671997,,0.25,64,4,0.001,,2.5787190625,2.246983203125,2.5834971875,2.2523591796875
11,3,127.00363969802856,3.4206433296203613,131.2845335006714,54.4,242.432512,2421.76,75.0,55.0,0.9534973766895898,47.54,74.1,0.4675585925579071,,0.25,64,4,0.001,,2.49248078125,2.1780619140625,2.4896209375,2.1793111328125
12,3,127.49417734146118,3.6608598232269287,132.16839575767517,53.7,228.466688,2422.697984,76.0,54.0,0.898569197142003,47.25,73.78,0.4676344096660614,,0.25,64,4,0.001,,2.414358125,2.203358203125,2.41665453125,2.181639453125
13,3,127.3068196773529,3.4532783031463623,131.92186737060547,54.6,2532.337152,2422.022144,77.0,55.0,9.959789680872452,49.06,75.78,0.4876602292060852,,0.25,64,4,0.001,,2.34711234375,2.1047037109375,2.33870453125,2.080183203125
14,3,126.00407934188843,3.459263801574707,130.4123878479004,54.4,6795.946496,2422.6816,75.0,56.0,26.728746497742055,49.98,75.66,0.4976496398448944,,0.25,64,4,0.001,,2.27462078125,2.073523046875,2.26972125,2.0580744140625
15,3,125.42112350463867,3.47951602935791,129.91038870811462,53.9,242.432512,2422.288384,77.0,55.0,0.9534973766895898,51.86,77.26,0.5151575803756714,,0.25,64,4,0.001,,2.22229875,1.997681640625,2.2037428125,2.0042208984375
16,3,127.2405276298523,3.686720371246338,131.76318383216858,53.9,2298.810368,2422.718464,77.0,58.0,9.041318911032983,51.98,77.24,0.5178998708724976,,0.25,64,4,0.001,,2.1494996875,2.0029060546875,2.16162296875,1.9945275390625
17,3,126.96225833892822,3.3031482696533203,131.27834606170654,54.1,242.432512,2422.550528,78.0,55.0,0.9534973766895898,52.47,78.24,0.5236678123474121,,0.25,64,4,0.001,,2.104219375,1.941428125,2.10671296875,1.934866796875
18,3,127.2777647972107,3.7905213832855225,131.69841718673706,54.0,8549.1072,2422.706176,77.0,56.0,33.62400208202308,51.12,77.39,0.5087656378746033,,0.25,64,4,0.001,,2.04194515625,2.0297080078125,2.03770875,2.0512443359375
19,3,127.54253816604614,3.401359796524048,131.74688339233398,54.6,242.432512,2422.820864,76.0,56.0,0.9534973766895898,54.07,78.75,0.5404535531997681,,0.25,64,4,0.001,,1.9944,1.902908203125,2.00855421875,1.900596484375
20,3,127.51235556602478,3.843430519104004,132.09638500213623,54.5,8553.646592,2422.820864,77.0,56.0,33.64185570375086,54.43,79.14,0.54079270362854,,0.25,64,4,0.001,,1.9561284375,1.885358203125,1.96620328125,1.861087890625
