epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,124.3500211,10.52372575,135.0493417,56.9,577.546752,2396.004352,75,69,2.27151593,37.59,88.18,0.347137034,,1,64,4,0.001,,1.900957188,1.741356055,1.900957188,1.741356055
2,0,124.733994,10.30358911,135.1269267,56.6,587.972608,2528.82944,76,68,2.312521265,53.63,95.1,0.509851754,,1,64,4,0.001,,1.583645156,1.25094082,1.583645156,1.25094082
3,0,124.69396,10.26199198,135.0373344,56.7,586.433024,2540.302336,78,68,2.306466016,56.17,95.37,0.56131047,,1,64,4,0.001,,1.408730781,1.223701953,1.408730781,1.223701953
4,0,124.5516553,10.45618749,135.0982904,57.1,587.44832,2544.57856,77,68,2.310459218,61.16,95.73,0.597473204,,1,64,4,0.001,,1.280546172,1.139102344,1.280546172,1.139102344
5,0,124.7816153,10.35294223,135.2154198,56.9,587.44832,2541.613056,76,68,2.310459218,67.47,97.65,0.663773954,,1,64,4,0.001,,1.194217891,0.925653516,1.194217891,0.925653516
6,0,124.5717759,10.14291668,134.8050551,56.8,587.44832,2531.971072,77,68,2.310459218,72.23,98.12,0.71645093,,1,64,4,0.001,,1.103383438,0.786085059,1.103383438,0.786085059
7,0,124.0798335,10.43883419,134.6109695,56.6,518.604288,2550.657024,77,63,2.039692713,76.11,98.48,0.757120371,,1,64,4,0.001,,1.038714922,0.685791211,1.038714922,0.685791211
8,0,124.7972143,10.38105106,135.2576292,56.7,587.44832,2550.730752,76,68,2.310459218,77.42,98.71,0.774169087,,1,64,4,0.001,,0.976326719,0.650022314,0.976326719,0.650022314
9,0,124.6171393,10.21025562,134.9158652,56.9,587.44832,2535.0144,78,67,2.310459218,78.01,98.67,0.777551472,,1,64,4,0.001,,0.930076797,0.647364746,0.930076797,0.647364746
10,0,124.5639124,10.2936976,134.9531186,56.3,459.922432,2550.304768,77,66,1.808894479,77.7,98.69,0.776985765,,1,64,4,0.001,,0.89486125,0.647012354,0.89486125,0.647012354
11,0,124.7123988,10.44761491,135.2401059,56.7,587.44832,2551.242752,78,68,2.310459218,80.05,99.01,0.802397609,,1,64,4,0.001,,0.858482109,0.591926123,0.858482109,0.591926123
12,0,124.4600048,10.47552633,135.0160916,56.8,587.44832,2558.787584,80,68,2.310459218,83.57,99.22,0.836534798,,1,64,4,0.001,,0.813398047,0.476980225,0.813398047,0.476980225
13,0,124.5147483,10.80608749,135.4105911,56.8,587.44832,2541.912064,77,68,2.310459218,80.9,99.31,0.807844818,,1,64,4,0.001,,0.794991875,0.550425732,0.794991875,0.550425732
14,0,124.593334,10.46699214,135.1461172,56.6,587.44832,2546.397184,78,68,2.310459218,84.07,99.26,0.840497315,,1,64,4,0.001,,0.761974375,0.471076758,0.761974375,0.471076758
15,0,124.6262608,10.38725495,135.0951679,56.4,899.653632,2542.723072,77,68,3.538375983,84.11,99.35,0.842295706,,1,64,4,0.001,,0.739939922,0.473374268,0.739939922,0.473374268
16,0,124.6998825,10.31698799,135.108196,56.6,587.44832,2542.911488,78,69,2.310459218,85.06,99.39,0.851572096,,1,64,4,0.001,,0.723007109,0.433487842,0.723007109,0.433487842
17,0,124.7182491,10.30106568,135.1123309,56.9,587.447808,2533.515264,77,68,2.310457204,84.7,99.4,0.847580612,,1,64,4,0.001,,0.702183203,0.447345166,0.702183203,0.447345166
18,0,124.3954854,10.4009397,134.8860559,56.6,587.44832,2535.948288,76,68,2.310459218,85.84,99.5,0.85743773,,1,64,4,0.001,,0.690139219,0.407128101,0.690139219,0.407128101
19,0,125.0726357,10.30853438,135.4606104,56.7,587.44832,2552.221696,77,68,2.310459218,86.16,99.51,0.861406326,,1,64,4,0.001,,0.667540547,0.409235229,0.667540547,0.409235229
20,0,125.0829911,10.53175545,135.6951799,57,587.44832,2552.23808,78,68,2.310459218,84.81,99.4,0.844723761,,1,64,4,0.001,,0.659023047,0.436588574,0.659023047,0.436588574
,,,,2702.240397,,,,,,,,,,,,,,,,,,,
