epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,129.9903967,9.641851425,139.89466,0,188.73344,1381.179392,0,63,1.135562686,36.97,88.04,0.335333616,[-0.02791953],1,42,4,0.00105303,"[{""shard_pct"": 1.0, ""batch_size"": 42, ""lr"": 0.00105303, ""num_workers"": 4}]",1.93122875,1.670007617,1.93122875,1.670007617
2,0,119.3961945,9.390013456,128.9524057,12,3955.360768,2474.549248,0,33,23.79843285,51.05,92.18,0.481807441,[-0.02244562],1,128,4,0.00103895,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00103895, ""num_workers"": 4}]",1.646964219,1.363778516,1.646964219,1.363778516
3,0,99.09118485,9.346896887,108.5943255,14.5,10511.79418,3419.193344,0,31,63.24687999,63.36,96.86,0.622736216,[-0.02785456],1,128,4,0.00102664,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00102664, ""num_workers"": 4}]",1.344597031,1.037705469,1.344597031,1.037705469
4,0,98.82677126,9.35391593,108.3113647,15.1,665.938432,3488.223232,0,30,4.006787746,64.63,97.3,0.638560474,[-0.02847069],1,128,4,0.00102537,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00102537, ""num_workers"": 4}]",1.244291016,0.988083594,1.244291016,0.988083594
5,0,98.65749931,9.369162083,108.2171314,14.8,8284.16,3489.021952,0,30,49.84375308,69.86,97.68,0.695044696,[-0.01031793],1,128,4,0.00102014,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.0010201400000000001, ""num_workers"": 4}]",1.173857031,0.862389941,1.173857031,0.862389941
6,0,99.05226827,9.330724001,108.5541339,14.9,665.938432,3490.291712,0,29,4.006787746,71.89,98.01,0.711440206,[0.01373628],1,128,4,0.00101811,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00101811, ""num_workers"": 4}]",1.094991172,0.81406665,1.094991172,0.81406665
7,0,98.13094831,9.303742647,107.6146195,14.7,665.938432,3489.665024,0,29,4.006787746,75.09,98.5,0.748587072,[-0.01214754],1,128,4,0.00101491,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00101491, ""num_workers"": 4}]",1.031883594,0.719036572,1.031883594,0.719036572
8,0,98.60154581,9.214939356,107.9744287,14.6,665.938432,3490.6112,0,29,4.006787746,74.29,98.38,0.746262908,[0.00158337],1,128,4,0.00101571,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00101571, ""num_workers"": 4}]",0.969011953,0.740422803,0.969011953,0.740422803
9,0,98.42619181,9.399503946,108.006089,14.7,665.938432,3490.066432,0,29,4.006787746,78.44,98.82,0.781828582,[-0.00733633],1,128,4,0.00101156,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00101156, ""num_workers"": 4}]",0.927234453,0.627089453,0.927234453,0.627089453
10,0,98.6075747,9.238976002,108.0224793,14,11411.87994,3490.410496,0,29,68.66247462,73.93,97.7,0.728913069,[-0.02605158],1,128,4,0.00101607,"[{""shard_pct"": 1.0, ""batch_size"": 128, ""lr"": 0.00101607, ""num_workers"": 4}]",0.883050781,0.797901953,0.883050781,0.797901953
