epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,131.3520281,11.475492,143.4131279,38.2,3369.912832,2418.454528,74,64,13.25401044,41.69,91.33,0.392213345,,1,64,4,0.001,,1.892232656,1.60616709,1.892232656,1.60616709
2,0,128.0315084,11.88143182,140.1283343,28.2,4965.805056,2544.566272,74,65,19.53072241,50.77,91.8,0.492640555,,1,64,4,0.001,,1.603112969,1.390541602,1.603112969,1.390541602
3,0,127.5463586,11.37298679,139.1253619,28.3,5971.677184,2554.617856,78,65,23.48686025,60.47,94.43,0.586120963,,1,64,4,0.001,,1.399078438,1.132731055,1.399078438,1.132731055
4,0,127.473712,11.96223068,139.6827428,28.3,2606.746624,2555.82208,74,65,10.2524453,60.94,95.29,0.587550223,,1,64,4,0.001,,1.255373828,1.128290625,1.255373828,1.128290625
5,0,127.6719377,11.69581175,139.674325,28.2,587.44832,2555.98592,73,65,2.310459218,70.98,97.85,0.70338881,,1,64,4,0.001,,1.156434063,0.822073242,1.156434063,0.822073242
6,0,127.9675012,11.66001153,139.855459,27.3,5915.096576,2539.06944,73,65,23.26432631,72.22,98.01,0.712121487,,1,64,4,0.001,,1.075546875,0.794221973,1.075546875,0.794221973
7,0,127.4622433,11.62442923,139.2826564,28.2,587.44832,2558.529536,72,65,2.310459218,71.91,97.73,0.712417483,,1,64,4,0.001,,1.024414531,0.804833887,1.024414531,0.804833887
8,0,126.5548849,11.94989443,138.7363157,28.5,518.604288,2558.48448,72,59,2.039692713,75.6,98.72,0.756345212,,1,64,4,0.001,,0.966773672,0.68617793,0.966773672,0.68617793
9,0,128.3508947,11.81125689,140.3591375,28.4,488.823808,2558.672896,73,65,1.922564819,79.14,98.91,0.790462017,,1,64,4,0.001,,0.920730859,0.592204639,0.920730859,0.592204639
10,0,127.9657574,11.2598896,139.4638236,28.2,4098.891776,2558.693376,74,65,16.12111562,80.7,99.08,0.804770768,,1,64,4,0.001,,0.885593125,0.572178369,0.885593125,0.572178369
11,0,125.3823004,11.41571712,136.9875081,25.3,587.44832,2567.102464,70,69,2.310459218,78.49,99,0.785686791,,1,64,4,0.001,,0.847690547,0.648571143,0.847690547,0.648571143
12,0,125.4140308,11.03158641,136.641048,25.3,587.44832,2539.835392,68,69,2.310459218,82.97,99.17,0.828680456,,1,64,4,0.001,,0.825239844,0.490760791,0.825239844,0.490760791
13,0,125.9108195,11.22591329,137.3597686,25.2,587.44832,2558.201856,68,69,2.310459218,82.88,99.28,0.827096343,,1,64,4,0.001,,0.801066328,0.484639844,0.801066328,0.484639844
14,0,126.2491689,11.34037089,137.7842965,25.3,587.44832,2567.655424,70,69,2.310459218,82.21,98.89,0.821347356,,1,64,4,0.001,,0.771340078,0.539090723,0.771340078,0.539090723
15,0,125.2029927,11.18350148,136.5994406,25.2,5228.735488,2602.196992,69,69,20.56483897,84.33,99.37,0.842510223,,1,64,4,0.001,,0.756586406,0.447887402,0.756586406,0.447887402
16,0,125.8587401,11.40378261,137.4640303,25.3,5954.5216,2540.515328,71,68,23.41938661,83.72,99.32,0.836742759,,1,64,4,0.001,,0.7330625,0.478630469,0.7330625,0.478630469
17,0,125.3210294,11.36518383,136.9501448,25.2,518.604288,2549.825536,71,69,2.039692713,84.32,99.38,0.842275679,,1,64,4,0.001,,0.710045781,0.460241016,0.710045781,0.460241016
18,0,125.3372815,11.07484984,136.5710075,25.2,587.44832,2549.960704,69,69,2.310459218,82.86,99.3,0.82931149,,1,64,4,0.001,,0.692666797,0.506881152,0.692666797,0.506881152
19,0,125.7564311,11.13573146,137.1854322,25.1,518.604288,2540.527616,68,69,2.039692713,86.04,99.47,0.859081209,,1,64,4,0.001,,0.676627031,0.414580615,0.676627031,0.414580615
20,0,125.8153503,11.13283777,137.1451361,25.3,587.44832,2541.121536,69,69,2.310459218,85.99,99.56,0.861007869,,1,64,4,0.001,,0.653922344,0.410956299,0.653922344,0.410956299
,,,,2770.409097,,,,,,,,,,,,,,,,,,,
