epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,128.9508398,3.160261393,133.866991,53,187.516928,2141.88032,76,57,0.73751205,9.71,26.15,0.074388325,,0.25,64,4,0.001,,4.62894,4.351828516,4.63257875,4.395690625
2,0,126.1559212,3.001751661,130.696435,54.4,242.432512,2422.116352,78,59,0.953497377,18,42.21,0.155606717,,0.25,64,4,0.001,,4.055874063,3.706322266,4.044322188,3.715441016
3,0,128.291544,2.983630657,132.6139507,54.2,242.432512,2419.01568,75,61,0.953497377,23.38,49.39,0.214622676,,0.25,64,4,0.001,,3.691307813,3.374446484,3.69457625,3.378605859
4,0,128.5519788,2.864567757,133.041249,53.9,419.228672,2420.883456,76,61,1.64884419,28.57,56.26,0.270284802,,0.25,64,4,0.001,,3.41893625,3.079217969,3.411435313,3.054836914
5,0,129.5902069,2.943506479,133.9469984,53.9,242.432512,2420.92032,78,61,0.953497377,35.03,62.82,0.338882953,,0.25,64,4,0.001,,3.193423438,2.732822656,3.2051325,2.719351563
6,0,129.460772,2.933987617,133.9921024,53.7,242.432512,2426.011648,79,61,0.953497377,36.96,64.06,0.353839695,,0.25,64,4,0.001,,3.02489875,2.666807031,3.016043125,2.683659766
7,0,127.4875839,2.981027603,132.1872842,57.9,189.901824,2426.048512,78,57,0.746891947,38.74,67.22,0.374820888,,0.25,64,4,0.001,,2.88565,2.54555,2.885458125,2.540076953
8,0,128.1941061,3.013205051,132.738049,54.6,242.432512,2422.972416,77,60,0.953497377,41.83,69.27,0.412605375,,0.25,64,4,0.001,,2.778667188,2.425035352,2.803415,2.438483398
9,0,129.580708,3.648673534,134.5320654,54.4,242.432512,2423.926784,76,59,0.953497377,43.03,71.18,0.423060477,,0.25,64,4,0.001,,2.6667475,2.354600586,2.649683438,2.313104883
10,0,128.0279472,3.043694258,132.7991755,54.4,242.432512,2427.96544,76,60,0.953497377,44.92,71.8,0.442664236,,0.25,64,4,0.001,,2.572362188,2.29987832,2.585278125,2.252884375
11,0,128.4414604,2.806738853,132.9217367,54,214.043648,2423.332864,77,61,0.841842768,47.46,74.21,0.468639225,,0.25,64,4,0.001,,2.485403906,2.167409375,2.48261125,2.158119727
12,0,127.9717667,2.954893112,132.9157059,54.4,242.432512,2425.360384,76,59,0.953497377,48.04,74.23,0.477350324,,0.25,64,4,0.001,,2.4042975,2.157149414,2.409550313,2.135043555
13,0,127.408567,2.957117796,131.4524798,54.7,242.432512,2427.580416,77,60,0.953497377,48,74.72,0.475152075,,0.25,64,4,0.001,,2.335397188,2.148352148,2.331600781,2.144936133
14,0,127.9877822,2.883933306,132.658715,53.8,242.432512,2428.370944,77,61,0.953497377,48.63,75.14,0.484963089,,0.25,64,4,0.001,,2.271115,2.122999805,2.281865156,2.101160547
15,0,126.5426888,3.25283432,131.6035545,54.1,7815.341568,2422.72256,77,61,30.73807066,51.03,76.84,0.507376075,,0.25,64,4,0.001,,2.213241406,2.024826953,2.22076375,1.993839648
16,0,126.5130458,3.065923929,131.3619952,53.7,242.432512,2425.454592,77,60,0.953497377,52.48,77.31,0.520442009,,0.25,64,4,0.001,,2.154288125,1.973243555,2.136688594,1.945276953
17,0,127.699491,2.993062973,131.8399556,54.4,8218.243072,2427.711488,76,61,32.3226994,52.21,77.92,0.519041777,,0.25,64,4,0.001,,2.097130938,1.975300391,2.095230938,1.949554492
18,0,126.1938961,2.812034607,130.5344193,54,242.432512,2428.162048,77,60,0.953497377,53.39,78.41,0.533013523,,0.25,64,4,0.001,,2.046939375,1.917458984,2.048150938,1.893985547
19,0,126.9321527,2.933047056,131.2913539,54.3,214.043648,2423.615488,77,61,0.841842768,53.91,78.95,0.538029671,,0.25,64,4,0.001,,1.995045313,1.884556836,2.017056406,1.840953125
20,0,126.3677697,2.990288973,131.051513,53.7,189.930496,2427.547648,78,60,0.747004716,53.05,78.61,0.527660251,,0.25,64,4,0.001,,1.944054531,1.951479883,1.941885,1.912939648
,,,,2648.04573,,,,,,,,,,,,,,,,,,,
