epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,171.1788511276245,3.3422586917877197,174.80487060546875,12.1,4153.268224,1973.178368,0.0,41.0,24.989193332150393,8.17,25.87,0.05617673322558403,[-0.04536255  0.01041993  0.0240824   0.00351701],0.25,32,5,0.00108183,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00108183, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00108183, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00108183, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00108183, ""num_workers"": 4}]",4.680153125,4.801307421875,4.6826753125,4.7354546875
2,0,173.7572362422943,3.050201654434204,177.30311512947083,11.8,3810.467328,2211.47136,0.0,41.0,22.926644659016972,18.09,41.85,0.1574922353029251,[-0.06677467 -0.06026982 -0.02261727 -0.0302231 ],0.25,32,5,0.00107191,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00107191, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00107191, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00107191, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00107191, ""num_workers"": 4}]",4.1250925,3.754225390625,4.124231875,3.733694140625
3,0,178.44946670532227,2.926629066467285,181.6887707710266,11.1,4351.945216,2218.508288,0.0,39.0,26.184583924804322,23.49,49.88,0.2136639803647995,[-0.04339863 -0.00229752  0.00013911 -0.00769761],0.25,32,5,0.0010665100000000001,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010665100000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010665100000000001, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010665100000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010665100000000001, ""num_workers"": 4}]",3.7445846875,3.43812265625,3.7391684375,3.386625
4,0,179.25652813911438,2.9422600269317627,182.89660954475403,11.2,203.232256,2217.570304,0.0,39.0,1.2227984956921196,29.77,56.42,0.27902084589004517,[-0.02076651  0.00528251 -0.0389313   0.00697353],0.25,32,4,0.0010602300000000001,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010602300000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010602300000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010602300000000001, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010602300000000001, ""num_workers"": 5}]",3.452190625,3.081543359375,3.443283125,3.054562890625
5,0,184.40218472480774,3.132380962371826,187.78074860572815,11.1,3427.909632,2235.805696,0.0,38.0,20.624889099189684,35.3,63.35,0.34059590101242065,[ 0.0007561   0.02151771  0.01980021 -0.02744544],0.25,32,5,0.0010547,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010547, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010547, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010547, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010547, ""num_workers"": 4}]",3.225805,2.73121015625,3.2478028125,2.733137109375
6,0,177.60164546966553,3.134658098220825,180.9357328414917,11.8,203.232256,2219.573248,0.0,40.0,1.2227984956921196,38.31,66.17,0.36833712458610535,[ 0.00522792  0.01075975 -0.03437283 -0.01795274],0.25,32,6,0.00105169,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00105169, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00105169, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00105169, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00105169, ""num_workers"": 5}]",3.05046625,2.6091111328125,3.069771875,2.6315326171875
7,0,184.40307235717773,2.8559021949768066,187.80247807502747,10.4,203.232256,2285.838336,0.0,39.0,1.2227984956921196,40.02,67.53,0.38784950971603394,[-0.0133786   0.00397619 -0.01854982 -0.00857223],0.25,32,5,0.0010499799999999998,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010499799999999998, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010499799999999998, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010499799999999998, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.0010499799999999998, ""num_workers"": 5}]",2.918335625,2.5212716796875,2.9009425,2.51715078125
8,0,181.83976340293884,2.8307809829711914,185.47441458702087,10.8,4259.76064,2286.592,0.0,39.0,25.629932005480967,43.17,70.46,0.42059874534606934,[ 0.00141741  0.02188728 -0.02090489  0.05019565],0.25,32,4,0.00104683,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104683, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104683, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104683, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104683, ""num_workers"": 4}]",2.7827215625,2.3694609375,2.79204125,2.3778400390625
9,0,185.54506826400757,2.8859715461730957,188.98036551475525,9.7,4199.903232,2287.734784,0.0,39.0,25.269784704560237,44.77,71.97,0.4358559250831604,[ 0.04649941  0.03140621 -0.00300137 -0.02162977],0.25,32,5,0.00104523,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104523, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104523, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104523, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104523, ""num_workers"": 4}]",2.685468125,2.294246875,2.67961875,2.2852171875
10,0,184.63879227638245,3.0656940937042236,188.11436343193054,11.2,3790.700544,2287.104,0.0,40.0,22.807712781688057,44.89,72.5,0.44432148337364197,[-0.00821828  0.01610836  0.00835435  0.014904  ],0.25,32,6,0.00104511,"[{""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104511, ""num_workers"": 6}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104511, ""num_workers"": 5}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104511, ""num_workers"": 4}, {""shard_pct"": 0.25, ""batch_size"": 32, ""lr"": 0.00104511, ""num_workers"": 4}]",2.5949234375,2.2753603515625,2.60972390625,2.2442849609375
