job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,final_accuracy,status
job-f9410b420001,clusterA,ResNet-18,CIFAR-100,1,1769160062.790432,1769160062.888747,1769161178.170250,0.098315,1115.379818,61.610000,FINISHED
job-a6cb9248ec5d,clusterA,ResNet-18,CIFAR-100,1,1769160461.465768,1769160461.539749,1769161524.506430,0.073981,1063.040662,63.580000,FINISHED
job-2bffd940a9a1,clusterA,DeepSpeech2,ARCTIC,1,1769161830.208316,1769161830.863783,1769161999.748172,0.655466,169.539855,9.109437,FINISHED
job-c917ee3805aa,clusterB,DistilBERT,SST-2,1,1769159718.421296,1769159718.517000,1769162131.545972,0.095705,2413.124676,50.917431,FINISHED
job-1b59833b9b03,clusterB,ResNet-18,CIFAR-100,1,1769161032.961194,1769161033.054419,1769162209.680876,0.093225,1176.719682,62.580000,FINISHED
job-8e21c0a2abd2,clusterA,ResNet-50,CIFAR-10,1,1769161183.556701,1769161183.735875,1769162395.591000,0.179174,1212.034299,75.820000,FINISHED
job-01df69813b59,clusterA,EfficientNetV2-S,MNIST,2,1769159716.998912,1769159717.144439,1769162445.460316,0.145527,2728.461403,99.280000,FINISHED
job-63bb3c75e74c,clusterB,DistilBERT,SST-2,1,1769160280.748763,1769160280.850781,1769162850.359018,0.102018,2569.610255,50.917431,FINISHED
job-0874a73109fe,clusterB,DistilBERT,SST-2,1,1769160367.603410,1769160367.707039,1769163037.077218,0.103629,2669.473808,50.917431,FINISHED
job-c251bad777c1,clusterB,DistilBERT,SST-2,1,1769162225.763700,1769162225.914020,1769163043.162082,0.150321,817.398382,50.917431,PREEMPTED
job-1ddb032d3de9,clusterA,DeepSpeech2,ARCTIC,1,1769163186.173692,1769163186.303322,1769163358.974468,0.129631,172.800776,7.016968,FINISHED
job-ea6977a59263,clusterA,DistilBERT,SST-2,1,1769162404.181931,1769162404.960033,1769164570.752392,0.778102,2166.570462,50.917431,FINISHED
job-af7b1129d1f7,clusterA,EfficientNetV2-S,MNIST,2,1769162447.878301,1769162448.988114,1769165159.756078,1.109813,2711.877777,54.690000,FINISHED
job-8bc4be97b034,clusterB,DenseNet-121,TinyImageNet,4,1769161127.061778,1769163049.119336,1769165437.832416,1922.057558,4310.770638,10.080000,FINISHED
job-d4e128470a0a,clusterA,DistilBERT,SST-2,1,1769163779.235839,1769163780.200153,1769165576.063718,0.964314,1796.827879,50.917431,FINISHED
job-c251bad777c1,clusterB,DistilBERT,SST-2,1,1769162225.763700,1769162225.914020,1769165643.237710,0.150321,3417.474010,50.917431,PREEMPTED
job-e6ea0f84d2c0,clusterB,DistilBERT,SST-2,1,1769165452.344589,1769165473.539233,1769165648.531766,21.194643,196.187177,,PREEMPTED
job-df608682bb9a,clusterA,DeepSpeech2,ARCTIC,1,1769166260.495568,1769166260.592987,1769166421.184396,0.097419,160.688829,4.655068,FINISHED
job-7ca783aafab1,clusterA,DeepSpeech2,ARCTIC,1,1769166334.468578,1769166426.733960,1769166592.987882,92.265382,258.519304,0.000000,FINISHED
job-82ad5e9aff25,clusterA,DistilBERT,SST-2,1,1769164153.494838,1769164576.397808,1769166740.456195,422.902970,2586.961356,50.917431,FINISHED
job-b1c158a8b517,clusterA,DeepSpeech2,ARCTIC,1,1769166896.350016,1769166896.803551,1769167064.642216,0.453535,168.292200,14.975444,FINISHED
job-52d6731f14e8,clusterB,DenseNet-121,TinyImageNet,4,1769163285.682274,1769165654.634290,1769168066.259377,2368.952016,4780.577103,9.370000,FINISHED
job-955f2c26f864,clusterA,EfficientNetV2-S,MNIST,2,1769165502.462419,1769165503.568063,1769168180.337514,1.105644,2677.875094,99.220000,FINISHED
job-74ec72cf1e54,clusterA,DistilBERT,SST-2,1,1769167558.574784,1769167558.942560,1769168181.434976,0.367776,622.860192,50.917431,PREEMPTED
job-1db9e50708a7,clusterA,ResNet-18,CIFAR-100,1,1769167494.973168,1769167495.943927,1769168186.234117,0.970759,691.260949,62.060000,PREEMPTED
job-7c379ebdea88,clusterA,DenseNet-121,TinyImageNet,4,1769166803.200391,1769168192.139222,1769170438.759087,1388.938831,3635.558697,11.850000,FINISHED
job-74ec72cf1e54,clusterA,DistilBERT,SST-2,1,1769167558.574784,1769167558.942560,1769170458.897044,0.367776,2900.322260,50.917431,FINISHED
job-41ae6bb1e50f,clusterB,DenseNet-121,TinyImageNet,4,1769166509.695098,1769168072.076594,1769170490.378920,1562.381496,3980.683821,5.740000,FINISHED
job-e6ea0f84d2c0,clusterB,DistilBERT,SST-2,1,1769165452.344589,1769165473.539233,1769170720.986646,21.194643,5268.642057,50.917431,FINISHED
job-1db9e50708a7,clusterA,ResNet-18,CIFAR-100,1,1769167494.973168,1769167495.943927,1769170871.314699,0.970759,3376.341531,62.160000,FINISHED
job-70bb4f3b967d,clusterB,DeepSpeech2,ARCTIC,1,1769170810.114735,1769170810.202907,1769170942.476134,0.088172,132.361399,5.283463,FINISHED
job-87a7a72f2de0,clusterB,ResNet-50,CIFAR-10,1,1769167857.695580,1769170495.472348,1769171095.218824,2637.776768,3237.523244,75.470000,FINISHED
job-ac2f65bb156b,clusterA,ResNet-50,CIFAR-10,1,1769169749.925563,1769170464.490695,1769171713.071177,714.565132,1963.145613,73.530000,FINISHED
job-3e2d52006a38,clusterA,ResNet-50,CIFAR-10,1,1769169259.405727,1769170446.440544,1769171719.267203,1187.034817,2459.861476,76.960000,FINISHED
job-0ba56811334f,clusterB,ResNet-18,CIFAR-100,1,1769172205.134125,1769172205.792181,1769173355.967069,0.658056,1150.832944,63.610000,FINISHED
job-890ce487cd14,clusterB,DistilBERT,SST-2,1,1769171355.606635,1769171355.692518,1769173494.282390,0.085883,2138.675754,50.917431,FINISHED
