job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status,final_accuracy
job-bc86d8fd,clusterA,DistilBERT,SST-2,1,2026-01-23 03:24:49,2026-01-23 03:24:52,2026-01-23 03:52:33,2.85,1664.33,FINISHED,50.91743119266055
job-39fa6afc,clusterA,DeepSpeech2,ARCTIC,1,2026-01-23 03:44:26,2026-01-23 03:52:38,2026-01-23 03:52:42,492.30,496.11,FINISHED,
job-44547cf3,clusterB,DenseNet-121,TinyImageNet,4,2026-01-23 03:22:50,2026-01-23 03:22:52,2026-01-23 04:00:46,1.59,2275.58,FINISHED,53.44
job-cdd88e52,clusterA,EfficientNetV2-S,MNIST,1,2026-01-23 03:05:55,2026-01-23 03:05:56,2026-01-23 04:13:21,0.65,4045.24,FINISHED,99.53
job-bfd218e7,clusterB,ResNet-18,CIFAR-100,2,2026-01-23 03:53:13,2026-01-23 04:00:49,2026-01-23 04:13:32,455.89,1219.20,FINISHED,65.16
job-07365ac9,clusterA,ResNet-18,CIFAR-100,1,2026-01-23 03:49:26,2026-01-23 03:52:43,2026-01-23 04:16:43,196.86,1636.88,FINISHED,61.97
job-71f21243,clusterB,DeepSpeech2,ARCTIC,1,2026-01-23 04:31:53,2026-01-23 04:31:55,2026-01-23 04:31:59,2.06,6.29,FINISHED,
job-609263ca,clusterB,DistilBERT,SST-2,1,2026-01-23 03:59:27,2026-01-23 04:00:49,2026-01-23 04:34:36,81.49,2108.63,FINISHED,50.91743119266055
job-6388fedd,clusterB,ResNet-50,CIFAR-10,1,2026-01-23 04:10:41,2026-01-23 04:10:44,2026-01-23 04:57:54,3.31,2833.47,FINISHED,85.99
job-71e9e0b4,clusterA,DistilBERT,SST-2,2,2026-01-23 03:01:08,2026-01-23 03:01:11,2026-01-23 05:00:08,2.43,7139.17,FINISHED,50.91743119266055
job-6e8408a2,clusterB,DenseNet-121,TinyImageNet,4,2026-01-23 04:33:04,2026-01-23 04:57:57,2026-01-23 05:35:42,1492.71,3758.06,FINISHED,53.81
job-86c91841,clusterB,DeepSpeech2,ARCTIC,1,2026-01-23 04:38:14,2026-01-23 05:35:46,2026-01-23 05:35:49,3451.49,3454.91,FINISHED,
job-550d9c32,clusterB,DeepSpeech2,ARCTIC,1,2026-01-23 05:02:57,2026-01-23 05:35:51,2026-01-23 05:35:53,1974.11,1976.75,FINISHED,
job-32697a28,clusterA,EfficientNetV2-S,MNIST,1,2026-01-23 04:35:21,2026-01-23 05:00:12,2026-01-23 06:02:33,1491.34,5232.32,FINISHED,99.45
job-45333bb4,clusterB,ResNet-50,CIFAR-10,1,2026-01-23 04:57:35,2026-01-23 05:35:46,2026-01-23 06:22:59,2290.77,5124.07,FINISHED,86.45
job-779f31f1,clusterA,DistilBERT,SST-2,1,2026-01-23 04:37:29,2026-01-23 05:00:12,2026-01-23 06:40:23,1362.78,7373.76,FINISHED,50.91743119266055
job-3f0ad52e,clusterB,EfficientNetV2-S,MNIST,1,2026-01-23 04:39:49,2026-01-23 05:35:46,2026-01-23 06:45:22,3357.06,7533.31,FINISHED,99.4
job-6aa91477,clusterB,EfficientNetV2-S,MNIST,1,2026-01-23 04:48:47,2026-01-23 05:35:46,2026-01-23 06:45:39,2819.05,7012.55,FINISHED,99.62
job-089554f5,clusterA,DistilBERT,SST-2,1,2026-01-23 05:06:14,2026-01-23 06:45:40,2026-01-23 07:13:09,5966.47,7615.30,FINISHED,50.91743119266055
job-5d42ee67,clusterB,DenseNet-121,TinyImageNet,4,2026-01-23 05:05:53,2026-01-23 06:45:40,2026-01-23 07:23:32,5986.89,8258.46,FINISHED,54.58
job-89381fdd,clusterB,DenseNet-121,TinyImageNet,4,2026-01-23 05:11:30,2026-01-23 07:23:32,2026-01-23 08:01:35,7922.68,10205.57,FINISHED,53.91
job-a9cf9901,clusterA,EfficientNetV2-S,MNIST,1,2026-01-23 05:17:46,2026-01-23 07:23:32,2026-01-23 08:25:03,7546.68,11237.17,FINISHED,99.56
job-407cb69a,clusterA,DeepSpeech2,ARCTIC,1,2026-01-23 05:22:58,2026-01-23 08:25:04,2026-01-23 08:25:07,10925.33,10928.79,FINISHED,
job-4ea83686,clusterA,DeepSpeech2,ARCTIC,1,2026-01-23 05:35:51,2026-01-23 08:25:09,2026-01-23 08:25:13,10157.73,10161.53,FINISHED,
job-ec06c983,clusterA,DeepSpeech2,ARCTIC,1,2026-01-23 05:36:51,2026-01-23 08:25:14,2026-01-23 08:25:18,10103.01,10106.92,FINISHED,
job-59c0b720,clusterA,DistilBERT,SST-2,1,2026-01-23 05:09:07,2026-01-23 06:45:40,2026-01-23 08:26:08,5793.45,11820.93,FINISHED,50.91743119266055
job-79d40030,clusterA,DistilBERT,SST-2,2,2026-01-23 04:24:01,2026-01-23 04:24:05,2026-01-23 08:39:22,3.46,15320.57,FINISHED,50.91743119266055
job-ed87a6ee,clusterB,EfficientNetV2-S,MNIST,2,2026-01-23 05:21:20,2026-01-23 08:01:39,2026-01-23 08:40:01,9619.41,11920.85,FINISHED,99.46
job-19a3cae7,clusterA,DistilBERT,SST-2,1,2026-01-23 05:37:37,2026-01-23 08:25:19,2026-01-23 09:17:42,10062.29,13204.99,FINISHED,50.91743119266055
job-1b2d8a3a,clusterB,DeepSpeech2,ARCTIC,1,2026-01-23 05:47:14,2026-01-23 09:17:46,2026-01-23 09:17:50,12631.95,12635.66,FINISHED,
job-3b19f773,clusterB,ResNet-18,CIFAR-100,1,2026-01-23 05:46:36,2026-01-23 09:17:46,2026-01-23 09:34:28,12670.05,13672.29,FINISHED,65.7
job-1e33b616,clusterB,DistilBERT,SST-2,2,2026-01-23 05:22:21,2026-01-23 08:01:39,2026-01-23 09:46:26,9558.32,15844.76,FINISHED,50.91743119266055
job-6172e83f,clusterA,DenseNet-121,TinyImageNet,4,2026-01-23 05:42:47,2026-01-23 09:17:46,2026-01-23 09:52:16,12899.21,14969.19,FINISHED,54.12
job-e9256ef4,clusterA,DistilBERT,SST-2,1,2026-01-23 06:00:21,2026-01-23 09:52:21,2026-01-23 10:21:25,13919.32,15663.35,FINISHED,50.91743119266055
job-f4af8f5f,clusterB,DenseNet-121,TinyImageNet,4,2026-01-23 05:50:06,2026-01-23 09:46:30,2026-01-23 10:24:26,14183.36,16459.79,FINISHED,53.54
job-2d992360,clusterB,DeepSpeech2,ARCTIC,1,2026-01-23 06:36:50,2026-01-23 10:24:30,2026-01-23 10:24:41,13659.85,13670.85,FINISHED,
job-414688e7,clusterB,DeepSpeech2,ARCTIC,1,2026-01-23 06:41:27,2026-01-23 10:24:45,2026-01-23 10:24:50,13397.88,13402.67,FINISHED,
job-3ed592db,clusterA,ResNet-50,CIFAR-10,1,2026-01-23 05:50:49,2026-01-23 09:52:21,2026-01-23 10:28:38,14491.25,16668.78,FINISHED,85.14
job-fd32b0d7,clusterB,DistilBERT,SST-2,1,2026-01-23 06:32:38,2026-01-23 10:24:30,2026-01-23 10:58:13,13911.40,15934.56,FINISHED,50.91743119266055
job-b6f032c3,clusterB,EfficientNetV2-S,MNIST,2,2026-01-23 06:22:14,2026-01-23 10:24:30,2026-01-23 11:02:52,14535.18,16837.79,FINISHED,99.4
job-4bc02ae6,clusterA,ResNet-50,CIFAR-10,1,2026-01-23 06:14:18,2026-01-23 10:21:29,2026-01-23 11:08:06,14831.43,17628.38,FINISHED,85.96
job-b147049d,clusterB,DenseNet-121,TinyImageNet,4,2026-01-23 06:52:07,2026-01-23 11:02:53,2026-01-23 11:40:57,15045.75,17330.22,FINISHED,54.26
job-df9b72b8,clusterB,ResNet-18,CIFAR-100,2,2026-01-23 06:57:01,2026-01-23 11:41:01,2026-01-23 11:51:24,17039.89,17663.21,FINISHED,65.12
job-4c1f1104,clusterA,DistilBERT,SST-2,2,2026-01-23 05:58:53,2026-01-23 09:52:21,2026-01-23 11:55:48,14007.34,21414.82,FINISHED,50.91743119266055
job-5cecfcaf,clusterB,ResNet-18,CIFAR-100,1,2026-01-23 06:59:48,2026-01-23 11:41:01,2026-01-23 11:58:41,16872.58,17932.66,FINISHED,64.78
