epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss,epoch_power_dt_sec,gpu_power_w,cpu_power_w
1,0,163.91852569580078,5.798093795776367,169.80208444595337,8.7,239.543296,2270.900224,0.0,48.0,1.4412730920131698,10.14,28.26,0.07741925120353699,[ 0.00095565 -0.01648047],0.5,64,4,0.00107986,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00107986, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00107986, ""num_workers"": 6}]",4.651266875,4.27959140625,4.654695625,4.279018359375,169.80180191993713,160.365,
2,0,163.216783285141,5.468810796737671,168.91789603233337,8.1,244.365312,2650.247168,0.0,52.0,1.4702859762228662,19.22,43.98,0.16720259189605713,[-0.04489341 -0.03315156],0.5,64,4,0.0010707800000000001,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010707800000000001, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010707800000000001, ""num_workers"": 6}]",4.09821375,3.615887109375,4.10021,3.615461328125,168.91750407218933,163.121,
3,0,165.33247876167297,5.609226226806641,171.01464653015137,6.8,884.96896,2655.6416,0.0,53.0,5.324640558151455,22.98,48.86,0.2101137936115265,[-0.03518785 -0.02020681],0.5,64,4,0.0010670200000000001,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010670200000000001, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010670200000000001, ""num_workers"": 5}]",3.703448125,3.4338375,3.702029375,3.408833984375,171.0143575668335,156.342,
4,0,164.67627811431885,5.4221906661987305,170.17177176475525,8.0,8379.762688,2654.568448,0.0,55.0,50.418970939058774,30.88,58.49,0.28636470437049866,[-0.02599154 -0.02950314],0.5,64,4,0.00105912,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105912, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105912, ""num_workers"": 4}]",3.40794125,2.979708203125,3.410275625,2.9797892578125,170.17146396636963,161.108,
5,0,165.43348264694214,5.405675649642944,171.02432417869568,8.2,8253.293568,2655.117312,0.0,56.0,49.658037351392906,35.52,63.92,0.33797314763069153,[-0.06146576 -0.03651002],0.5,64,5,0.00105448,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105448, ""num_workers"": 5}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105448, ""num_workers"": 4}]",3.180685,2.727533984375,3.1791646875,2.7266916015625,171.02388429641724,168.332,
6,0,167.4924807548523,5.5257062911987305,173.09667110443115,7.8,244.365312,2791.493632,0.0,53.0,1.4702859762228662,37.36,65.44,0.36299553513526917,[-0.02743653 -0.01093969],0.5,64,4,0.00105264,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105264, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00105264, ""num_workers"": 5}]",3.000578125,2.6360521484375,2.99657375,2.646880078125,173.09631419181824,163.767,
7,0,165.76345944404602,5.710245370864868,171.6599326133728,8.2,7768.991744,2790.670336,0.0,57.0,46.74411239920348,41.08,68.91,0.40185338258743286,[-0.00189395 -0.0019195 ],0.5,64,4,0.00104892,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104892, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104892, ""num_workers"": 4}]",2.854645,2.46956328125,2.8455196875,2.477867578125,171.65948605537415,159.993,
8,0,167.48670434951782,5.524472951889038,173.08430433273315,8.6,244.365312,2790.895616,0.0,54.0,1.4702859762228662,43.22,70.77,0.42722147703170776,[-0.01396585 -0.00777998],0.5,64,4,0.00104678,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104678, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104678, ""num_workers"": 4}]",2.734019375,2.35436640625,2.734021875,2.3668201171875,173.0839967727661,163.026,
9,0,167.35122561454773,5.420065641403198,172.84654712677002,7.2,244.365312,2792.308736,0.0,54.0,1.4702859762228662,45.31,72.61,0.44306856393814087,[0.02159639 0.02900539],0.5,64,4,0.0010446900000000002,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010446900000000002, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.0010446900000000002, ""num_workers"": 4}]",2.6203378125,2.266883984375,2.60878015625,2.27702265625,172.8462359905243,148.318,
10,0,163.95994400978088,5.412714958190918,169.4555082321167,7.1,6369.5872,2792.435712,0.0,54.0,38.32423946688748,46.51,73.67,0.45905154943466187,[0.02175801 0.07145337],0.5,64,4,0.00104349,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104349, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104349, ""num_workers"": 5}]",2.534770625,2.203385546875,2.53473234375,2.217237109375,169.45515608787537,167.112,
11,0,166.2045226097107,5.381856203079224,171.66884970664978,8.1,244.3648,2795.954176,0.0,56.0,1.470282895644802,47.47,73.83,0.468971312046051,[0.01417856 0.01964297],0.5,64,4,0.00104253,"[{""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104253, ""num_workers"": 4}, {""shard_pct"": 0.5, ""batch_size"": 64, ""lr"": 0.00104253, ""num_workers"": 4}]",2.4431434375,2.18044609375,2.43926421875,2.2003841796875,171.6685812473297,168.483,
