model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
gpt-4o,1,0,1,1,1,1.1095
gpt-4o,1,1,1,1,1,1.0901
gpt-4o,1,2,1,1,1,0.8308
gpt-4o,2,0,1,1,1,0.9878
gpt-4o,2,1,1,1,1,0.9559
gpt-4o,2,2,1,1,1,1.3318
gpt-4o,3,0,1,1,1,1.4326
gpt-4o,3,1,1,1,1,1.0224
gpt-4o,3,2,1,1,1,0.9239
gpt-4o,4,0,1,1,1,0.9195
gpt-4o,4,1,1,1,1,0.9234
gpt-4o,4,2,1,1,1,1.1269
gpt-4o,5,0,1,1,1,0.6108
gpt-4o,5,1,1,1,1,0.6136
gpt-4o,5,2,1,1,1,0.9224
gpt-4o,6,0,1,1,1,0.8186
gpt-4o,6,1,1,1,1,0.7184
gpt-4o,6,2,1,1,1,0.7159
gpt-4o,7,0,1,1,1,0.6150
gpt-4o,7,1,1,1,1,0.7112
gpt-4o,7,2,1,1,1,1.4376
gpt-4o,8,0,1,1,1,1.2286
gpt-4o,8,1,1,1,1,0.8050
gpt-4o,8,2,1,1,1,0.8021
gpt-4o,9,0,1,1,1,0.5993
gpt-4o,9,1,1,1,1,0.8784
gpt-4o,9,2,1,1,1,0.9091
gpt-4o,10,0,1,1,1,1.2297
gpt-4o,10,1,1,0,1,1.3294
gpt-4o,10,2,1,1,1,0.9393
gpt-4o,11,0,1,1,1,0.6966
gpt-4o,11,1,1,1,1,0.8813
gpt-4o,11,2,1,1,1,0.8617
gpt-4o,12,0,1,0,1,0.9243
gpt-4o,12,1,1,0,1,0.7338
gpt-4o,12,2,1,0,1,0.7788
gpt-4o,13,0,1,1,1,0.8055
gpt-4o,13,1,1,1,1,1.0551
gpt-4o,13,2,1,1,1,0.7182
gpt-4o,14,0,1,1,1,0.7142
gpt-4o,14,1,1,1,1,0.8211
gpt-4o,14,2,1,1,1,0.9240
gpt-4o,15,0,1,0,1,0.8148
gpt-4o,15,1,1,0,1,0.7188
gpt-4o,15,2,1,0,1,1.0229
gpt-4o,16,0,1,1,1,0.8258
gpt-4o,16,1,1,1,1,1.1197
gpt-4o,16,2,1,1,1,1.0722
gpt-4o,17,0,1,0,1,0.8785
gpt-4o,17,1,1,0,1,0.6076
gpt-4o,17,2,1,0,1,1.0239
gpt-4o,18,0,0,0,0,0.8192
gpt-4o,18,1,0,0,0,1.1296
gpt-4o,18,2,0,0,1,1.1252
gpt-4o,19,0,1,0,1,1.0410
gpt-4o,19,1,1,0,1,0.8001
gpt-4o,19,2,1,0,1,0.9224
gpt-4o,20,0,0,0,1,0.8204
gpt-4o,20,1,0,0,1,1.0588
gpt-4o,20,2,0,0,1,0.8827
gpt-4o,21,0,1,1,1,1.0257
gpt-4o,21,1,1,1,1,1.1253
gpt-4o,21,2,1,1,1,2.1175
gpt-4o,22,0,1,1,1,0.8510
gpt-4o,22,1,1,1,1,0.7170
gpt-4o,22,2,1,1,1,0.9237
gpt-4o,23,0,1,0,1,0.8161
gpt-4o,23,1,1,0,1,0.8194
gpt-4o,23,2,1,0,1,0.6337
gpt-4o,24,0,1,1,1,1.5873
gpt-4o,24,1,1,1,1,1.1127
gpt-4o,24,2,1,1,1,1.0704
gpt-4o,25,0,1,1,1,1.0209
gpt-4o,25,1,1,1,1,0.8218
gpt-4o,25,2,1,1,1,0.8382
gpt-4o,26,0,1,1,1,1.0005
gpt-4o,26,1,1,1,1,1.0370
gpt-4o,26,2,1,1,1,0.7034
gpt-4o,27,0,1,0,1,1.2148
gpt-4o,27,1,1,0,1,0.9372
gpt-4o,27,2,1,0,1,1.4351
gpt-4o,28,0,1,0,1,0.7142
gpt-4o,28,1,1,1,1,0.6866
gpt-4o,28,2,1,1,1,0.9515
gpt-4o,29,0,1,0,0,0.9236
gpt-4o,29,1,1,0,0,0.8749
gpt-4o,29,2,1,0,0,0.7623
gpt-4o,30,0,1,1,1,0.7655
gpt-4o,30,1,1,1,1,1.1869
gpt-4o,30,2,1,1,1,1.0182
gpt-4o,31,0,1,1,1,1.4096
gpt-4o,31,1,1,1,1,0.8435
gpt-4o,31,2,1,1,1,0.8189
gpt-4o,32,0,1,1,1,1.1297
gpt-4o,32,1,1,1,1,0.8128
gpt-4o,32,2,1,1,1,0.9214
gpt-4o,33,0,1,0,1,0.7189
gpt-4o,33,1,1,0,1,0.7946
gpt-4o,33,2,1,0,1,1.4563
gpt-4o,34,0,1,0,1,1.5352
gpt-4o,34,1,1,0,1,0.6623
gpt-4o,34,2,1,0,1,0.8724
gpt-4o,35,0,1,0,1,0.9362
gpt-4o,35,1,1,0,1,0.9117
gpt-4o,35,2,1,0,1,1.2253
gpt-4o,36,0,1,0,1,0.9206
gpt-4o,36,1,1,0,1,1.1962
gpt-4o,36,2,1,0,1,0.8401
gpt-4o,37,0,1,0,1,1.1396
gpt-4o,37,1,1,0,1,1.2280
gpt-4o,37,2,1,0,1,1.3296
gpt-4o,38,0,1,1,1,1.1276
gpt-4o,38,1,1,1,1,0.9196
gpt-4o,38,2,1,0,1,1.1308
gpt-4o,39,0,0,0,0,1.1858
gpt-4o,39,1,0,0,0,0.7441
gpt-4o,39,2,0,0,0,0.7289
gpt-4o,40,0,1,0,1,1.1276
gpt-4o,40,1,1,0,1,0.9242
gpt-4o,40,2,1,0,1,0.7387
gpt-4o,41,0,1,1,1,1.1008
gpt-4o,41,1,1,1,1,0.7120
gpt-4o,41,2,1,1,1,1.6519
gpt-4o,42,0,0,1,1,1.1377
gpt-4o,42,1,0,1,1,1.1035
gpt-4o,42,2,0,1,1,1.1327
gpt-4o,43,0,0,1,1,0.8237
gpt-4o,43,1,0,1,1,1.1998
