model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
gpt-5.1,1,0,1,1,1,1.1627
gpt-5.1,1,1,1,1,1,1.8091
gpt-5.1,1,2,1,1,1,1.1287
gpt-5.1,2,0,1,1,1,1.1250
gpt-5.1,2,1,1,1,1,1.4501
gpt-5.1,2,2,1,1,1,1.3140
gpt-5.1,3,0,1,1,1,1.1280
gpt-5.1,3,1,1,1,1,0.8163
gpt-5.1,3,2,1,1,1,0.9641
gpt-5.1,4,0,1,1,1,0.9722
gpt-5.1,4,1,1,1,1,1.4422
gpt-5.1,4,2,1,1,1,1.0577
gpt-5.1,5,0,1,1,1,0.8699
gpt-5.1,5,1,1,1,1,1.1450
gpt-5.1,5,2,1,1,1,1.3251
gpt-5.1,6,0,1,1,1,0.8261
gpt-5.1,6,1,1,1,1,1.0222
gpt-5.1,6,2,1,1,1,1.2375
gpt-5.1,7,0,1,1,1,1.1263
gpt-5.1,7,1,1,1,1,0.8090
gpt-5.1,7,2,1,1,1,1.4335
gpt-5.1,8,0,1,1,1,1.2553
gpt-5.1,8,1,1,1,1,1.1014
gpt-5.1,8,2,1,1,1,1.0845
gpt-5.1,9,0,1,1,1,1.0643
gpt-5.1,9,1,1,1,1,0.8187
gpt-5.1,9,2,1,1,1,1.0234
gpt-5.1,10,0,1,0,1,2.0478
gpt-5.1,10,1,1,0,1,1.0283
gpt-5.1,10,2,1,0,1,0.9167
gpt-5.1,11,0,1,1,1,1.0998
gpt-5.1,11,1,1,1,1,1.0505
gpt-5.1,11,2,1,1,1,1.1252
gpt-5.1,12,0,1,0,1,0.9812
gpt-5.1,12,1,1,0,1,1.3746
gpt-5.1,12,2,1,0,1,0.9238
gpt-5.1,13,0,1,1,1,0.8428
gpt-5.1,13,1,1,1,1,0.8955
gpt-5.1,13,2,1,1,1,0.9214
gpt-5.1,14,0,1,1,1,0.9113
gpt-5.1,14,1,1,1,1,1.1905
gpt-5.1,14,2,1,1,1,1.1787
gpt-5.1,15,0,1,0,1,1.0195
gpt-5.1,15,1,1,0,1,1.1263
gpt-5.1,15,2,1,0,1,1.1285
gpt-5.1,16,0,1,1,1,1.0251
gpt-5.1,16,1,1,1,1,0.9206
gpt-5.1,16,2,1,1,1,0.9230
gpt-5.1,17,0,1,0,1,1.3270
gpt-5.1,17,1,1,0,1,1.1405
gpt-5.1,17,2,1,0,1,1.0083
gpt-5.1,18,0,0,0,1,1.6955
gpt-5.1,18,1,0,0,1,0.8639
gpt-5.1,18,2,0,0,1,0.6561
gpt-5.1,19,0,1,0,1,0.7586
gpt-5.1,19,1,1,0,1,0.9427
gpt-5.1,19,2,1,0,1,1.1229
gpt-5.1,20,0,1,1,1,1.9118
gpt-5.1,20,1,1,1,1,1.0832
gpt-5.1,20,2,1,1,1,1.2041
gpt-5.1,21,0,1,1,1,1.2277
gpt-5.1,21,1,1,1,1,1.1837
