model,sample_id,repeat,dir_correct,tol_0.1_hit,tol_0.2_hit,latency
pplx-sonar-pro,1,0,1,1,1,3.0118
pplx-sonar-pro,1,1,1,1,1,3.2392
pplx-sonar-pro,1,2,1,1,1,3.4900
pplx-sonar-pro,2,0,1,1,1,2.9815
pplx-sonar-pro,2,1,1,1,1,3.7891
pplx-sonar-pro,2,2,1,1,1,3.3440
pplx-sonar-pro,3,0,1,1,1,3.9251
pplx-sonar-pro,3,1,1,1,1,3.1732
pplx-sonar-pro,3,2,1,1,1,2.7640
pplx-sonar-pro,4,0,1,1,1,2.7531
pplx-sonar-pro,4,1,1,1,1,2.9804
pplx-sonar-pro,4,2,1,1,1,3.0808
pplx-sonar-pro,5,0,1,0,1,2.5567
pplx-sonar-pro,5,1,1,0,1,3.0675
pplx-sonar-pro,5,2,1,0,1,2.7431
pplx-sonar-pro,6,0,1,1,1,4.0131
pplx-sonar-pro,6,1,1,1,1,3.2768
pplx-sonar-pro,6,2,1,1,1,3.1740
pplx-sonar-pro,7,0,1,1,1,2.8671
pplx-sonar-pro,7,1,1,1,1,2.8537
pplx-sonar-pro,7,2,1,1,1,3.9551
pplx-sonar-pro,8,0,1,1,1,3.4318
pplx-sonar-pro,8,1,1,1,1,3.2842
pplx-sonar-pro,8,2,1,1,1,3.5777
pplx-sonar-pro,9,0,1,1,1,3.1725
pplx-sonar-pro,9,1,1,1,1,4.2323
pplx-sonar-pro,9,2,1,1,1,2.7624
pplx-sonar-pro,10,0,1,1,1,2.6258
pplx-sonar-pro,10,1,1,1,1,3.1897
pplx-sonar-pro,10,2,1,1,1,3.4704
pplx-sonar-pro,11,0,0,0,0,2.7629
pplx-sonar-pro,11,1,1,1,1,2.8667
pplx-sonar-pro,11,2,1,1,1,2.8152
pplx-sonar-pro,12,0,1,0,1,2.8194
pplx-sonar-pro,12,1,1,0,1,3.5810
pplx-sonar-pro,12,2,1,0,1,3.1754
pplx-sonar-pro,13,0,1,0,1,2.9684
pplx-sonar-pro,13,1,1,0,1,4.1131
pplx-sonar-pro,13,2,1,0,1,2.9596
pplx-sonar-pro,14,0,0,0,1,3.1681
pplx-sonar-pro,14,1,0,0,1,2.5578
pplx-sonar-pro,14,2,0,0,1,2.4951
pplx-sonar-pro,15,0,1,0,0,3.5471
pplx-sonar-pro,15,1,1,0,0,2.7632
pplx-sonar-pro,15,2,1,0,0,3.5834
pplx-sonar-pro,16,0,1,0,1,2.9723
pplx-sonar-pro,16,1,1,0,1,3.1717
pplx-sonar-pro,16,2,1,0,1,3.6870
pplx-sonar-pro,17,0,1,0,1,2.4911
pplx-sonar-pro,17,1,1,0,1,2.8502
pplx-sonar-pro,17,2,1,0,1,3.1562
pplx-sonar-pro,18,0,0,0,0,3.2767
pplx-sonar-pro,18,1,0,0,0,4.3011
pplx-sonar-pro,18,2,0,0,0,3.1743
pplx-sonar-pro,19,0,1,0,0,3.1360
pplx-sonar-pro,19,1,1,0,0,3.1126
pplx-sonar-pro,19,2,1,0,0,2.9662
pplx-sonar-pro,20,0,1,1,1,4.0991
pplx-sonar-pro,20,1,1,1,1,5.2196
pplx-sonar-pro,20,2,1,1,1,4.8161
pplx-sonar-pro,21,0,1,1,1,3.1718
pplx-sonar-pro,21,1,1,1,1,4.3012
pplx-sonar-pro,21,2,1,1,1,2.7387
pplx-sonar-pro,22,0,1,1,1,2.8916
pplx-sonar-pro,22,1,1,1,1,3.4798
pplx-sonar-pro,22,2,1,1,1,2.9699
pplx-sonar-pro,23,0,1,0,1,2.8696
pplx-sonar-pro,23,1,1,0,1,3.2739
pplx-sonar-pro,23,2,1,0,1,3.8906
pplx-sonar-pro,24,0,1,1,1,3.0713
pplx-sonar-pro,24,1,1,1,1,2.9957
pplx-sonar-pro,24,2,1,1,1,3.2507
pplx-sonar-pro,25,0,1,1,1,3.0711
pplx-sonar-pro,25,1,1,1,1,2.6647
pplx-sonar-pro,25,2,1,1,1,3.1887
pplx-sonar-pro,26,0,1,1,1,3.3628
pplx-sonar-pro,26,1,1,1,1,3.5873
pplx-sonar-pro,26,2,1,1,1,2.8675
pplx-sonar-pro,27,0,1,0,1,3.0670
pplx-sonar-pro,27,1,1,0,1,3.6863
