job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,final_accuracy,status
job-d8be081a75fd,clusterB,DeepSpeech2,ARCTIC,1,1768898055.497536,1768898055.965632,1768898239.533197,0.468096,184.035661,15.627262,FAILED
job-f7c5e559986a,clusterB,DeepSpeech2,ARCTIC,1,1768898697.398727,1768898697.512104,1768898887.959346,0.113377,190.560618,1.119881,FAILED
job-6b6d2bd8f4cd,clusterA,ResNet-50,CIFAR-10,1,1768898434.464267,1768898434.562048,1768899698.922405,0.097782,1264.458138,78.990000,FAILED
job-39f71ea93885,clusterB,ResNet-18,CIFAR-100,1,1768898581.815071,1768898581.922533,1768899866.537129,0.107462,1284.722058,63.250000,FAILED
job-30039f178eaa,clusterA,DistilBERT,SST-2,1,1768898061.237130,1768898061.334675,1768899871.032584,0.097545,1809.795454,50.917431,FAILED
job-54ce055f3767,clusterB,ResNet-50,CIFAR-10,1,1768898927.119296,1768898927.196994,1768899931.907448,0.077698,1004.788152,76.570000,FAILED
job-e76f751b17fb,clusterA,DeepSpeech2,ARCTIC,1,1768899279.052200,1768899876.730214,1768900044.660507,597.678014,765.608307,0.000000,FAILED
job-cd8a81cc47a8,clusterA,EfficientNetV2-S,MNIST,2,1768898098.954524,1768898099.101102,1768900814.048145,0.146578,2715.093620,93.630000,FAILED
job-c8911402ebee,clusterA,DeepSpeech2,ARCTIC,1,1768900299.281584,1768900820.930956,1768900991.159088,521.649372,691.877504,0.738305,FAILED
job-3e6db1778cc0,clusterB,ResNet-50,CIFAR-10,1,1768899899.626585,1768899937.737773,1768900996.922233,38.111189,1097.295648,74.680000,FAILED
job-428eed4b5d4c,clusterA,ResNet-18,CIFAR-100,1,1768899423.166617,1768900050.756076,1768901122.231095,627.589459,1699.064478,62.680000,FAILED
job-7d6782b3f1c1,clusterA,ResNet-18,CIFAR-100,1,1768900010.266453,1768900819.950139,1768901877.555007,809.683686,1867.288554,62.490000,FAILED
job-b7a60a5b144a,clusterB,DistilBERT,SST-2,1,1768898789.700115,1768898789.795104,1768901968.150461,0.094988,3178.450345,50.917431,FAILED
job-d7f728b2b674,clusterB,DistilBERT,SST-2,1,1768899110.877774,1768899111.605217,1768901974.166390,0.727444,2863.288617,50.917431,PREEMPTED
job-8c2ebe5a2254,clusterB,DistilBERT,SST-2,1,1768899832.206746,1768899871.942451,1768902883.473954,39.735705,3051.267209,50.917431,FAILED
job-10ece9a1a910,clusterA,DistilBERT,SST-2,1,1768900490.849702,1768900996.946562,1768903190.115691,506.096860,2699.265989,50.917431,FAILED
job-0bcbdef2044d,clusterA,EfficientNetV2-S,MNIST,1,1768899127.609942,1768899704.733710,1768903680.825195,577.123767,4553.215253,99.410000,FAILED
job-cc3321f48d9b,clusterB,DenseNet-121,TinyImageNet,4,1768899082.050440,1768902889.465452,1768904803.978491,3807.415012,5721.928051,8.580000,FAILED
job-efd581dbd798,clusterA,EfficientNetV2-S,MNIST,1,1768900575.193333,1768901127.978076,1768904968.729160,552.784743,4393.535826,99.390000,FAILED
job-d7f728b2b674,clusterB,DistilBERT,SST-2,1,1768899110.877774,1768899111.605217,1768906979.855464,0.727444,7868.977690,50.917431,FAILED
job-b7181d3c1e67,clusterA,DenseNet-121,TinyImageNet,4,1768900151.252049,1768904974.722961,1768907223.239050,4823.470912,7071.987001,11.050000,FAILED
