ts,seq,event,job_id,queue_len,qlen_eligible,qlen_global,qlen_home,qlen_clusterq,note
2026-01-20 17:34:15,2,queue_enqueued,job-d8be081a75fd,0,0,1,1,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=1.0
2026-01-20 17:34:21,2,queue_enqueued,job-30039f178eaa,0,0,1,1,-1,to_kind=HOME to_qcid=clusterA why=submit from_kind=HOME from_qcid=clusterA submit_key=2.0
2026-01-20 17:34:58,2,queue_enqueued,job-cd8a81cc47a8,0,0,1,2,-1,to_kind=HOME to_qcid=clusterA why=submit from_kind=HOME from_qcid=clusterA submit_key=3.0
2026-01-20 17:40:34,2,queue_enqueued,job-6b6d2bd8f4cd,0,0,1,3,-1,to_kind=HOME to_qcid=clusterA why=submit from_kind=HOME from_qcid=clusterA submit_key=4.0
2026-01-20 17:43:01,2,queue_enqueued,job-39f71ea93885,0,0,1,1,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=5.0
2026-01-20 17:44:57,2,queue_enqueued,job-f7c5e559986a,0,0,1,2,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=6.0
2026-01-20 17:46:29,2,queue_enqueued,job-b7a60a5b144a,0,0,1,3,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=7.0
2026-01-20 17:48:47,2,queue_enqueued,job-54ce055f3767,0,0,1,3,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=8.0
2026-01-20 17:51:22,2,queue_enqueued,job-cc3321f48d9b,0,0,1,4,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=9.0
2026-01-20 17:51:22,-1,gang_preempt_plan,job-cc3321f48d9b,-1,-1,-1,-1,-1,"pin=clusterB pin_free=1 need=3 victims=[] dbg={""pin"": ""clusterB"", ""hol"": ""job-cc3321f48d9b"", ""need_g"": 3, ""now_ts"": 1768899082.4890046, ""allow_preempt_normal"": false, ""allow_preempt_starting"": false, ""candidates"": {""hol_backfill_strict"": [], ""backfill_loose"": [], ""normal"": [""job-39f71ea93885"", ""job-b7a60a5b144a"", ""job-54ce055f3767""], ""pool_used"": []}, ""picked"": [], ""reclaimed_est"": 0, ""need_left"": 3, ""excluded_sample"": {}, ""strict_debug_sample"": {""job-39f71ea93885"": {""is_hol_backfill"": false, ""hol_for"": """", ""hol_pin"": """"}, ""job-b7a60a5b144a"": {""is_hol_backfill"": false, ""hol_for"": """", ""hol_pin"": """"}, ""job-54ce055f3767"": {""is_hol_backfill"": false, ""hol_for"": """", ""hol_pin"": """"}}, ""note"": ""A_ONLY_hol_backfill_strict""}"
