job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,final_accuracy,status
job-72af1d0f7bd6,clusterB,DeepSpeech2,ARCTIC,1,1768907495.772225,1768907495.950516,1768907676.172271,0.178290,180.400045,19.011534,FAILED
job-a410ad52802c,clusterB,DeepSpeech2,ARCTIC,1,1768908133.782609,1768908135.098526,1768908307.826116,1.315917,174.043506,0.000000,FAILED
job-8d0d5fa54ba4,clusterB,ResNet-18,CIFAR-100,1,1768908018.254014,1768908018.348092,1768909503.343190,0.094078,1485.089175,63.760000,FAILED
job-fbc1cd7cc189,clusterA,ResNet-50,CIFAR-10,1,1768907870.159751,1768907870.260006,1768910108.511948,0.100255,2238.352196,81.160000,FAILED
job-641f29a68b3c,clusterB,ResNet-50,CIFAR-10,1,1768908365.270138,1768908365.359148,1768910172.636843,0.089010,1807.366704,74.640000,FAILED
job-d42e8e0c6905,clusterA,DeepSpeech2,ARCTIC,1,1768909739.197917,1768910113.868820,1768910277.204341,374.670903,538.006424,1.244093,FAILED
job-2a77f5704653,clusterB,DeepSpeech2,ARCTIC,1,1768908718.499550,1768910177.896864,1768910397.220213,1459.397314,1678.720664,1.236865,FAILED
job-aeda0aafc5ef,clusterA,DistilBERT,SST-2,1,1768907501.230613,1768907501.338617,1768910619.495133,0.108003,3118.264520,50.917431,FAILED
job-862a38204420,clusterB,ResNet-18,CIFAR-100,1,1768908862.673708,1768910402.947173,1768911961.232176,1540.273465,3098.558468,63.000000,FAILED
job-08da222be4aa,clusterA,EfficientNetV2-S,MNIST,2,1768907534.026509,1768907534.176720,1768911983.478319,0.150211,4449.451810,99.570000,FAILED
job-b4135f7a5fbd,clusterA,DistilBERT,SST-2,1,1768909929.455450,1768910282.917462,1768913418.831095,353.462012,3489.375644,50.917431,FAILED
job-ef624c717575,clusterB,DistilBERT,SST-2,1,1768908228.009279,1768908228.126931,1768913689.661820,0.117652,5461.652542,50.917431,FAILED
job-84d80435a159,clusterB,DistilBERT,SST-2,1,1768908549.528066,1768908550.602178,1768913695.560477,1.074112,5146.032411,50.917431,PREEMPTED
job-15fd16d8e26f,clusterB,EfficientNetV2-S,MNIST,1,1768908566.731887,1768909508.796270,1768913695.602483,942.064383,5128.870596,99.250000,PREEMPTED
job-beb8e047e851,clusterB,DistilBERT,SST-2,1,1768909271.899971,1768911967.246315,1768915882.371520,2695.346344,6610.471549,50.917431,FAILED
job-41208dc25292,clusterA,EfficientNetV2-S,MNIST,1,1768910014.000854,1768910625.006920,1768916293.100522,611.006066,6279.099668,99.560000,FAILED
job-84d80435a159,clusterA,DistilBERT,SST-2,1,1768908549.528066,1768908550.602178,1768916934.472597,1.074112,8384.944531,50.917431,FAILED
job-3ab54efeaf6c,clusterB,DenseNet-121,TinyImageNet,4,1768908520.221676,1768915888.024768,1768918254.390271,7367.803092,9734.168595,56.080000,FAILED
job-11fe7236658f,clusterB,ResNet-50,CIFAR-10,1,1768909339.162510,1768918258.346167,1768919401.317092,8919.183657,10062.154583,80.380000,FAILED
job-15fd16d8e26f,clusterA,EfficientNetV2-S,MNIST,1,1768908566.731887,1768909508.796270,1768919710.486565,942.064383,11143.754678,99.530000,FAILED
job-6dbd6ec67b51,clusterB,DenseNet-121,TinyImageNet,4,1768909590.875497,1768919406.633078,1768921820.257569,9815.757581,12229.382073,55.560000,FAILED
job-3dad2fda1610,clusterB,ResNet-18,CIFAR-100,1,1768909449.773812,1768921823.980007,1768923041.321443,12374.206195,13591.547631,61.420000,FAILED
