ts,seq,event,job_id,queue_len,qlen_eligible,qlen_global,qlen_home,qlen_clusterq,note
2026-01-20 20:11:35,2,queue_enqueued,job-72af1d0f7bd6,0,0,1,1,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=1.0
2026-01-20 20:11:41,2,queue_enqueued,job-aeda0aafc5ef,0,0,1,1,-1,to_kind=HOME to_qcid=clusterA why=submit from_kind=HOME from_qcid=clusterA submit_key=2.0
2026-01-20 20:12:14,2,queue_enqueued,job-08da222be4aa,0,0,1,2,-1,to_kind=HOME to_qcid=clusterA why=submit from_kind=HOME from_qcid=clusterA submit_key=3.0
2026-01-20 20:17:50,2,queue_enqueued,job-fbc1cd7cc189,0,0,1,3,-1,to_kind=HOME to_qcid=clusterA why=submit from_kind=HOME from_qcid=clusterA submit_key=4.0
2026-01-20 20:20:18,2,queue_enqueued,job-8d0d5fa54ba4,0,0,1,1,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=5.0
2026-01-20 20:22:13,2,queue_enqueued,job-a410ad52802c,0,0,1,2,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=6.0
2026-01-20 20:23:48,2,queue_enqueued,job-ef624c717575,0,0,1,3,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=7.0
2026-01-20 20:26:05,2,queue_enqueued,job-641f29a68b3c,0,0,1,3,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=8.0
2026-01-20 20:28:40,2,queue_enqueued,job-3ab54efeaf6c,0,0,1,4,-1,to_kind=HOME to_qcid=clusterB why=submit from_kind=HOME from_qcid=clusterB submit_key=9.0
2026-01-20 20:28:40,-1,gang_preempt_plan,job-3ab54efeaf6c,-1,-1,-1,-1,-1,"pin=clusterB pin_free=1 need=3 victims=[] dbg={""pin"": ""clusterB"", ""hol"": ""job-3ab54efeaf6c"", ""need_g"": 3, ""now_ts"": 1768908520.5012424, ""allow_preempt_normal"": false, ""allow_preempt_starting"": false, ""candidates"": {""hol_backfill_strict"": [], ""backfill_loose"": [], ""normal"": [""job-8d0d5fa54ba4"", ""job-ef624c717575"", ""job-641f29a68b3c""], ""pool_used"": []}, ""picked"": [], ""reclaimed_est"": 0, ""need_left"": 3, ""excluded_sample"": {}, ""strict_debug_sample"": {""job-8d0d5fa54ba4"": {""is_hol_backfill"": false, ""hol_for"": """", ""hol_pin"": """"}, ""job-ef624c717575"": {""is_hol_backfill"": false, ""hol_for"": """", ""hol_pin"": """"}, ""job-641f29a68b3c"": {""is_hol_backfill"": false, ""hol_for"": """", ""hol_pin"": """"}}, ""note"": ""A_ONLY_hol_backfill_strict""}"
