ts,event,job_id,cluster,world_size,note,metadata_json
2026-01-24 23:40:18,submitted,job-0c8c1c5a,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-24 23:40:21,started,job-0c8c1c5a,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_a""], ""started_ts"": ""2026-01-24T23:40:21.028699""}"
2026-01-24 23:45:05,submitted,job-bed9de98,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-24 23:45:06,started,job-bed9de98,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_b""], ""started_ts"": ""2026-01-24T23:45:06.171558""}"
2026-01-25 00:02:00,submitted,job-bc4daa86,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 4}"
2026-01-25 00:02:03,started,job-bc4daa86,clusterB,4,"started_on=clusterB, g=4","{""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""started_ts"": ""2026-01-25T00:02:03.587160""}"
2026-01-25 00:03:59,submitted,job-912dbee6,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-25 00:04:03,started,job-912dbee6,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_c""], ""started_ts"": ""2026-01-25T00:04:03.715644""}"
2026-01-25 00:23:36,submitted,job-d38e73ec,-,0,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-25 00:23:39,started,job-d38e73ec,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2026-01-25T00:23:39.153336""}"
2026-01-25 00:23:42,failed,job-d38e73ec,clusterA,1,Done,"{""exit_code"": 2, ""stderr_tail"": ""usage: DDP_CMU_ARCTIC_DeepSpeech2.py [-h] [--nproc_per_node NPROC_PER_NODE]\n                                     [--epochs EPOCHS] [--init-lr INIT_LR]\n                                     [--batch_siz""}"
2026-01-25 00:28:36,submitted,job-a5efdded,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-25 00:28:39,started,job-a5efdded,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2026-01-25T00:28:39.316286""}"
2026-01-25 00:32:08,finished,job-0c8c1c5a,clusterA,1,Done,"{""exit_code"": 0, ""final_accuracy"": 50.91743119266055}"
2026-01-25 00:32:09,finished_duplicate,job-0c8c1c5a,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""och 19 \ub05d (local_steps=2105, global_steps=2105)\n2026-01-25 00:29:17,915 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_job_metrics \""HTTP/1.1 404 Not Found\""\n2026-01-25 00:29:18,536 D"", ""final_accuracy"": 50.91743119266055}"
2026-01-25 00:32:23,submitted,job-e97fe704,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-25 00:32:24,started,job-e97fe704,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_a""], ""started_ts"": ""2026-01-25T00:32:24.478874""}"
2026-01-25 00:38:36,finished,job-912dbee6,clusterA,1,Done,"{""exit_code"": 0, ""final_accuracy"": 50.91743119266055}"
2026-01-25 00:38:37,submitted,job-c1887bb6,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-25 00:38:37,finished_duplicate,job-912dbee6,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""och 19 \ub05d (local_steps=1053, global_steps=1053)\n2026-01-25 00:36:38,592 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_job_metrics \""HTTP/1.1 404 Not Found\""\n2026-01-25 00:36:39,149 D"", ""final_accuracy"": 50.91743119266055}"
2026-01-25 00:38:39,started,job-c1887bb6,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_c""], ""started_ts"": ""2026-01-25T00:38:39.692816""}"
2026-01-25 00:45:54,finished,job-bc4daa86,clusterB,4,Done,"{""exit_code"": 0, ""final_accuracy"": 55.02}"
