ts,event,job_id,cluster,world_size,note,metadata_json
2026-01-23 03:01:08,submitted,job-71e9e0b4,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 2}"
2026-01-23 03:01:11,started,job-71e9e0b4,clusterA,2,"started_on=clusterA, g=2","{""nodes"": [""node_a"", ""node_b""], ""started_ts"": ""2026-01-23T03:01:11.331521""}"
2026-01-23 03:05:55,submitted,job-cdd88e52,-,0,,"{""model"": ""EfficientNetV2-S"", ""dataset"": ""MNIST"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 2}"
2026-01-23 03:05:56,started,job-cdd88e52,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_c""], ""started_ts"": ""2026-01-23T03:05:56.543967""}"
2026-01-23 03:22:50,submitted,job-44547cf3,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 4}"
2026-01-23 03:22:52,started,job-44547cf3,clusterB,4,"started_on=clusterB, g=4","{""nodes"": [""node_e"", ""node_f"", ""node_g"", ""node_h""], ""started_ts"": ""2026-01-23T03:22:52.301029""}"
2026-01-23 03:24:49,submitted,job-bc86d8fd,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 03:24:52,started,job-bc86d8fd,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2026-01-23T03:24:52.443940""}"
2026-01-23 03:44:26,submitted,job-39fa6afc,-,0,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 03:49:26,submitted,job-07365ac9,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 03:52:33,finished,job-bc86d8fd,clusterA,1,Done,"{""exit_code"": 0, ""final_accuracy"": 50.91743119266055}"
2026-01-23 03:52:35,finished_duplicate,job-bc86d8fd,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""nk 0] [INFO] epoch 19 \ub05d (local_steps=1053, global_steps=1053)\n2026-01-23 03:51:06,452 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_job_metrics \""HTTP/1.1 200 OK\""\n2026-01-23 03:51:"", ""final_accuracy"": 50.91743119266055}"
2026-01-23 03:52:38,started,job-39fa6afc,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2026-01-23T03:52:38.567646""}"
2026-01-23 03:52:42,failed,job-39fa6afc,clusterA,1,Done,"{""exit_code"": 2, ""stderr_tail"": ""usage: DDP_CMU_ARCTIC_DeepSpeech2.py [-h] [--nproc_per_node NPROC_PER_NODE]\n                                     [--epochs EPOCHS] [--init-lr INIT_LR]\n                                     [--batch_siz""}"
2026-01-23 03:52:43,started,job-07365ac9,clusterA,1,"started_on=clusterA, g=1","{""nodes"": [""node_d""], ""started_ts"": ""2026-01-23T03:52:43.655888""}"
2026-01-23 03:53:13,submitted,job-bfd218e7,-,0,,"{""model"": ""ResNet-18"", ""dataset"": ""CIFAR-100"", ""epochs"": 20, ""batch_size_per_gpu"": 32, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 03:59:27,submitted,job-609263ca,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 04:00:46,finished,job-44547cf3,clusterB,4,Done,"{""exit_code"": 0, ""final_accuracy"": 53.44}"
2026-01-23 04:00:47,finished_duplicate,job-44547cf3,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""2026-01-23 03:55:03,027 DDP_Script [Rank 1] [INFO] val acc 52.08%\n2026-01-23 03:55:03,484 DDP_Script [Rank 1] [INFO] epoch 18 \uc2dc\uc791\n2026-01-23 03:55:03,490 DDP_Script [Rank 1] [INFO] DataLoader created w"", ""final_accuracy"": 53.44}"
2026-01-23 04:00:47,finished_duplicate,job-44547cf3,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""pt [Rank 0] [INFO] epoch 19 \ub05d (local_steps=391, global_steps=391)\n2026-01-23 03:58:47,653 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_job_metrics \""HTTP/1.1 200 OK\""\n2026-01-23 03"", ""final_accuracy"": 53.44}"
2026-01-23 04:00:47,finished_duplicate,job-44547cf3,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""2026-01-23 03:55:03,027 DDP_Script [Rank 2] [INFO] val acc 52.08%\n2026-01-23 03:55:03,484 DDP_Script [Rank 2] [INFO] epoch 18 \uc2dc\uc791\n2026-01-23 03:55:03,490 DDP_Script [Rank 2] [INFO] DataLoader created w"", ""final_accuracy"": 53.44}"
2026-01-23 04:00:48,finished_duplicate,job-44547cf3,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""2026-01-23 03:55:03,027 DDP_Script [Rank 3] [INFO] val acc 52.08%\n2026-01-23 03:55:03,484 DDP_Script [Rank 3] [INFO] epoch 18 \uc2dc\uc791\n2026-01-23 03:55:03,493 DDP_Script [Rank 3] [INFO] DataLoader created w"", ""final_accuracy"": 53.44}"
2026-01-23 04:00:49,started,job-bfd218e7,clusterB,2,"started_on=clusterB, g=2","{""nodes"": [""node_e"", ""node_f""], ""started_ts"": ""2026-01-23T04:00:49.185544""}"
2026-01-23 04:00:49,started,job-609263ca,clusterB,1,"started_on=clusterB, g=1","{""nodes"": [""node_g""], ""started_ts"": ""2026-01-23T04:00:49.186417""}"
2026-01-23 04:10:41,submitted,job-6388fedd,-,0,,"{""model"": ""ResNet-50"", ""dataset"": ""CIFAR-10"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 04:10:44,started,job-6388fedd,clusterB,1,"started_on=clusterB, g=1","{""nodes"": [""node_h""], ""started_ts"": ""2026-01-23T04:10:44.683152""}"
2026-01-23 04:13:21,finished,job-cdd88e52,clusterA,1,Done,"{""exit_code"": 0, ""final_accuracy"": 99.53}"
2026-01-23 04:13:23,finished_duplicate,job-cdd88e52,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""pt [Rank 0] [INFO] epoch 19 \ub05d (local_steps=938, global_steps=938)\n2026-01-23 04:09:39,905 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_job_metrics \""HTTP/1.1 200 OK\""\n2026-01-23 04"", ""final_accuracy"": 99.53}"
2026-01-23 04:13:32,finished,job-bfd218e7,clusterB,2,Done,"{""exit_code"": 0, ""final_accuracy"": 65.16}"
2026-01-23 04:13:32,finished_duplicate,job-bfd218e7,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""2026-01-23 04:11:33,076 DDP_Script [Rank 1] [INFO] local_steps=782, global_steps=782\n2026-01-23 04:12:07,693 DDP_Script [Rank 1] [INFO] epoch 18 train step time: 34.62 seconds\n2026-01-23 04:12:07,694 "", ""final_accuracy"": 65.16}"
2026-01-23 04:13:33,finished_duplicate,job-bfd218e7,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""2026-01-23 04:12:51,386 DDP_Script [Rank 0] [INFO] val acc 64.81%\n2026-01-23 04:12:51,435 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_progress \""HTTP/1.1 200 OK\""\n2026-01-23 04:12"", ""final_accuracy"": 65.16}"
2026-01-23 04:16:43,finished,job-07365ac9,clusterA,1,Done,"{""exit_code"": 0, ""final_accuracy"": 61.97}"
2026-01-23 04:16:45,finished_duplicate,job-07365ac9,Cluster_Default,0,Duplicate final status ignored,"{""exit_code"": 0, ""stderr_tail"": ""2026-01-23 04:15:27,015 DDP_Script [Rank 0] [INFO] val acc 60.54%\n2026-01-23 04:15:27,056 httpx [INFO] HTTP Request: POST http://163.180.117.216:8000/report_progress \""HTTP/1.1 200 OK\""\n2026-01-23 04:15"", ""final_accuracy"": 61.97}"
2026-01-23 04:24:01,submitted,job-79d40030,-,0,,"{""model"": ""DistilBERT"", ""dataset"": ""SST-2"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""learning_rate"": 0.001, ""initial_g"": 2}"
2026-01-23 04:24:05,started,job-79d40030,clusterA,2,"started_on=clusterA, g=2","{""nodes"": [""node_c"", ""node_d""], ""started_ts"": ""2026-01-23T04:24:05.313577""}"
2026-01-23 04:31:53,submitted,job-71f21243,-,0,,"{""model"": ""DeepSpeech2"", ""dataset"": ""ARCTIC"", ""epochs"": 20, ""batch_size_per_gpu"": 16, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 04:31:55,started,job-71f21243,clusterB,1,"started_on=clusterB, g=1","{""nodes"": [""node_e""], ""started_ts"": ""2026-01-23T04:31:55.675840""}"
2026-01-23 04:31:59,failed,job-71f21243,clusterB,1,Done,"{""exit_code"": 2, ""stderr_tail"": ""usage: DDP_CMU_ARCTIC_DeepSpeech2.py [-h] [--nproc_per_node NPROC_PER_NODE]\n                                     [--epochs EPOCHS] [--init-lr INIT_LR]\n                                     [--batch_siz""}"
2026-01-23 04:33:04,submitted,job-6e8408a2,-,0,,"{""model"": ""DenseNet-121"", ""dataset"": ""TinyImageNet"", ""epochs"": 20, ""batch_size_per_gpu"": 64, ""learning_rate"": 0.001, ""initial_g"": 1}"
2026-01-23 04:34:36,finished,job-609263ca,clusterB,1,Done,"{""exit_code"": 0, ""final_accuracy"": 50.91743119266055}"
