job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_sec,jct_sec,status,final_accuracy
job-7b2521db,clusterA,EfficientNetV2-S,MNIST,2,2026-01-25 11:08:26,2026-01-25 11:08:31,2026-01-25 11:50:03,5.22,2497.40,FINISHED,99.27
job-1bece87f,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 11:46:56,2026-01-25 11:50:05,2026-01-25 11:50:08,188.80,192.18,FAILED,
job-eaa9b672,clusterA,DistilBERT,SST-2,1,2026-01-25 11:03:39,2026-01-25 11:03:43,2026-01-25 11:55:23,4.12,3104.36,FINISHED,50.91743119266055
job-bd2d2858,clusterA,DistilBERT,SST-2,1,2026-01-25 11:27:20,2026-01-25 11:27:20,2026-01-25 11:55:34,0.40,1694.11,FINISHED,50.91743119266055
job-001ebd7a,clusterB,DenseNet-121,TinyImageNet,4,2026-01-25 11:25:21,2026-01-25 11:25:21,2026-01-25 12:09:33,0.66,2652.33,FINISHED,54.43
job-b91b2de6,clusterA,ResNet-18,CIFAR-100,1,2026-01-25 11:51:57,2026-01-25 11:51:58,2026-01-25 12:15:34,1.67,1416.81,FINISHED,64.63
job-a39bd789,clusterA,ResNet-50,CIFAR-10,2,2026-01-25 12:13:11,2026-01-25 12:16:42,2026-01-25 12:18:10,210.56,298.88,FINISHED,19.05
job-f8bdd443,clusterA,ResNet-18,CIFAR-100,1,2026-01-25 11:55:43,2026-01-25 12:16:37,2026-01-25 12:20:00,1253.31,1457.09,FINISHED,62.89
job-9d7e227c,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 12:34:24,2026-01-25 12:34:25,2026-01-25 12:34:29,1.45,4.91,FAILED,
job-73991618,clusterA,DistilBERT,SST-2,1,2026-01-25 12:01:58,2026-01-25 12:02:03,2026-01-25 12:36:25,4.85,2066.82,FINISHED,50.91743119266055
job-3a196d6d,clusterB,DenseNet-121,TinyImageNet,4,2026-01-25 12:35:35,2026-01-25 12:35:37,2026-01-25 13:19:47,1.98,2652.20,FINISHED,55.85
job-912c13c8,clusterB,DeepSpeech2,ARCTIC,1,2026-01-25 12:40:45,2026-01-25 13:19:48,2026-01-25 13:19:52,2343.69,2347.47,FAILED,
job-c7944003,clusterB,DeepSpeech2,ARCTIC,1,2026-01-25 13:05:27,2026-01-25 13:19:54,2026-01-25 13:19:57,866.54,869.12,FAILED,
job-ccb455fd,clusterA,EfficientNetV2-S,MNIST,2,2026-01-25 12:37:52,2026-01-25 12:37:55,2026-01-25 13:20:05,3.41,2533.00,FINISHED,99.51
job-eb5719f1,clusterB,ResNet-50,CIFAR-10,1,2026-01-25 13:00:06,2026-01-25 13:19:48,2026-01-25 14:06:28,1182.96,3982.26,FINISHED,86.7
job-105b46cb,clusterA,DistilBERT,SST-2,1,2026-01-25 12:26:32,2026-01-25 12:26:36,2026-01-25 14:09:46,3.90,6194.08,FINISHED,50.91743119266055
job-52b457bd,clusterA,DistilBERT,SST-2,1,2026-01-25 12:40:00,2026-01-25 12:40:04,2026-01-25 14:21:07,3.69,6066.76,FINISHED,50.91743119266055
job-1061aec0,clusterB,EfficientNetV2-S,MNIST,1,2026-01-25 12:42:19,2026-01-25 13:19:48,2026-01-25 14:30:09,2249.26,6469.64,FINISHED,99.37
job-8a887029,clusterB,EfficientNetV2-S,MNIST,1,2026-01-25 12:51:17,2026-01-25 13:19:48,2026-01-25 14:41:54,1711.25,6636.62,FINISHED,99.54
job-1fa41321,clusterA,DenseNet-121,TinyImageNet,4,2026-01-25 13:08:24,2026-01-25 14:21:08,2026-01-25 14:55:49,4363.73,6444.69,FINISHED,54.09
job-5e0e3dd0,clusterB,DistilBERT,SST-2,1,2026-01-25 13:08:45,2026-01-25 14:21:08,2026-01-25 14:57:08,4343.29,6502.99,FINISHED,50.91743119266055
job-8148ebf3,clusterA,DenseNet-121,TinyImageNet,4,2026-01-25 13:14:00,2026-01-25 14:55:50,2026-01-25 15:30:20,6109.56,8179.55,FINISHED,53.88
job-c124b89a,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 13:39:22,2026-01-25 15:30:22,2026-01-25 15:30:25,6659.92,6663.20,FAILED,
job-4b242e4f,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 13:25:29,2026-01-25 15:30:22,2026-01-25 15:30:25,7492.52,7495.95,FAILED,
job-eb62e079,clusterA,DeepSpeech2,ARCTIC,1,2026-01-25 13:38:22,2026-01-25 15:30:22,2026-01-25 15:30:25,6719.75,6723.23,FAILED,
job-91d4863f,clusterB,DistilBERT,SST-2,1,2026-01-25 13:24:52,2026-01-25 14:57:09,2026-01-25 15:57:42,5536.92,9170.49,FINISHED,50.91743119266055
job-2f155b75,clusterB,EfficientNetV2-S,MNIST,1,2026-01-25 13:20:16,2026-01-25 14:55:50,2026-01-25 16:09:13,5733.71,10136.41,FINISHED,99.52
job-73d35eb4,clusterB,DistilBERT,SST-2,1,2026-01-25 13:11:38,2026-01-25 14:21:08,2026-01-25 16:19:50,4170.28,11292.03,FINISHED,50.91743119266055
