epoch,rank,train_time,eval_time,total_time,cpu_usage,gpu_usage,memory_usage,cpu_temp,gpu_temp,gpu_mem_percent,accuracy,top5_accuracy,f1_score,ckf_dim,shard_pct,batch_size,num_workers,lr,all_allocs,global_train_loss,global_eval_loss,local_train_loss,local_eval_loss
1,0,52.05642223,5.928006887,58.24469185,57.9,256.210432,2327.773184,75,64,1.007686522,11.94,34.29,0.09562061,,1,64,4,0.001,,4.058422188,3.773062891,4.058422188,3.773062891
2,0,49.92216063,6.317897797,56.32456779,62.4,853.640704,2464.50176,75,66,3.357405181,18.92,46.14,0.160421953,,1,64,4,0.001,,3.709913438,3.380137109,3.709913438,3.380137109
3,0,50.35705447,6.155120611,56.59845376,62.5,334.223872,2456.731648,77,66,1.314516698,25.94,55.06,0.233901039,,1,64,4,0.001,,3.4127975,3.013254883,3.4127975,3.013254883
4,0,50.13163137,6.313486338,56.53897858,62.5,334.813696,2438.893568,78,66,1.316836501,30.98,62.29,0.292882413,,1,64,4,0.001,,3.113072813,2.7261875,3.113072813,2.7261875
5,0,50.67505026,6.212259293,56.97223496,62.3,335.07584,2447.85152,76,65,1.317867524,37.13,69.65,0.358262122,,1,64,4,0.001,,2.84022125,2.38772207,2.84022125,2.38772207
6,0,50.46422219,6.568025589,57.11639404,62.6,335.07584,2448.891904,78,66,1.317867524,42.76,75.01,0.413575441,,1,64,4,0.001,,2.634981563,2.138329492,2.634981563,2.138329492
7,0,50.31207347,6.133897543,56.52990985,61.8,335.07584,2483.32288,76,66,1.317867524,45.62,77.08,0.444371641,,1,64,4,0.001,,2.440388125,2.013910938,2.440388125,2.013910938
8,0,50.58944297,6.3932271,57.07131767,62.2,1685.5424,2470.473728,76,66,6.62930992,50.35,80.5,0.495020837,,1,64,4,0.001,,2.294382969,1.835563477,2.294382969,1.835563477
9,0,50.07847571,6.414992571,56.57775021,62.5,287.709696,2448.973824,76,66,1.131574466,51.64,81.29,0.509407282,,1,64,4,0.001,,2.173987031,1.769770117,2.173987031,1.769770117
10,0,50.37514067,6.298745155,56.7591393,61.8,335.07584,2458.243072,77,66,1.317867524,55.03,83.7,0.544326007,,1,64,4,0.001,,2.067047969,1.638673438,2.067047969,1.638673438
11,0,50.42216945,6.168425083,56.67686844,62.3,1645.563392,2471.108608,77,66,6.472070782,56.62,84.43,0.562197626,,1,64,4,0.001,,1.972466875,1.593939844,1.972466875,1.593939844
12,0,50.30673552,6.325800657,56.71686244,62.2,335.07584,2458.259456,77,66,1.317867524,57.82,85.05,0.574178576,,1,64,4,0.001,,1.885348281,1.52951709,1.885348281,1.52951709
13,0,50.86251092,6.00394392,56.95077682,62.4,335.07584,2458.27584,77,66,1.317867524,58.89,85.62,0.585530519,,1,64,4,0.001,,1.817489531,1.50915625,1.817489531,1.50915625
14,0,50.4238348,6.242650509,56.75033164,62.7,1691.82976,2458.333184,77,66,6.654038374,59.95,86.16,0.596503675,,1,64,4,0.001,,1.745550156,1.455174316,1.745550156,1.455174316
15,0,50.61838746,6.042675734,56.749084,62.5,335.07584,2458.386432,79,66,1.317867524,60.54,86.51,0.605201542,,1,64,4,0.001,,1.69711875,1.457745313,1.69711875,1.457745313
16,0,50.36790776,6.349908829,56.80173421,62.5,335.07584,2458.529792,76,66,1.317867524,60.77,87.47,0.606260896,,1,64,4,0.001,,1.629748594,1.411392773,1.629748594,1.411392773
17,0,50.84944129,6.429949522,57.37952471,62.4,335.07584,2440.15104,77,66,1.317867524,62.05,88.17,0.618403137,,1,64,4,0.001,,1.579130156,1.36014873,1.579130156,1.36014873
18,0,50.44647908,6.54946661,57.09172511,62.4,335.07584,2449.457152,75,65,1.317867524,63.97,88.37,0.641168833,,1,64,4,0.001,,1.530823594,1.305335352,1.530823594,1.305335352
19,0,50.4162941,6.276949883,56.78624392,63.2,287.709696,2449.506304,80,66,1.131574466,63.58,88.81,0.633896351,,1,64,4,0.001,,1.495535313,1.300553906,1.495535313,1.300553906
20,0,50.49251652,6.28006959,56.85642242,62.5,335.07584,2458.533888,82,66,1.317867524,64.21,89.04,0.641882122,,1,64,4,0.001,,1.456569375,1.29038291,1.456569375,1.29038291
,,,,1137.493012,,,,,,,,,,,,,,,,,,,
